001_00	Нет, клянусь Днем воскресения!
002_00	Клянусь душой попрекающей!
003_00	Неужели человек полагает, что Мы не соберем его костей?
004_00	Конечно! Мы способны восстановить даже кончики его пальцев (или сделать всего его пальцы одинаковыми, так что он не сможет пользоваться ими, как прежде).
005_00	Но человек желает и впредь совершать грехи.
006_00	Он спрашивает, когда же наступит День воскресения?
007_00	Когда взор будет ошеломлен,
008_00	луна затмится,
009_00	а солнце и луна сойдутся.
010_00	В тот день человек скажет: «Куда бежать?».
011_00	О нет! Не будет убежища!
012_00	В тот день возвращение будет к твоему Господу.
013_00	В тот день человеку возвестят о том, что он совершил заранее и что оставил после себя.
014_00	Но человек будет свидетельствовать против самого себя,
015_00	даже если он будет оправдываться.
016_00	Не шевели своим языком, повторяя его (Коран), чтобы поскорее запомнить.
017_00	Нам надлежит собрать его и прочесть.
018_00	Когда же Мы прочтем его, то читай его следом.
019_00	Нам надлежит разъяснять его.
020_00	Но нет! Вы любите жизнь ближнюю
021_00	и пренебрегаете Последней жизнью.
022_00	Одни лица в тот день будут сиять
023_00	и взирать на своего Господа.
024_00	Другие же лица в тот день будут омрачены.
025_00	Они убедятся о том, что их поразит беда.
026_00	Но нет! Когда душа достигнет ключицы,
027_00	будет сказано: «Кто же прочтет заклинание?».
028_00	Умирающий поймет, что наступило расставание.
029_00	Голень сойдется с голенью (тяготы мирской жизни объединятся с тяготами последней жизни или голени человека будут сложены вместе в саване),
030_00	и в тот день его пригонят к твоему Господу.
031_00	Он не уверовал и не совершал намаз.
032_00	Напротив, он счел это ложью и отвернулся,
033_00	а затем горделиво отправился к своей семье.
034_00	Горе тебе, горе!
035_00	Еще раз горе тебе, горе!
036_00	Неужели человек полагает, что он будет оставлен без присмотра?
037_00	Разве он не был каплей из семени источаемого?
038_00	Потом он превратился в сгусток крови, после чего Он создал его и придал ему соразмерный облик.
039_00	Он сотворил из него чету: мужчину и женщину.
040_00	Неужели Он не способен воскресить мертвых?
