001_00	О закутавшийся!
002_00	Простаивай ночь без малого,
003_00	половину ночи или чуть меньше того,
004_00	или чуть больше того, и читай Коран размеренным чтением.
005_00	Мы непременно ниспошлем тебе весомые слова.
006_00	Воистину, молитвы после пробуждения среди ночи тяжелее и яснее по изложению.
007_00	Воистину, днем ты бываешь подолгу занят.
008_00	Поминай же имя Господа твоего и посвяти себя Ему полностью.
009_00	Господь востока и запада - нет божества, кроме Него. Сделай же Его своим Попечителем и Хранителем.
010_00	Терпимо относись к их словам и сторонись их красиво.
011_00	Оставь Меня с теми, кто считает истину ложью, но пользуется мирскими благами, и предоставь им небольшую отсрочку.
012_00	Воистину, есть у Нас оковы и Ад,
013_00	еда, которой давятся, и мучительные страдания.
014_00	В тот день земля и горы сотрясутся, и горы превратятся в холмы сыпучего песка.
015_00	Мы отправили к вам Посланника свидетелем против вас, подобно тому, как отправили посланника к Фараону.
016_00	Фараон ослушался посланника, и Мы схватили его Хваткой суровой.
017_00	Как же вы спасетесь, если не уверуете, в тот день, который заставит поседеть младенцев?
018_00	Небо тогда будет расколото, и обещание Его непременно исполнится.
019_00	Воистину, это - Назидание, и всякий, кто пожелает, встанет на путь к своему Господу.
020_00	Воистину, твой Господь знает, что ты и часть тех, кто с тобой, простаиваете менее двух третей ночи, или половину ее, или треть ее.
020_01	Аллах определяет меру дня и ночи.
020_02	Он знает, что вам не сосчитать этого, и принимает ваши покаяния.
020_03	Читайте же из Корана то, что необременительно для вас.
020_04	Он знает, что среди вас будут больные, что одни странствуют по земле в поисках милости Аллаха, а другие сражаются на пути Аллаха. Читайте же из него то, что необременительно для вас, совершайте намаз, раздавайте закят и одолжите Аллаху прекрасный заем. Какое бы добро вы ни приготовили для себя заранее, вы найдете его у Аллаха в виде лучшего и большего вознаграждения. Просите же у Аллаха прощения, ведь Аллах - Прощающий, Милосердный.
