001_00	Ха. Мим.
002_00	Айн. Син. Каф.
003_00	Так внушает откровение тебе и твоим предшественникам Аллах Могущественный, Мудрый.
004_00	Ему принадлежит то, что на небесах, и то, что на земле. Он - Возвышенный, Великий.
005_00	Небеса готовы разверзнуться сверху (от величия Аллаха; или от многочисленных ангелов; или от слов многобожников).
005_01	Ангелы прославляют хвалой своего Господа и просят прощения для тех, кто на земле. Воистину, Аллах - Прощающий, Милосердный.
006_00	Аллах является Хранителем для тех, которые взяли себе иных покровителей и помощников помимо Него (сохраняет их злодеяния для того, чтобы они получили воздаяние), и ты не являешься их попечителем и хранителем.
007_00	Так Мы внушили тебе в откровении Коран на арабском языке, чтобы ты предостерегал Мать селений (жителей Мекки) и тех, кто вокруг нее, и предостерегал от Дня собрания, в котором нет сомнения.
007_01	Одна часть людей окажется в Раю, а другая часть окажется в Пламени.
008_00	Если бы Аллах пожелал, то сделал бы их одной общиной верующих. Однако Он вводит в Свою милость того, кого пожелает. А у беззаконников не будет ни покровителя, ни помощника.
009_00	Неужели они взяли себе покровителей и помощников вместо Него? Аллах является Покровителем. Он оживляет мертвых, и Он способен на всякую вещь.
010_00	Решение всего, в чем вы расходитесь во мнениях, остается за Аллахом. Скажи: «Таков Аллах, мой Господь! Я уповаю только на Него и к Нему обращаюсь».
011_00	Творец небес и земли! Он создал для вас супруг из вас самих, а также скот парами.
011_01	Так Он размножает вас. Нет никого подобного Ему, и Он - Слышащий, Видящий.
012_00	Ему принадлежат ключи небес и земли. Он увеличивает или ограничивает удел, кому пожелает. Он знает о всякой вещи.
013_00	Он узаконил для вас в религии то, что заповедал Нуху (Ною), и то, что Мы внушили тебе в откровении, и то, что Мы заповедали Ибрахиму (Аврааму), Мусе (Моисею) и Исе (Иисусу): «Исповедуйте религию и не расходитесь во мнениях относительно нее».
013_01	Тяжко для многобожников то, к чему ты их призываешь.
013_02	Аллах избирает для Себя того, кого пожелает, и направляет к Себе того, кто обращается к Нему.
014_00	Они распались только после того, как к ним явилось знание, по причине зависти и несправедливого отношения друг к другу.
