001_00	Алиф. Лам. Ра. Это - аяты мудрого Писания.
002_00	Неужели люди удивлены тем, что Мы внушили человеку из их среды предостеречь людей и обрадовать уверовавших вестью о том, что они получат от их Господа воздаяние за свои благодеяния?
002_01	Неверующие сказали: «Безусловно, это - явный колдун».
003_00	Воистину, ваш Господь - Аллах, Который создал небеса и землю за шесть дней, а потом вознесся на Трон (или утвердился на Троне). Он управляет делами. Никто не будет заступаться, кроме как после Его дозволения.
003_01	Таков Аллах, ваш Господь. Поклоняйтесь же Ему. Неужели вы не помяните назидание?
004_00	Все вы возвратитесь к Нему, согласно истинному обещанию Аллаха.
004_01	Он создает творение в первый раз, а затем воссоздает его, чтобы по справедливости вознаградить тех, которые уверовали и совершали праведные деяния. Тем же, которые не уверовали, уготованы напиток из кипятка и мучительные страдания за то, что они не уверовали.
005_00	Он - Тот, Кто даровал солнцу сияние, а луне - свет. Он установил для нее фазы, чтобы вы могли вести летосчисление и знали счет.
005_01	Все это Аллах сотворил только ради истины. Он разъясняет Свои знамения для людей знающих.
006_00	Воистину, в смене ночи и дня, а также том, что Аллах сотворил на небесах и на земле, заключены знамения для людей богобоязненных.
007_00	Воистину, тем, которые не надеются на встречу с Нами, довольствуются мирской жизнью и удовлетворяются ею, а также тем, которые пренебрегают Нашими знамениями,
008_00	пристанищем будет Огонь за то, что они приобретали.
009_00	Воистину, тех, которые уверовали и совершали праведные деяния, Господь поведет верным путем за их веру. В Садах блаженства под ними будут течь реки.
010_00	Там они будут взывать: «Пречист Ты, Аллах!». Там их приветствием будет слово: «Мир!». А их молитвы будут завершатся словами: «Хвала Аллаху, Господу миров!».
011_00	Если бы Аллах ускорил для людей наступление зла, которое они призывают в своих проклятиях, подобно тому, как Он ускорил для них наступление добра, о котором они просят в молитвах, то они непременно погибли бы.
011_01	Но Мы оставляем тех, которые не надеются на встречу с Нами, слепо скитаться в своем беззаконии.
012_00	Когда человека поражает горе, он взывает к Нам и лежа на боку, и сидя, и стоя.
012_01	Когда же Мы избавляем его от напасти, он проходит, словно никогда не взывал к Нам по поводу постигшего его несчастья. Вот как приукрашено для тех, кто излишествует, то, что они совершают.
013_00	Мы погубили поколения, жившие до вас, поскольку они поступали несправедливо и не уверовали в Наших посланников, явившихся к ним с ясными знамениями.
013_01	Так Мы наказываем грешных людей.
014_00	Потом Мы сделали вас их преемниками на земле, чтобы посмотреть, как вы будете поступать.
