001_00	Алиф. Лам. Мим.
002_00	Неужели люди полагают, что их оставят и не подвергнут искушению только за то, что они скажут: «Мы уверовали»?
003_00	Мы уже подвергли искушению тех, кто был до них. Аллах непременно узнает тех, которые говорят правду, и непременно узнает лжецов.
004_00	Неужели те, которые совершают злые деяния, полагают, что они опередят Нас (спасутся от наказания)? Скверно же они судят!
005_00	Если кто надеется на встречу с Аллахом, то ведь срок Аллаха непременно наступит. Он - Слышащий, Видящий.
006_00	Тот, кто сражается, сражается во благо себе. Воистину, Аллах не нуждается в мирах!
007_00	Тем, которые уверовали и совершали праведные деяния, Мы простим их злодеяния и воздадим за наилучшее из того, что они совершали (или лучшим, чем то, что они совершали; или наилучшим образом за то, что они совершали).
008_00	Мы заповедали человеку быть добрым к родителям.
008_01	А если они станут сражаться с тобой, чтобы ты приобщал ко мне сотоварищей, о которых ты ничего не знаешь, то не повинуйся им. Ко Мне предстоит ваше возвращение, и тогда Я поведаю вам о том, что вы совершали.
009_00	А тех, которые уверовали и совершали праведные деяния, Мы введем в Рай вместе с праведниками.
010_00	Среди людей есть такие, которые говорят: «Мы уверовали в Аллаха». Но стоит им пострадать ради Аллаха, как они сравнивают искушения (наказание) людей с мучениями от Аллаха.
010_01	Если же явится победа от твоего Господа, то они непременно скажут: «Мы были вместе с вами». Но разве Аллаху не лучше знать, что таится в груди миров?
011_00	Аллах непременно узнает тех, кто уверовал, и непременно узнает лицемеров.
012_00	Неверующие говорят тем, которые уверовали: «Следуйте нашим путем, и мы возьмем на себя ваши грехи». Они не возьмут на себя даже части их грехов. Воистину, они - лжецы.
013_00	Они непременно понесут свое бремя и другое бремя вместе со своим бременем. В День воскресения их непременно спросят о том, что они измышляли.
014_00	Мы послали Нуха (Ноя) к его народу, и он пробыл среди них тысячу лет без пятидесяти годов. Они были беззаконниками, и их погубил потоп.
015_00	Мы спасли его вместе с теми, кто был в ковчеге, и сделали его (ковчег или чудесное спасение) знамением для миров.
016_00	А вот Ибрахим (Авраам) сказал своему народу: «Поклоняйтесь Аллаху и бойтесь Его! Так будет лучше для вас, если бы вы только знали.
017_00	Вы поклоняетесь вместо Аллаха идолам и измышляете ложь. Воистину, те, кому вы поклоняетесь вместо Аллаха, не способны даровать вам пропитание.
017_01	Ищите же пропитание у Аллаха, поклоняйтесь Ему и благодарите Его. К Нему вы будете возвращены».
018_00	Если вы сочтете это ложью, то ведь до вас целые народы считали это ложью, но на Посланника возложена только ясная передача откровения.
019_00	Неужели они не видят, как Аллах создает творение в первый раз, а затем воссоздает его. Воистину, это для Аллаха легко.
020_00	Скажи: «Постранствуйте по земле и посмотрите, как Он создал творение в первый раз. Затем Аллах создаст конечное творение (воскресит мертвых). Воистину, Аллах способен на всякую вещь.
021_00	Он подвергает мучениям, кого пожелает, и милует, кого пожелает, и к Нему вы будете возвращены.
022_00	Вы не сможете сбежать ни на земле, ни на небе, и не будет у вас покровителей и помощников помимо Аллаха».
023_00	Те, которые не веруют в знамения Аллаха и во встречу с Ним, потеряли надежду на Мою милость. Именно им уготованы мучительные страдания.
024_00	В ответ его народ лишь сказал: «Убейте его или сожгите!». Но Аллах спас его из огня. Воистину, в этом - знамения для верующих людей.
025_00	Он сказал: «Вы стали поклоняться идолам вместо Аллаха только из-за любви (или ради любви) друг к другу в мирской жизни.
025_01	Но потом, в День воскресения, одни из вас станут отвергать и проклинать других. Вашим пристанищем будет Огонь, и не будет у вас защитников».
026_00	В него уверовал Лут (Лот), и Ибрахим (Авраам) сказал: «Я собираюсь совершить переселение ради своего Господа. Воистину, Он - Могущественный, Мудрый».
027_00	Мы даровали ему Исхака (Исаака) и Йакуба (Иакова), а его потомству - пророчество и Писание.
027_01	Мы даровали ему его награду в этом мире, а в Последней жизни он будет в числе праведников.
028_00	Вот Лут (Лот) сказал своему народу: «Воистину, вы совершаете мерзость, которую не совершал до вас никто из миров.
029_00	Неужели вы вожделеете мужчин, перекрываете дороги и совершаете предосудительное на своих сборищах?».
029_01	В ответ его народ лишь сказал: «Нашли на нас мучения от Аллаха, если ты - один из тех, кто говорит правду».
030_00	Он сказал: «Господи! Помоги мне одержать верх над людьми, распространяющими нечестие!».
031_00	Когда Наши посланцы прибыли к Ибрахиму (Аврааму) с радостной вестью, они сказали: «Мы собираемся погубить жителей этого селения. Воистину, его жители являются беззаконниками».
032_00	Он сказал: «Но ведь там Лут (Лот)!». Они сказали: «Нам лучше знать, кто там! Мы непременно спасем его и его семью, кроме его жены, которая будет в числе оставшихся позади».
033_00	Когда Наши посланцы прибыли к Луту (Лоту), он огорчился и почувствовал свое бессилие.
033_01	Тогда они сказали: «Не бойся и не печалься! Мы спасем тебя и твою семью, кроме твоей жены, которая будет в числе оставшихся позади.
034_00	Мы низвергнем на жителей этого селения наказание с небес за то, что они грешили».
035_00	Мы оставили от него (селения народа Лута) ясное знамение для людей разумеющих.
036_00	Мы отправили к мадьянитам их брата Шуейба, и он сказал: «О мой народ! Поклоняйтесь Аллаху, надейтесь на Последний день и не творите на земле зла, распространяя нечестие».
037_00	Они сочли его лжецом, и тогда их постигло землетрясение, и они оказались повергнуты ниц в своих домах.
038_00	А также адиты и самудяне! Вам это ясно по их жилищам. Дьявол представил им их деяния прекрасными и сбил их с пути, хотя они были проницательны.
039_00	А также Карун (Корей), Фараон и Хаман! Муса (Моисей) явился к ним с ясными знамениями, но они превознеслись на земле и не смогли опередить наказание.
040_00	Каждого Мы схватили за его грех.
040_01	На некоторых из них Мы наслали ураган с камнями, некоторых из низ поразил чудовищный вопль, некоторых из них по Нашему велению поглотила земля, а некоторых из них Мы потопили.
040_02	Аллах не был несправедлив к ним - они сами поступали несправедливо по отношению к себе.
041_00	Те, которые взяли себе покровителей и помощников помимо Аллаха, подобны пауку, соткавшему себе жилище.
041_01	Воистину, самое непрочное жилище - это жилище паука. Если бы они только знали!
042_00	Воистину, Аллах знает всех тех, кому они поклоняются помимо Него (или знает, что те, кому они поклоняются помимо Него, являются ничем). Он - Могущественный, Мудрый.
043_00	Такие притчи Мы приводим людям, но разумеют их только обладающие знанием.
044_00	Аллах создал небеса и землю ради истины. Воистину, в этом - знамение для верующих.
045_00	Читай то, что внушено тебе из Писания, и совершай намаз.
045_01	Воистину, намаз оберегает от мерзости и предосудительного. Но поминание Аллаха - гораздо важнее, и Аллах знает о том, что вы творите.
046_00	Если вступаете в спор с людьми Писания, то ведите его наилучшим образом. Это не относится к тем из них, которые поступают несправедливо.
046_01	Скажите: «Мы уверовали в то, что ниспослано нам, и то, что ниспослано вам. Наш Бог и ваш Бог - один, и мы покоряемся только Ему».
047_00	Так Мы ниспослали тебе Писание.
047_01	Те, кому Мы даровали Писание, веруют в него. И среди этих (современников Пророка Мухаммада из числа людей Писания) есть такие, которые веруют в него (Коран), и только неверующие отвергают Наши знамения.
048_00	Ты не читал прежде ни одного Писания и не переписывал его своей десницей. В противном случае приверженцы лжи впали бы в сомнение.
049_00	Напротив, это - ясные аяты в груди тех, кому даровано знание, и только беззаконники отвергают Наши знамения.
050_00	Они говорят: «Почему ему не ниспосланы знамения от его Господа?». Скажи: «Воистину, знамения - у Аллаха, а я - всего лишь предостерегающий и разъясняющий увещеватель».
051_00	Неужели им не достаточно того, что Мы ниспослали тебе Писание, которое им читается? Воистину, в этом - милость и напоминание для верующих людей.
052_00	Скажи: «Довольно того, что Аллах является Свидетелем между мною и вами.
052_01	Он знает то, что на небесах и на земле. Те же, которые уверовали в ложь и не уверовали в Аллаха, непременно окажутся в убытке».
053_00	Они торопят тебя с мучениями. Если бы не назначенный срок, то мучения уже явились бы к ним. Воистину, они явятся к ним внезапно, и они даже не почувствуют этого.
054_00	Они торопят тебя с мучениями. Воистину, Геенна непременно обступит неверующих.
055_00	В тот день мучения покроют их сверху и из-под ног. Он скажет: «Вкусите то, что вы совершали!».
056_00	О Мои верующие рабы! Воистину, Моя земля обширна, поклоняйтесь же Мне!
057_00	Каждая душа вкусит смерть, а потом вы будете возвращены к Нам.
058_00	Тех, которые уверовали и совершали праведные деяния, Мы непременно поселим в горницах в Раю, в котором текут реки. Они пребудут там вечно. Как же прекрасно вознаграждение тружеников,
059_00	которые были терпеливы и уповали на своего Господа!
060_00	Сколько есть живых существ, которые не уносят своего пропитания (или не запасаются своим пропитанием)! Аллах наделяет пропитанием их и вас. Он - Слышащий, Знающий.
061_00	Если ты спросишь их: «Кто создал небеса и землю и подчинил солнце и луну?». - они непременно скажут: «Аллах». До чего же они отвращены от истины!
062_00	Аллах увеличивает или ограничивает удел тому из Своих рабов, кому пожелает. Воистину, Аллах знает о всякой вещи.
063_00	Если ты спросишь их: «Кто ниспосылает с неба воду и оживляет ею землю после того, как она умерла?». - они непременно скажут: «Аллах».
063_01	Скажи: «Хвала Аллаху!». Но большинство их не разумеет.
064_00	Мирская жизнь - всего лишь потеха и игра, а Последняя обитель - это настоящая жизнь. Если бы они только знали это!
065_00	Когда они садятся на корабль, то взывают к Аллаху, очищая перед Ним свою веру. Когда же Он спасает их и выводит на сушу, они тотчас начинают приобщать сотоварищей.
066_00	Это происходит для того, чтобы они проявили неблагодарность за то, чем Мы их одарили, и могли попользоваться благами, но скоро они узнают.
067_00	Неужели они не видят, что Мы сделали Мекку безопасным святилищем, тогда как вокруг них людей хватают? Неужели они веруют в ложь и не веруют в милость Аллаха?
068_00	Кто может быть несправедливее того, кто возводит навет на Аллаха или считает ложью истину, которая явилась к нему? Разве не в Геенне будет обитель неверующих?
069_00	А тех, которые сражаются ради Нас, Мы непременно поведем Нашими путями. Воистину, Аллах - с творящими добро!
