001_00	Клянусь зарею!
002_00	Клянусь десятью ночами!
003_00	Клянусь четом и нечетом!
004_00	Клянусь ночью, когда она проходит!
005_00	Неужели этих клятв не достаточно для обладающего разумом?
006_00	Неужели ты не видел, как Господь твой поступил с адитами -
007_00	народом Ирама, обладавшим колоннами (воздвигавшим высокие здания с колоннами или обладавшим могучим сложением и огромной силой),
008_00	подобных которому не было сотворено в городах?
009_00	С самудянами, рассекавшими скалы в лощине?
010_00	С Фараоном, владевшим кольями (обладавшим множеством воинов, которые поддерживали его власть, подобно тому, как колышки поддерживают шатер, или привязывавшим людей к кольям во время казни)?
011_00	Они преступали границы дозволенного на земле
012_00	и распространяли в них много нечестия.
013_00	Тогда твой Господь пролил на них бич мучений.
014_00	Воистину, твой Господь - в засаде (предоставляет отсрочку грешникам, чтобы затем неожиданно наказать их за ослушание).
015_00	Когда Господь испытывает человека, оказывая ему милость и одаряя его благами, тот говорит: «Господь мой почтил меня!».
016_00	Когда же Он испытывает его, ограничивая его в пропитании, тот говорит: «Господь мой унизил меня!».
017_00	Но нет! Вы же сами не почитаете сироту,
018_00	не побуждаете друг друга кормить бедняка,
019_00	жадно (или целиком) пожираете наследство
020_00	и страстно любите богатство.
021_00	Но нет! Когда земля разобьется и превратится в песок.
022_00	и твой Господь придет с ангелами, выстроившимися рядами,
023_00	в тот день приведут Геенну, и тогда человек помянет назидание. Но к чему такое поминание?
024_00	Он скажет: «Эх, если бы я заранее позаботился о своей жизни!».
025_00	В тот день никто не причинит таких мучений, как Он,
026_00	и никто не наложит таких оков, как Он.
027_00	О обретшая покой душа!
028_00	Вернись к своему Господу удовлетворенной и снискавшей довольство!
029_00	Войди в круг Моих рабов!
030_00	Войди в Мой Рай!
