001_00	Он нахмурился и отвернулся,
002_00	потому что к нему подошел слепой.
003_00	Откуда тебе знать? Возможно, он бы очистился
004_00	или помянул бы наставление, и поминание принесло бы ему пользу.
005_00	Тому, кто решил, что он ни в чем не нуждается,
006_00	ты уделяешь внимание,
007_00	Что же будет тебе, если он не очистится?
008_00	А того, кто приходит к тебе со рвением
009_00	и страшится Аллаха,
010_00	ты оставляешь без внимания.
011_00	Но нет! Это есть Назидание,
012_00	и пусть помянет его всякий желающий.
013_00	Оно записано в свитках почитаемых,
014_00	вознесенных и очищенных,
015_00	в руках посланцев
016_00	благородных и покорных.
017_00	Да сгинет человек! Как же он неблагодарен!
018_00	Из чего Он сотворил его?
019_00	Он сотворил его из капли и соразмерил (или предопределил стадии его развития),
020_00	потом облегчил ему путь,
021_00	потом умертвил его и поместил в могилу.
022_00	Потом, когда пожелает, Он воскресит его.
023_00	Но нет! Он не выполняет того, что Он приказал ему.
024_00	Пусть посмотрит человек на свое пропитание!
025_00	Мы проливаем обильные ливни,
026_00	затем рассекаем землю трещинами
027_00	и взращиваем на ней зерна,
028_00	виноград и люцерну,
029_00	маслины и финиковые пальмы,
030_00	сады густые (или с могучими деревьями),
031_00	фрукты и травы
032_00	на пользу вам и вашей скотине.
033_00	Когда же раздастся Оглушительный глас,
034_00	в тот день человек бросит своего брата,
035_00	свою мать и своего отца,
036_00	свою жену и своих сыновей,
037_00	ибо у каждого человека своих забот будет сполна.
038_00	В тот день одни лица будут сиять,
039_00	смеяться и ликовать.
040_00	На других же лицах в тот день будет прах,
041_00	покрывающий их мраком.
042_00	Это будут неверующие грешники.
