001_00	Благословен Тот, в Чьей Руке власть, Кто способен на всякую вещь,
002_00	Кто сотворил смерть и жизнь, чтобы испытать вас и увидеть, чьи деяния окажутся лучше. Он - Могущественный, Прощающий.
003_00	Он создал семь небес одно над другим. В творении Милостивого ты не увидишь никакой несообразности. Взгляни еще раз. Видишь ли ты какую-нибудь трещину?
004_00	Потом взгляни еще раз и еще раз, и твой взор вернется к тебе униженным, утомленным.
005_00	Воистину, Мы украсили ближайшее небо светильниками и установили их для метания в дьяволов. Мы приготовили для них мучения в Пламени.
006_00	Для тех, кто не уверовал в своего Господа, приготовлены мучения в Геенне. Как же скверно это место прибытия!
007_00	Когда их бросят туда, они услышат, как она ревет, когда кипит.
008_00	Она готова разорваться от ярости. Каждый раз, когда туда будут бросать толпу, ее стражи будут спрашивать их: «Разве к вам не приходил предостерегающий увещеватель?».
009_00	Они скажут: «Конечно, предостерегающий увещеватель приходил к нам, но мы сочли его лжецом и сказали: «Аллах ничего не ниспосылал, а вы лишь пребываете в большом заблуждении»».
010_00	Они скажут: «Если бы мы прислушивались и были рассудительны, то не оказались бы среди обитателей Пламени».
011_00	Они признаются в своем грехе. Прочь же, обитатели Пламени!
012_00	Воистину, тем, которые боятся своего Господа, не видя Его воочию, уготованы прощение и великая награда.
013_00	Храните ли вы свои речи в секрете или же говорите о них вслух, Он ведает о том, что в груди.
014_00	Неужели этого не будет знать Тот, Кто сотворил, если Он - Проницательный (или Добрый), Ведающий?
015_00	Он - Тот, Кто сделал для вас землю покорной. Ступайте же по свету и вкушайте из Его удела, и к Нему вы явитесь после воскрешения.
016_00	Неужели вы уверены, что Тот, Кто на небе, не заставит землю поглотить вас? Ведь тогда она заколеблется.
017_00	Неужели вы уверены, что Тот, Кто на небе, не нашлет на вас ураган с камнями? Скоро вы узнаете, каково Мое предостережение!
018_00	Жившие до них сочли это ложью. Каким же было Мое обличение!
019_00	Неужели они не видели над собой птиц, которые простирают и складывают крылья? Никто не удерживает их, кроме Милостивого. Воистину, Он видит всякую вещь.
020_00	Кто может стать вашим войском и помочь вам без Милостивого? Воистину, неверующие обольщены!
021_00	Кто может наделить вас уделом, если Он перестанет наделять вас Своим уделом? Но они продолжают ослушаться и убегать.
022_00	Кто же следует более правильным путем: блуждающий с опущенным лицом или идущий по прямому пути, выпрямившись?
023_00	Скажи: «Он - Тот, Кто создал вас и наделил вас слухом, зрением и сердцами. Как же мала ваша благодарность!».
024_00	Скажи: «Он - Тот, Кто расселил вас по земле, и к Нему вы будете собраны».
025_00	Они говорят: «Когда же наступит обещанное, если вы говорите правду?».
026_00	Скажи: «Знание об этом - у Аллаха, а я - всего лишь предостерегающий и разъясняющий увещеватель».
027_00	Когда они увидят его (наказание в День воскресения) вблизи от себя, лица неверующих опечалятся, и тогда им скажут: «Вот то, что вы призывали!».
028_00	Скажи: «Как вы думаете, кто защитит от мучительных страданий неверующих, если Аллах погубит меня и тех, кто со мной, или помилует нас?».
029_00	Скажи: «Он - Милостивый! Мы уверовали в Него и уповаем только на Него, и вы узнаете, кто пребывает в очевидном заблуждении».
030_00	Скажи: «Как вы думаете, кто одарит вас родниковой водой, если ваша вода уйдет под землю?».
