001_00	Ха. Мим.
002_00	Писание ниспослано от Аллаха Могущественного, Мудрого.
003_00	Воистину, на небесах и на земле есть знамения для верующих.
004_00	В сотворении вас и живых тварей, которых Он расселил, есть знамения для людей убежденных.
005_00	В смене ночи и дня, в уделе, который Аллах ниспосылает с неба и посредством которого Он оживляет землю после ее смерти, и в смене ветров есть знамения для людей разумеющих.
006_00	Вот аяты Аллаха, которые Мы читаем тебе истинно. В какой же рассказ после рассказа об Аллахе и его знамениях они верят?
007_00	Горе всякому лживому грешнику!
008_00	Он выслушивает аяты Аллаха, которые читаются ему, а затем надменно упорствует, словно он вовсе не слышал их. Обрадуй же его вестью о мучительных страданиях.
009_00	Когда он узнает о чем-либо из Наших знамений, он начинает насмехаться над ними. Таким уготованы унизительные мучения.
010_00	Перед ними - Геенна. Не спасут их то, что они приобрели, и те, кого они взяли себе в покровители и помощники вместо Аллаха. Им уготованы великие мучения.
011_00	Это - верное руководство. А тем, которые не уверовали в знамения своего Господа, уготованы мучения от великого наказания.
012_00	Аллах - Тот, Кто подчинил вам море, чтобы корабли плыли по нему по Его воле и чтобы вы искали Его милость. Быть может, вы будете благодарны.
013_00	Он подчинил вам то, что на небесах, и то, что на земле. Воистину, в этом - знамения для людей размышляющих.
014_00	Скажи верующим, чтобы они простили тех, которые не надеются на дни Аллаха, дабы Он воздал людям за то, что они приобретали.
015_00	Кто поступает праведно, тот поступает во благо себе. А кто творит зло, тот поступает во вред себе. А затем вы будете возвращены к вашему Господу.
016_00	Мы уже даровали сынам Исраила (Израиля) Писание, власть и пророчество, наделили их благами и предпочли их мирам.
017_00	Мы даровали им ясные знамения из повеления.
017_01	Они же разошлись во мнениях лишь после того, как к ним явилось знание, по причине зависти и несправедливого отношения друг к другу. Воистину, твой Господь рассудит их в День воскресения в том, в чем они расходились во мнениях.
018_00	Потом Мы наставили тебя на путь из повеления. Следуй им и не потакай желаниям тех, которые не обладают знанием.
019_00	Они нисколько не спасут тебя от Аллаха. Воистину, беззаконники являются помощниками и друзьями друг другу, а Аллах является Покровителем богобоязненных.
020_00	Это - наглядное наставление для людей, верное руководство и милость для людей убежденных.
021_00	Неужели те, которые приобретали зло, полагали, что Мы полностью приравняем их к тем, которые уверовали и совершали праведные деяния, как при жизни, так и после смерти? Как же скверны их суждения!
022_00	Аллах сотворил небеса и землю ради истины и для того, чтобы каждая душа получила воздаяние за то, что она приобрела, и с ними не поступят несправедливо.
023_00	Видел ли ты того, кто обожествил свою прихоть? Аллах ввел его в заблуждение на основании знания, запечатал его слух и сердце и бросил на его взор покрывало.
023_01	Кто же наставит его на прямой путь после Аллаха? Неужели вы не помяните назидание?
024_00	Они сказали: «Есть только наша мирская жизнь. Мы умираем и рождаемся, и нас не губит ничто, кроме времени». У них нет об этом никакого знания. Они лишь делают предположения.
025_00	Когда им читают Наши ясные аяты, их единственным доводом оказываются слова: «Приведите наших отцов, если вы говорите правду».
026_00	Скажи: «Аллах дарует вам жизнь, затем умерщвляет вас, а затем Он соберет вас ко Дню воскресения, в котором нет сомнения». Однако большинство людей не знает этого.
027_00	Аллаху принадлежит власть над небесами и землей. В тот день, когда настанет Час, приверженцы лжи окажутся в убытке.
028_00	Ты увидишь все общины коленопреклоненными. Каждую общину призовут к ее Писанию (Книге деяний): «Сегодня вам воздастся за то, что вы совершали».
029_00	Это Писание Наше (Книга деяний) говорит против вас по справедливости. Мы приказали записывать все, что вы совершали.
030_00	Что касается тех, которые уверовали и совершали праведные деяния, то их Господь введет их в Свою милость. Это и есть явное преуспеяние.
031_00	А что касается тех, которые не уверовали, то им будет сказано: «Разве вам не читались Мои аяты? Вы возгордились и были людьми грешными.
032_00	Когда вам говорили, что обещание Аллаха истинно и что в Часе нет сомнения, вы говорили: «Мы не знаем, что такое Час. Мы полагаем, что это - всего лишь предположения. Мы не имеем твердой убежденности»».
033_00	Им открылось зло, которое они совершили, и их окружило (или поразило) то, над чем они насмехались.
034_00	Будет сказано: «Сегодня Мы предадим вас забвению, подобно тому, как вы предали забвению встречу с этим днем вашим. Вашим пристанищем будет Огонь, и не будет у вас помощников.
035_00	Это вам - за то, что вы насмехались над знамениями Аллаха и обольстились мирской жизнью. Сегодня они не выйдут оттуда, и от них не потребуют покаяния».
036_00	Хвала Аллаху, Господу небес и земли, Господу миров!
037_00	Ему принадлежит величие на небесах и на земле. Он - Могущественный, Мудрый.
