001_00	Ха. Мим.
002_00	Писание ниспослано от Аллаха Могущественного, Знающего,
003_00	Прощающего грехи, Принимающего покаяния, Сурового в наказании, Обладающего милостью. Нет божества, кроме Него, и к Нему предстоит прибытие.
004_00	Знамения Аллаха оспаривают только неверующие. Пусть не обольщает тебя то, как они мечутся на земле.
005_00	До них сочли лжецами посланников народ Нуха (Ноя) и соумышленники после них. Каждый народ намеревался схватить своего посланника.
005_01	Они спорили, прибегая ко лжи, чтобы опровергнуть ею истину. Но Я схватил их, и каким же было Мое наказание!
006_00	Так сбылось Слово твоего Господа относительно того, что неверующие окажутся обитателями Огня.
007_00	Те, которые несут Трон, и те, которые вокруг него, прославляют хвалой своего Господа, веруют в Него и просят прощения для верующих: «Господь наш!
007_01	Ты объял всякую вещь милостью и знанием. Прости же тех, которые раскаялись и последовали Твоим путем, и защити их от мучений в Аду.
008_00	Господь наш! Введи их в сады Эдема, которые Ты обещал им, а также праведников из числа их отцов, супруг и потомков. Воистину, Ты - Могущественный, Мудрый.
009_00	Защити их от грехов, ведь только тот, кого Ты защитишь в тот день от грехов, будет помилован Тобой. Это и есть великое преуспеяние».
010_00	Воистину, к неверующим воззовут: «Ненависть Аллаха к вам тогда, когда вас призывали к вере, а вы не веровали, была сильнее, чем ваша ненависть к самим себе».
011_00	Они скажут: «Господь наш! По Твоей воле дважды мы были мертвы, и дважды Ты оживил нас. Мы признались в своих грехах. Нет ли пути к выходу?».
012_00	Это потому, что когда призывали одного Аллаха, вы не веровали. Если же к Нему приобщали сотоварищей, вы верили. Решение принимает только Аллах, Возвышенный, Большой».
013_00	Он - Тот, Кто показывает вам Свои знамения и ниспосылает вам с неба удел, но поминают назидание только обращающиеся к Аллаху.
014_00	Взывайте же к Аллаху, очищая перед Ним веру, даже если это ненавистно неверующим.
015_00	Он обладает возвышенными качествами (или возвышает по степеням) и владеет Троном. Он ниспосылает дух (откровение) со Своими велениями тем из Своих рабов, кому пожелает, чтобы предупредить о Дне встречи.
016_00	В тот день, когда они появятся на поверхности земли после воскрешения, ничто о них не скроется от Аллаха. Кому же принадлежит власть сегодня? Аллаху, Единственному, Всемогущему.
017_00	Сегодня каждая душа получит только то, что она приобрела, и не будет сегодня несправедливости. Воистину, Аллах скор в расчете!
018_00	Предупреди их о приближающемся дне, когда сердца подступят к горлу, и они будут опечалены. Не будет у беззаконников ни любящего родственника, ни заступника, которому подчиняются.
019_00	Он знает о предательском взгляде и том, что скрывают груди.
020_00	Аллах решает по справедливости, а те, которых призывают вместо Него, не решают ничего. Воистину, Аллах - Слышащий, Видящий.
021_00	Разве они не странствовали по земле и не видели, каким был конец их предшественников?
021_01	А ведь они превосходили их силой и оставили больше следов на земле, но Аллах схватил их за их грехи, и никто не защитил их от Аллаха.
022_00	Это произошло потому, что они не веровали, когда их посланники приходили к ним с ясными знамениями. Аллах схватил их, ведь Он - Всесильный, Суровый в наказании.
023_00	Мы послали Мусу (Моисея) с Нашими знамениями и ясным доказательством
024_00	к Фараону, Хаману и Каруну (Корею). Они сказали: «Он - лживый колдун!».
025_00	Когда он принес им истину от Нас, они сказали: «Убивайте сыновей тех, кто уверовал вместе с ним, и оставляйте в живых их женщин!».
025_01	Но козни неверующих безуспешны.
026_00	Фараон сказал: «Не мешайте мне убить Мусу (Моисея). Пусть он призовет своего Господа. Я опасаюсь, что он заменит вашу религию или распространит на земле нечестие».
027_00	Муса (Моисей) сказал: «Воистину, я прибег к защите моего Господа и вашего Господа от всякого превознесшегося гордеца, не верующего в День расчета».
028_00	Верующий муж из рода Фараона, скрывавший свою веру, сказал: «Неужели вы убьете человека за то, что он говорит: «Мой Господь - Аллах»? Ведь он явился к вам с ясными знамениями от вашего Господа.
028_01	Если он лжет, то его ложь навредит только ему самому. Если же он говорит правду, то вас поразит некоторое из того, что он вам обещает. Воистину, Аллах не ведет прямым путем того, кто излишествует и лжет.
029_00	О мой народ! Сегодня у вас есть власть, и вы господствуете на земле.
029_01	Но кто поможет нам, если наказание Аллаха явится к нам?». Фараон сказал: «Я указываю вам только на то, что сам считаю нужным. Я веду вас только правильным путем».
