001_00	Алиф. Лам. Ра. Это - аяты ясного Писания.
002_00	Воистину, Мы ниспослали его в виде Корана на арабском языке, чтобы вы могли понять его.
003_00	Мы рассказываем тебе самый прекрасный рассказ, внушая тебе в откровении этот Коран, хотя прежде ты был одним из тех, кто ничего не ведал об этом.
004_00	Вот Йусуф (Иосиф) сказал своему отцу: «О мой отец! Я видел одиннадцать звезд, солнце и луну. Я видел, как они поклонились мне».
005_00	Он сказал: «О сын мой! Не рассказывай этот сон своим братьям, а не то они замыслят против тебя дурное. Воистину, дьявол - явный враг человеку.
006_00	Твой Господь изберет тебя, научит тебя толковать сны и одарит совершенной милостью тебя и род Йакуба (Иакова), подобно тому, как еще раньше Он одарил совершенной милостью твоих отцов Ибрахима (Авраама) и Исхака (Исаака).
006_01	Воистину, твой Господь - Знающий, Мудрый».
007_00	Безусловно, Йусуф (Иосиф) и его братья стали знамениями для тех, кто спрашивает.
008_00	Вот они сказали: «Отец любит Йусуфа (Иосифа) и его брата больше, чем нас, хотя нас - целая группа. Воистину, наш отец пребывает в очевидном заблуждении.
009_00	Убейте Йусуфа (Иосифа) или бросьте его на другой земле. Тогда лицо вашего отца целиком будет обращено к вам, а после этого вы будете праведными людьми».
010_00	Один из них сказал: «Не убивайте Йусуфа (Иосифа), а бросьте его на дно колодца, если вы решили действовать. Один из караванов вытащит его».
011_00	Они сказали: «О отец наш! Почему ты не доверяешь нам Йусуфа (Иосифа)? Воистину, мы желаем ему добра.
012_00	Отпусти его завтра с нами, пусть он насладится и поиграет, а мы будем оберегать его».
013_00	Он сказал: «Мне грустно от того, что вы уведете его. Я боюсь, что волк растерзает его, когда вы оставите его без присмотра».
014_00	Они сказали: «Если волк растерзает его, тогда как нас - целая группа, то мы действительно окажемся потерпевшими убыток».
015_00	Когда они увели его и бросили на дно колодца, Мы внушили ему: «Ты непременно напомнишь им об этом поступке, когда они даже не узнают тебя».
016_00	Вечером они вернулись к своему отцу с плачем
017_00	и сказали: «О отец наш! Мы соревновались, а Йусуфа (Иосифа) оставили стеречь наши вещи, и волк съел его. Ты все равно не поверишь нам, хотя мы говорим правду».
018_00	Они показали лживую кровь на его рубашке, и он сказал: «О нет! Это ваши души ввели вас в соблазн, и лучше проявить терпение. Только Аллаха следует просить о помощи против того, что вы рассказали».
019_00	Когда прибыл караван, они послали водоноса принести воды. Он опустил свое ведро и сказал: «Вот радость! Это же - мальчик!». Они спрятали его, чтобы продать. Но Аллах ведал о том, что они совершали.
020_00	Они (братья Йусуфа) продали его за ничтожную цену - всего за несколько дирхемов. Они не высоко оценили его.
021_00	Тот житель Египта, который купил Йусуфа (Иосифа), сказал своей жене: «Относись к нему хорошо. Быть может, он принесет нам пользу, или же мы усыновим его».
021_01	Так Мы утвердили Йусуфа (Иосифа) на земле и научили его толкованию снов. Аллах властен вершить Свои дела, однако большинство людей не ведает об этом.
022_00	Когда Йусуф (Иосиф) достиг зрелого возраста, Мы даровали ему умение принимать решения и знание. Так Мы вознаграждаем творящих добро.
023_00	Женщина, в доме которой он жил, стала соблазнять его, заперла двери и сказала: «Иди ко мне». Он сказал: «Упаси Аллах!
023_01	Ведь он - мой господин, обеспечивший мне прекрасную жизнь. Воистину, беззаконники не преуспеют».
024_00	Она возжелала его, и он возжелал бы ее, если бы не увидел знамение своего Господа. Так Мы отвратили от него зло и мерзость. Воистину, он был из числа Наших избранных (или искренних) рабов.
025_00	Они бросились к двери, пытаясь опередить друг друга, и она порвала его рубаху со спины.
025_01	У двери они встретили ее господина. Она сказала: «Как иначе можно покарать того, кто хотел причинить зло твоей жене, если не заточить его в темницу или не подвергнуть мучительным страданиям?!».
026_00	Он сказал: «Это она пыталась соблазнить меня». А свидетель из ее семьи сказал: «Если его рубаха разорвана спереди, то она говорит правду, а он - один из тех, кто лжет.
027_00	А если его рубаха разорвана со спины, то она лжет, а он - один из тех, кто говорит правду».
028_00	Увидев, что его рубаха разорвана со спины, он сказал: «Воистину, все это - ваши женские козни. Воистину, ваши козни велики!
029_00	Йусуф (Иосиф), забудь об этом! А ты проси прощения за свое прегрешение, ибо ты совершила грех».
030_00	Женщины в городе стали говорить: «Жена знатного мужа пыталась соблазнить своего юного раба! Она страстно возлюбила его, и мы полагаем, что она впала в очевидное заблуждение».
031_00	Когда она услышала про их хитрость, то пригласила их, велела приготовить им подушки, дала каждой по ножу для фруктов и сказала: «Выйди к ним». Когда они увидели его, то так превознесли его, что порезали ножами себе руки и сказали: «Упаси Аллах!
