001_00	Alif-Lam-Ra. Dies sind die Zeichen des weisen Buches.
002_00	Ist es denn für die Menschen verwunderlich, daß Wir einem Mann von ihnen (als Offenbarung) eingegeben haben: "Warne die Menschen und verkünde denen, die glauben, die frohe Botschaft, daß sie bei ihrem Herrn einen wahrhaftigen Stand haben"?
002_01	Die Ungläubigen sagen: "Das ist wahrlich ein deutlicher Zauberer.3"
003_00	Gewiß, euer Herr ist Allah, Der die Himmel und die Erde in sechs Tagen erschuf und Sich hierauf über den Thron erhob. Er regelt die Angelegenheit.
003_01	Es gibt keinen Fürsprecher außer nach Seiner Erlaubnis. Dies ist doch Allah, euer Herr, so dient Ihm! Bedenkt ihr denn nicht?
004_00	Zu Ihm wird eure aller Rückkehr sein. (Das ist) Allahs Versprechen in Wahrheit.
004_01	Er macht die Schöpfung am Anfang und wiederholt sie hierauf, um (es) denjenigen, die glauben und rechtschaffene Werke tun, in Gerechtigkeit zu vergelten. Für diejenigen, die ungläubig sind, wird es ein Getränk aus heißem Wasser und schmerzhafte Strafe geben dafür, daß sie ungläubig gewesen sind.
005_00	Er ist es, Der die Sonne zu einer Leuchte und den Mond zu einem Licht gemacht und ihm Himmelspunkte zugemessen hat, damit ihr die Zahl der Jahre und die (Zeit)rechnung wißt.
005_01	Allah hat dies ja nur in Wahrheit erschaffen. Er legt die Zeichen ausführlich dar für Leute, die Bescheid wissen.
006_00	Gewiß, in dem Unterschied von Nacht und Tag und in dem, was Allah in den Himmeln und auf der Erde erschaffen hat, sind wahrlich Zeichen für Leute, die gottesfürchtig sind.
007_00	Diejenigen nun, die nicht die Begegnung mit Uns erwarten und mit dem diesseitigen Leben zufrieden sind und darin Ruhe finden, und die gegenüber Unseren Zeichen unachtsam sind,
008_00	deren Zufluchtsort wird das (Höllen)feuer sein für das, was sie erworben haben.
009_00	Diejenigen aber, die glauben und rechtschaffene Werke tun, leitet ihr Herr wegen ihres Glaubens recht. Unter ihnen werden Flüsse strömen in den Gärten der Wonne.
010_00	Ihr Ausruf darin wird sein: "Preis sei Dir, o Allah!" und ihr Gruß darin: "Friede!" und ihr abschließender Ausruf: "(Alles) Lob gehört Allah, dem Herrn der Weltenbewohner!"
011_00	Wenn Allah den Menschen das Schlechte so beschleunigen würde, wie sie das Gute zu beschleunigen wünschen, wäre ihre Frist für sie bereits bestimmt.
011_01	Aber Wir lassen diejenigen, die nicht die Begegnung mit Uns erwarten, in ihrer Auflehnung umherirren.
012_00	Und wenn dem Menschen Unheil widerfährt, ruft er Uns auf der Seite (liegend), im Sitzen oder Stehen an.
012_01	Wenn Wir ihm aber sein Unheil hinweggenommen haben, geht er vorbei, als hätte er Uns nicht wegen eines Unheils, das ihm widerfahren ist, angerufen. So ist den Maßlosen ausgeschmückt, was sie tun.
013_00	Wir haben bereits die Geschlechter vor euch vernichtet, als sie Unrecht taten, als ihre Gesandten mit den klaren Beweisen zu ihnen kamen, und sie nicht glauben mochten.
013_01	So vergelten Wir dem übeltätigen Volk.
014_00	Hierauf haben Wir euch nach ihnen zu Nachfolgern (auf) der Erde gemacht, um zu schauen, wie ihr handeln würdet.
015_00	Wenn ihnen Unsere Zeichen als klare Beweise verlesen werden, sagen diejenigen, die nicht die Begegnung mit Uns erwarten: "Bringe einen anderen Qur'an als diesen oder ändere ihn ab." Sag: Es steht mir nicht zu, ihn von mir selbst aus abzuändern.
015_01	Ich folge nur dem, was mir (als Offenbarung) eingegeben wird. Gewiß, ich fürchte, wenn ich mich meinem Herrn widersetze, die Strafe eines gewaltigen Tages.
016_00	Sag: Wenn Allah wollte, würde ich ihn euch nicht verlesen, und Er würde euch nicht davon Kenntnis geben. Ich habe doch vordem ein Leben lang unter euch verweilt. Begreift ihr denn nicht?
017_00	Wer ist ungerechter, als wer gegen Allah eine Lüge ersinnt oder Seine Zeichen für Lüge erklärt? Gewiß, den Übeltätern wird es nicht wohl ergehen.
018_00	Sie dienen anstatt Allahs, was ihnen weder schadet noch nützt, und sagen: "Das sind unsere Fürsprecher bei Allah." Sag: Wollt ihr denn Allah kundtun, was Er nicht kennt, weder in den Himmeln noch auf der Erde?
018_01	Preis sei Ihm! Erhaben ist Er über das, was sie (ihm) beigesellen.
019_00	Die Menschen waren nur eine einzige Gemeinschaft. Dann wurden sie uneinig. Wenn es nicht ein früher ergangenes Wort von deinem Herrn gäbe, so wäre zwischen ihnen wahrlich entschieden worden über das, worüber sie uneinig sind.
020_00	Und sie sagen: "Wenn doch ein Zeichen von seinem Herrn auf ihn herabgesandt würde!" Sag: Das Verborgene ist nur Allahs. So wartet ab! Ich gehöre mit euch zu denjenigen, die abwarten.
021_00	Wenn Wir die Menschen Barmherzigkeit kosten lassen nach Leid, das ihnen widerfuhr, schmieden sie gleich Ränke gegen Unsere Zeichen.
021_01	Sag: Allah schmiedet noch schneller Ränke. Gewiß, Unsere Gesandten schreiben auf, was ihr an Ränken schmiedet.
022_00	Er ist es, Der euch auf dem Festland und dem Meer reisen läßt. Wenn ihr dann auf den Schiffen seid und diese mit ihnen bei einem guten
022_01	Wind dahinfahren und sie froh darüber sind, ein stürmischer Wind darüber kommt, die Wogen von überall über sie kommen, und sie meinen, daß sie rings umgeben werden,
022_02	(dann) rufen sie Allah an, (wobei sie) Ihm gegenüber aufrichtig in der Religion (sind): "Wenn Du uns nur hieraus rettest, werden wir ganz gewiß zu den Dankbaren gehören!"
023_00	Aber wenn Er sie gerettet hat, fangen sie sogleich an, ohne Recht auf der Erde gewalttätig zu handeln. O ihr Menschen, eure Gewalttätigkeit richtet sich doch nur gegen euch selbst.
