001_00	Gewiß, Wir haben dir einen deutlichen Sieg verliehen,
002_00	damit dir Allah das von deinen Sünden vergebe, was vorher war und was später sein wird, und damit Er Seine Gunst an dir vollende und dich einen geraden Weg leite
003_00	und (damit) Allah dir helfe mit mächtiger Hilfe.
004_00	Er ist es, der die innere Ruhe in die Herzen der Gläubigen herabgesandt hat, damit sie in ihrem Glauben noch an Glauben zunehmen.
004_01	Und Allah gehören die Heerscharen der Himmel und der Erde. Und Allah ist Allwissend und Allweise.
005_00	(Dies,) damit Er die gläubigen Männer und die gläubigen Frauen in Gärten eingehen lasse, durcheilt von Bächen -
005_01	ewig darin zu bleiben -, und ihnen ihre bösen Taten tilge; das ist bei Allah ein großartiger Erfolg.
006_00	Und (damit) Er die Heuchler und Heuchlerinnen und die Götzendiener und Götzendienerinnen strafe, die von Allah die böse Erwartung hegen.
006_01	Gegen sie wird die böse Schicksalswendung sein. Allah zürnt ihnen, verflucht sie und bereitet ihnen die Hölle - (wie) böse ist der Ausgang!
007_00	Und Allah gehören die Heerscharen der Himmel und der Erde. Und Allah ist Allmächtig und Allweise.
008_00	Wir haben dich ja als Zeugen, Verkünder froher Botschaft und Warner gesandt,
009_00	damit ihr an Allah und Seinen Gesandten glaubt, ihm beisteht und ihn hochachtet und (damit ihr) Ihn preist morgens und abends.
010_00	Gewiß, diejenigen, die dir den Treueid leisten, leisten (in Wirklichkeit) nur Allah den Treueid; Allahs Hand ist über ihren Händen.
010_01	Wer nun (sein Wort) bricht, bricht es nur zu seinem eigenen Nachteil; wer aber das einhält, wozu er sich Allah gegenüber verpflichtet hat, dem wird Er großartigen Lohn geben.
011_00	Die Zurückgelassenen der Wüstenaraber werden zu dir sagen: "Unser Besitz und unsere Angehörigen haben uns (zu sehr) beschäftigt; so bitte für uns um Vergebung." Sie sagen mit ihren Zungen, was nicht in ihren Herzen ist. Sag: Wer vermag denn für euch bei Allah etwas (zu ändern), wenn Er für euch Schaden will oder wenn Er für euch Nutzen will?
011_01	Aber nein! Allah ist dessen, was ihr tut, Kundig.
012_00	Aber nein! Ihr meintet, daß der Gesandte und die Gläubigen niemals mehr zu ihren Angehörigen zurückkehren würden, und das ist euch in euren Herzen ausgeschmückt worden. Und ihr hegtet die böse Erwartung und wart ein Volk des Niedergangs.
013_00	Doch wer an Allah und Seinen Gesandten nicht glaubt - gewiß, so haben Wir für die Ungläubigen eine Feuerglut bereitet.
014_00	Und Allah gehört die Herrschaft der Himmel und der Erde. Er vergibt, wem Er will, und Er straft, wen Er will. Und Allah ist Allvergebend und Barmherzig.
015_00	Die Zurückgelassenen werden, wenn ihr loszieht, um Beute zu machen, sagen: "Laßt uns euch folgen", indem sie Allahs Wort abändern wollen. Sag: "Ihr werdet uns nicht folgen.
015_01	So hat Allah (schon) zuvor gesprochen." Dann werden sie sagen: "Nein! Vielmehr beneidet ihr uns." Aber nein! Sie verstehen ja nur wenig.
016_00	Sag zu den Zurückgelassenen der Wüstenaraber: "Ihr werdet zu Leuten gerufen werden, die eine starke Gewalt besitzen, gegen die ihr kämpfen sollt, es sei denn, sie werden vorher Muslime.
