001_00	อะลิฟ ลาม มีม
002_00	อัลลอฮ์นั้นคือ ไม่มีผู้ที่เป็นที่เคารพสักการะใด ๆ นอกจากพระองค์เท่านั้น ผู้ทรงมีชีวิตอยู่เสมอ ผู้ทรงบริหารกิจการทั้งหลายเป็นเนืองนิจ (ในสิ่งที่พรองค์ทรงสร้างและทรงบังเกิด)
003_00	พระองค์ได้ทรงประทานคัมภีร์นั้น ลงมาแก่เจ้าเป็นครั้งคราว พร้อมด้วยความจริง เพื่อยืนยันคัมภีร์ที่อยู่เบื้องหน้า คัมภีร์นั้น และได้ทรงประทานอัตเตารอต และอัล-อินญีล
004_00	(ให้มี) มาก่อน ในฐานะเป็นข้อแนะนำสำหรับมนุษย์ และได้ประทานอัล-ฟุรกอนมาด้วย แท้จริงบรรดาผู้ปฏิเสธศรัทธาต่อบรรดาโองการของอัลลอฮ์นั้น พวกเขาจะได้รับโทษอันรุนแรง และอัลลอฮ์นั้นเป็นผู้ทรงเดชานุภาพ ผู้ทรงทำการลงโทษ
005_00	แท้จริงอัลลอฮ์นั้น ไม่มีสิ่งใดในแผ่นดินจะซ่อนเร้นพระองค์ไปได้ และทั้งไม่มีฟากฟ้าด้วย
006_00	พระองค์คือผู้ทรงทำให้พวกเจ้ามีรูปร่างขึ้นในมดลูก ตามที่พระองค์ทรงประสงค์ ไม่มีสิ่งที่ควรได้รับการเคารพสักการะใด ๆนอกจากพระองค์เท่านั้น ผู้ทรงเดชานุภาพ ผู้ทรงปรีชาญาณ
007_00	พระองค์คือผู้ทรงประทานคัมภีร์ลงมาแก่เจ้า โดยที่ส่วนหนึ่งจากคัมภีร์นั้นมีบรรดาโฮงการที่มีข้อความรัดกุมชัดเจน ซึ่งโองการเหล่านั้น คือรากฐานของคัมภีร์ และมีโองการอื่น ไ
007_01	อีกที่มีข้อความเป็นนัย ส่วนบรรดาผู้ที่ในหัวใจของพวกเขามีการเอนเอียงออกจากความจริงนั้น เขาจะติดตามโองการที่มีข้อความเป็นนัยจากคัมภีร์ ทั้งนี้ เพื่อแสวงหาความวุ่นวาย และเพื่อแสวงหาการตีความในโองการนั้น แลไม่มีใครรู้ในการตีความโองการนั้นได้นอกจากอัลลอฮ์。
007_02	และบรรดาผู้ที่มั่นคงในความรู้เท่านั้น โดยที่พวกเขาจะกล่าวว่า พวกเราศรัทธาต่อโองการนั้น ทั้งหมดนั้นมาจากที่ที่พระผู้เป็นเจ้าของเราทั้งสิ้น และไม่มีใครที่จะรับคำตักเตือนนอกจากบรรดาผู้ที่มีสติปัญญาเท่านั้น
008_00	โอ้พระผู้เป็นเจ้าของพวกเรา ! โปรดอย่าให้หัวใจของพวกเราเอนเอียงออกจากความจริงเลย หลังจากที่พระองค์ได้ทรงแนะนำแก่พวกเราแล้ว และโปรดได้ประทานความเอ็นดูเมตตา จากที่ที่พระองค์ให้แก่พวกเราด้วยเถิด แท้จริงพระองค์นั้นคือผู้ทรงประทานให้อย่างมากมาย
009_00	โอ้พระผู้เป็นเจ้าของพวกเรา ! แท้จริงพระองค์นั้น เป็นผู้ชุมนุมมนุษย์ทั้งหลายในวันหนึ่งซึ่งไม่มีการสงสัยใด ๆ ในวันนั้น แท้จริงอัลลอฮ์นั้นจะไม่ทรงผิดสัญญา
