001_00	อะลิฟ ลาม มีม
002_00	พวกโรมันถูกพิชิตแล้ว
003_00	ในดินแดนอันใกล้นี้ แต่หลังจากการปราชัยของพวกเขาแล้วพวกเขาจะได้รับชัยชนะ
004_00	ในเวลาไม่กี่ปีต่อมา พระบัญชาเป็นสิทธิของอัลลอฮฺ ทั้งก่อนและหลัง (ชัยชนะ) และวันนั้นบรรดาผู้ศรัทธาจะดีใจ
005_00	ด้วยการช่วยเหลือของอัลลอฮฺ พระองค์ทรงช่วยเหลือผู้ที่พระองค์ทรงประสงค์ และพระองค์เป็นผู้ทรงอำนาจ ผู้ทรงเมตตาเสมอ
006_00	(นั่นคือ) สัญญาของอัลลอฮฺ อัลลอฮฺจะไม่ทรงบิดพริ้วสัญญาของพระองค์แต่ส่วนมากของมนุษย์ไม่รู้
007_00	พวกเขารู้แต่เพียงผิวเผินในเรื่องการดำรงชีวิตในโลกนี้ และพวกเขาไม่คำนึงถึงการมีชีวิตในปรโลก
008_00	พวกเขามิได้ใคร่ครวญ ในตัวของพวกเขาดอกหรือว่า อัลลอฮฺมิได้ทรงสร้างชั้นฟ้าทั้งหลายและแผ่นดิน
008_01	และสิ่งที่อยู่ระหว่างทั้งสอง เพื่อสิ่งอื่นใดเลย เว้นแต่เพื่อความจริงและเวลาที่ถูกกำหนดไว้ และแท้จรงส่วนมากของมนุษย์เป็นผู้ปฏิเสธศรัทธาต่อการพบพระผู้เป็นเจ้าของพวกเขา
009_00	พวกเขามิได้ท่องเที่ยวไปตามแผ่นดินดอกหรือ แล้วพิจารณาดูว่าบั้นปลายของประชาชาติในยุคก่อนหน้าพวกเขาเป็นเช่นใด เขาเหล่านั้นม
009_01	ีพลังที่เข้มแข็งกว่าพวกเขา เขาเหล่านั้นขุดพรวนดินและก่อสร้าง (เคหสถาน) มากกว่าพวกเขาก่อสร้างมัน และบรรดาร่อซูลของพวกเขาไ
009_02	ด้มาหาพวกเขาด้วยหลักฐานอันชัดแจ้ง ดังนั้น แน่นอนอัลลอฮฺมิได้ทรงอธรรมต่อพวกเขา แต่ว่าพวกเขาอธรรมต่อตัวของพวกเขาเองต่างหาก
010_00	แล้วบั้นปลายของบรรดาผู้กระทำความชั่วก็คือความชั่ว โดยที่พวกเขาปฏิเสธต่อสัญญาณทั้งหลายของอัลลอฮฺและพวกเขาเย้ยหยันมัน
011_00	อัลลอฮฺทรงเริ่มการบังเกิด (มนุษย์) แล้วทรงให้มันกลับมาเกิดอีก แล้วพวกเจ้าจะถูกนำกลับไปยังพระองค์
012_00	และวันที่วาระสุดท้ายจะเกิดขึ้น พวกทำผิดก็จะหมดหวัง
013_00	และจะไม่มีผู้ใดจากบรรดาภาคีของพวกเขาเป็นผู้ช่วยเหลือพวกเขา และพวกเขาก็เป็นผู้ปฏิเสธบรรดาภาคีของพวกเขาด้วย
014_00	และวันที่วาระสุดท้ายจะเกิดขึ้น วันนั้นพวกเขาจะแยกออกจากกัน
015_00	ดังนั้น สำหรับบรรดาผู้ศรัทธาและประกอบความดี พวกเขาก็จะชื่นชมยินดีอยู่ในสวนสวรรค์
016_00	และส่วนบรรดาผู้ปฏิเสธศรัทธาและไม่ยอมเชื่อต่อสัญญาณทั้งหลายของเรา และการพบ (เรา) ในวันปรโลก ชนเหล่านั้นแหละเป็นผู้อยู่ในการลงโทษอย่างถาวร
017_00	ดังนั้น มหาบริสุทธิ์ยิ่งแด่อัลลอฮฺ เมื่อพวกเจ้าย่างเข้าสู่ยามเย็น และพวกเจ้าย่างเข้าสู่ยามเช้า
018_00	มวลการสรรเสริญในชั้นฟ้าทั้งหลายและแผ่นดินเป็นกรรมสิทธิ์ของพระองค์ และในยามพลบค่ำ และเมื่อพวกเจ้าย่างเข้าสู่ยามบ่าย
019_00	พระองค์ทรงให้มีชีวิตหลังจากการตาย และทรงให้ตายหลังจากมีชีวิต และทรงให้แผ่นดินมีชีวิตชีวาขึ้น หลังจากการแห้งแล้งของมัน และเช่นนั้นแหละพวกเจ้าจะถูกนำออกมา
020_00	และหนึ่งจากสัญญาณทั้งหลายของพระองค์คือ ทรงสร้างพวกเจ้าจากดิน แล้วพวกเจ้าเป็นมนุษย์แพร่กระจายออกไป
021_00	และหนึ่งจากสัญญาณทั้งหลายของพระองค์คือ ทรงสร้างคู่ครองให้แก่พวกเจ้าจากตัวของพวกเจ้า เพื่อพวกเจ้าจะได้มีความสุขอยู่กับนาง
021_01	และ ทรงมีความรักใคร่และความเมตตาระหว่างพวกเจ้า แท้จริงในการนี้ แน่นอน ย่อมเป็นสัญญาณแก่หมู่ชนผู้ใคร่ครวญ
022_00	และหนึ่งจากสัญญาณทั้งหลายของพระองค์คือ การสร้างชั้นฟ้าทั้งหลายและแผ่นดิน และการแตกต่างของภาษาของพวกเจ้าและผิวพรรณของพวกเจ้า แท้จริงในการนี้แน่นอน ย่อมเป็นสัญญาณสำหรับบรรดาผู้มีความรู้
023_00	และหนึ่งจากสัญญาณทั้งหลายของพระองค์คือ การหลับนอนของพวกเจ้าในกลางคืนและกลางวัน และการแสวงหาของพวกเจ้าซึ่งความโปรดปรานของพระองค์ แท้จริงในการนี้ แน่นอน ย่อมเป็นสัญญาณแก่หมู่ชนผู้ฟังเพื่อใคร่ครวญ
024_00	และหนึ่งจากสัญญาณทั้งหลายของพระองค์คือ ทรงให้พวกเจ้าเห็นสายฟ้าแลบเป็นที่หวาดกลัว และเป็นความหวัง และทรงหลั่งน้ำลงมาจากฟากฟ้า
024_01	และทรงให้แผ่นดินมีชีวิตชีวาด้วยมัน (น้ำฝน) หลังจากการแห้งแล้งของมัน แท้จริงในการนั้น ย่อมเป็นสัญญาณแก่หมู่ชนผู้ใช้สติปัญญา
025_00	และหนึ่งจากสัญญาณทั้งหลายของพระองค์คือ ชั้นฟ้าและแผ่นดินมั่นคงอยู่ตามพระบัญชาของพระองค์ ครั้นเมื่อพระองค์ทรงร้องเรียกพวกเจ้าอีกครั้งหนึ่งให้ออกจากแผ่นดิน เมื่อนั้นพวกเจ้าก็จะออกมากัน
