001_00	อะลิฟ ลาม มีม
002_00	มนุษย์คิดหรือว่า พวกเขาจะถูกทอดทิ้งเพียงแต่พวกเขากล่าวว่าเราศรัทธา และพวกเขาจะไม่ถูกทดสอบ กระนั้นหรือ ?
003_00	และโดยแน่นอน เราได้ทดสอบบรรดาก่อนหน้าพวกเขา แล้ว ดังนั้นอัลลอฮ์จะทรงจำแนกให้รู้แจ้งถึงบรรดาผู้สัตว์จริง และจะทรงจำแนกให้รู้แจ้งถึงบรรดาผู้กล่าวเท็จ
004_00	หรือบรรดาผู้กระทำความชั่วทั่งหลายคิดว่าพวกเขาจะรอดพ้นไปจากเรา ชั่วช้าแท้ ๆ สิ่งที่พวกเขาตัดสินกัน
005_00	ผู้ใดหวังที่จะพบ อัลลอฮ์ ดังนั้นแท้จริงกำหนดของอัลลอฮ์ย่อมมาถึงแน่นอน และพระองค์เป็นทรงได้ยิน ผู้ทรงรอบรู้
006_00	และผู้ใดต่อสู้ดิ้นรน แท้จริงเขาย่อมต่อสู้ดิ้นรนเพื่อตัวของเราเอง แท้จริงอัลลอฮ์นั้น แน่นอน ทรงมั่งมีเหนือประชาชาติทั้งหลาย
007_00	และบรรดาผู้ศรัทธาและกระทำความดีทั้งกลายนั้น แน่นอนเราจะลบล้างความชั่วทั้งหลายของพวกเขาไปจากพวกเขา และแน่นอนเราจะตอบแทนพวกเขาสิ่งที่ดียิ่ง ซึ่งพวกเขาได้กระทำไว้
008_00	และเราได้สั่งเสียงมนุษย์ให้ทำดีต่อบิดามารดาของเขา และถ้าทั้งสองบังคับเจ้าเพื่อให้ตั้งภาคีในสิ่งที่เจ้าไม่มีความรู้
008_01	เจ้าก็อย่าปฏิบัติตามเขาทั้งสอง ยังข้าคือการกลับของพวกเจ้า ดังนั้นข้าจะแจ้งแก่พวกเข้าในสิ่งที่พวกเจ้าได้กระทำไว้
009_00	และบรรดาผู้ศรัทธา และกระทำความดีนั้น แน่นอนเราจะให้พวกเขาเข้าอยู่ในหมู่คนดีทั้งหลาย
010_00	และในหมู่มนุษย์นั้นมีผู้กล่าวว่า เราศรัทธาต่ออัลลอฮ์ ครั้นเมื่อเขาถูกทำร้ายในทางของอัลลอฮ์ เขาก็ถือเอาการทดสอบของมนุษย์ประหนึ่งการลงโทษของอัลลอฮ์
010_01	และเมื่อการช่วยเหลือจากพระเจ้าของเจ้ามาถึง แน่นอนพวกเขาจะกล่าวว่าแท้จริงเราจะร่วมกับพวกท่าน และมิใช่อัลลอฮ์เป็นผู้ทรงรู้ดียิ่งในสิ่งที่มีอยู่ในหัวอก ของประชาชาติทั้งหลายดอกหรือ ?
