001_00	ฮามีน
002_00	ขอสาบานด้วยคัมภีร์อันชัดแจ้ง
003_00	แท้จริงเราได้ทำให้คัมภีร์เป็นกุรอานภาษาอาหรับ เพื่อพวกเจ้าจะได้ใช้สติปัญญา
004_00	และแท้จริงอัลกุรอานนั้นอยู่ในแม่บทแห่งคัมภีร์ (อัลลูฮุลมะฮฺฟูซ) ณ ที่เรา คือสูงส่งพรั่งพร้อมด้วยปรัชญา
005_00	ดังนั้นจะให้เราหันเหข้อตักเตือนนี้จากพวกเจ้าเสียทีเดียว เพราะพวกเจ้าเป็นหมู่ชนผู้ฝ่าฝืนกระนั้นหรือ
006_00	และกี่มากน้อยแล้วที่เราได้ส่งนะบีมาในชนชาติรุ่นก่อน ๆ
007_00	และไม่มีนะบีคนใดที่ได้มายังพวกเขาเว้นแต่พวกเขาจะได้เยาะเย้ยเขา (นะบี)
008_00	ฉะนั้นเราจึงได้ทำลาย (หมู่ชน) ซึ่งเข้มแข็งทางสมรรถภาพมากกว่าพวกเขา และอุทาหรณ์ของชนชาติรุ่นก่อน ๆ ก็ได้ล่วงลับไปแล้ว
009_00	และหากเจ้าถามพวกเขาใครเล่าเป็นผู้สร้างชั้นฟ้าทั้งหลาย และแผ่นดินนี้ แน่นอนพวกเขาจะกล่าวว่า พระผู้ทรงอำนาจ ผู้ทรงรอบรู้ทรงสร้างมันเหล่านั้น
010_00	ผู้ทรงทำให้แผ่นดินแผ่กว้างสำหรับพวกเจ้า และทรงทำให้มีถนนหนทางในแผ่นดินนั้นสำหรับพวกเจ้า เพื่อพวกเจ้าจะบรรลุสู่เป้าหมาย
011_00	และเป็นผู้ทรงหลั่งน้ำลงมาจากฟากฟ้าตามปริมาณ และด้วยน้ำนั้นเราได้ทรงทำให้แผ่นดินที่แห้งแล้งมีชีวิตชีวาขึ้น เช่นนั้นแหละพวกเจ้าจะถูกให้ออกมา (จากกุบูร)
012_00	และเป็นผู้ทรงสร้างทุกสิ่งทั้งหมดเป็นคู่ ๆ และทรงทำให้เรือและปศุสัตว์สำหรับพวกเจ้าเป็นสิ่งที่พวกเจ้าใช้ขี่เป็นพาหนะ
013_00	เพื่อพวกเจ้าจะได้นั่งอยู่บนหลังของมันอย่างมั่นคง แล้วพวกเจ้าจะได้รำลึกถึงความโปรดปรานของพระเจ้าของพวกเจ้า เมื่อพวกเจ้าได้นั่งขี่บนมันอย่างเรียบร้อยแล้ว พวกเจ้าก็จะกล่าวว่า มหาบริสุทธิ์ผู้ทรงให้พาหนะนี้เป็นความสะดวกแก่เรา และเรานั้นไม่สามารถจะควบคุมมันได้
014_00	และแท้จริงเราจะต้องเป็นผู้กลับไปสู่พระเจ้าของเราอย่างแน่นอน
015_00	และพวกเขาได้ตั้งบางส่วนจากปวงบ่าวของพระองค์คู่เคียงกับพระองค์ แท้จริงมนุษย์นั้นเนรคุณอย่างชัดแจ้ง
016_00	หรือว่าพระองค์ยึดเอาลูกหญิงจากสิ่งที่พระองค์ทรงสร้างและพระองค์ทรงเลือกลูกชายให้แก่พวกเจ้า
017_00	และเมื่อผู้ใดในหมู่พวกเขาได้รับข่าวตามที่เขาได้ตั้งอุปมาพระผู้ทรงกรุณาปรานี ใบหน้าของเขากลายเป็นหมองคล้ำ และเศร้าสลด
018_00	และผู้ที่ถูกเติบโตเลี้ยงดูมาท่ามกลางเครื่องประดับ และในการโต้ถียงก็ไม่มีอะไรชัดแจ้ง (จะตั้งให้เป็นภาคีต่ออัลลอฮฺ) กระนั้นหรือ ?
019_00	และพวกเขาได้ตั้งมะลาอิกะฮฺ ซึ่งพวกเขาเป็นบ่าวของพระผู้ทรงกรุณาปรานีว่าเป็นเพศหญิง และพวกเขารู้เห็นเป็นพยานในการสร้างพวกเขาทั้งหลาย (มะลาอิกะฮฺ) กระนั้นหรือ ? การเป็นพยานของพวกเขาจะถูกบันทึกไว้และพวกเขาจะถูกสอบสวน
020_00	และพวกเขากล่าวอีกว่า หากพระผู้ทรงกรุณาปรานี ทรงประสงค์พวกเราจะไม่เคารพสักการะพวกเขาดอก (มะลาอิกะฮฺ) พวกเขาไม่มีความรู้อันใดในเรื่องนั้น พวกเขาไม่มีอะไรเลยนอกจากคาดคะเนเท่านั้น
021_00	หรือว่าเราได้ประทานคัมภีร์เล่มนึ่งแก่พวกเขาก่อนหน้านั้น ดังนั้นพวกเขาจึงยึดถือคัมภีร์นั้นไว้อย่างมั่นคง
022_00	เปล่าเลย พวกเขากล่าวว่า แท้จริงเราได้พบเห็นบรรพบุรุษของเราอยู่ในแนวทางนี้ ดังนั้นเราจึงดำเนินตามแนวทางของพวกเขา
023_00	และเช่นนั้นแหละ เรามิได้ส่งผู้ตักเตือนคนใดก่อนหน้าเจ้าไปยังเมืองใด เว้นแต่บรรดาผู้ฟุ่มเฟือยของมัน (เมืองนั้น) จะกล่าวว่า แท้จริงเราได้พบเห็นบรรพบุรุษของเราอยู่ในแนวทางนี้ ดังนั้นเราจึงดำเนินตามแนวทางของพวกเขา
