001_00	فجر کی قسم
002_00	اور دس راتوں کی
003_00	اور جفت اور طاق کی
004_00	اور رات کی جب جانے لگے
005_00	اور بے شک یہ چیزیں عقلمندوں کے نزدیک قسم کھانے کے لائق ہیں کہ (کافروں کو ضرور عذاب ہو گا)
006_00	کیا تم نے نہیں دیکھا کہ تمہارے پروردگار نے عاد کے ساتھ کیا کیا
007_00	(جو) ارم (کہلاتے تھے اتنے) دراز قد
008_00	کہ تمام ملک میں ایسے پیدا نہیں ہوئے تھے
009_00	اور ثمود کے ساتھ (کیا کیا) جو وادئِ (قریٰ) میں پتھر تراشتے تھے (اور گھر بناتے) تھے
010_00	اور فرعون کے ساتھ (کیا کیا) جو خیمے اور میخیں رکھتا تھا
011_00	یہ لوگ ملکوں میں سرکش ہو رہے تھے
012_00	اور ان میں بہت سی خرابیاں کرتے تھے
013_00	تو تمہارے پروردگار نے ان پر عذاب کا کوڑا نازل کیا
014_00	بے شک تمہارا پروردگار تاک میں ہے
015_00	مگر انسان (عجیب مخلوق ہے کہ) جب اس کا پروردگار اس کو آزماتا ہے تو اسے عزت دیتا اور نعمت بخشتا ہے۔ تو کہتا ہے کہ (آہا) میرے پروردگار نے مجھے عزت بخشی
016_00	اور جب (دوسری طرح) آزماتا ہے کہ اس پر روزی تنگ کر دیتا ہے تو کہتا ہے کہ (ہائے) میرے پروردگار نے مجھے ذلیل کیا
017_00	نہیں بلکہ تم لوگ یتیم کی خاطر نہیں کرتے
018_00	اور نہ مسکین کو کھانا کھلانے کی ترغیب دیتے ہو
019_00	اور میراث کے مال سمیٹ کر کھا جاتے ہو
020_00	اور مال کو بہت ہی عزیز رکھتے ہو
021_00	تو جب زمین کی بلندی کوٹ کوٹ کو پست کر دی جائے گی
022_00	اور تمہارا پروردگار (جلوہ فرما ہو گا) اور فرشتے قطار باندھ باندھ کر آ موجود ہوں گے
023_00	اور دوزخ اس دن حاضر کی جائے گی تو انسان اس دن متنبہ ہو گا مگر تنبہ (سے) اسے (فائدہ) کہاں (مل سکے گا)
024_00	کہے گا کاش میں نے اپنی زندگی (جاودانی کے لیے) کچھ آگے بھیجا ہوتا
025_00	تو اس دن نہ کوئی خدا کے عذاب کی طرح کا (کسی کو) عذاب دے گا
026_00	اور نہ کوئی ویسا جکڑنا جکڑے گا
027_00	اے اطمینان پانے والی روح!
028_00	اپنے پروردگار کی طرف لوٹ چل۔ تو اس سے راضی وہ تجھ سے راضی
029_00	تو میرے (ممتاز) بندوں میں شامل ہو جا
030_00	اور میری بہشت میں داخل ہو جا
