001_00	المص
002_00	(اے محمدﷺ) یہ کتاب (جو) تم پر نازل ہوئی ہے۔ اس سے تمہیں تنگ دل نہیں ہونا چاہیئے، (یہ نازل) اس لیے (ہوئی ہے) کہ تم اس کے ذریعے سے (لوگوں) کو ڈر سناؤ اور (یہ) ایمان والوں کے لیے نصیحت ہے
003_00	(لوگو) جو (کتاب) تم پر تمہارے پروردگار کے ہاں نازل ہوئی ہے اس کی پیروی کرو اور اس کے سوا اور رفیقوں کی پیروی نہ کرو (اور) تم کم ہی نصیحت قبول کرتے ہو
004_00	اور کتنی ہی بستیاں ہیں کہ ہم نے تباہ کر ڈالیں جن پر ہمارا عذاب (یا تو رات کو) آتا تھا جبکہ وہ سوتے تھے یا (دن کو) جب وہ قیلولہ (یعنی دوپہر کو آرام) کرتے تھے
005_00	تو جس وقت ان پر عذاب آتا تھا ان کے منہ سے یہی نکلتا تھا کہ (ہائے) ہم (ہائے) ہم (اپنے اوپر) ظلم کرتے رہے
006_00	تو جن لوگوں کی طرف پیغمبر بھیجے گئے ہم ان سے بھی پرسش کریں گے اور پیغمبروں سے بھی پوچھیں گے
007_00	پھر اپنے علم سے ان کے حالات بیان کریں گے اور ہم کہیں غائب تو نہیں تھے
008_00	اور اس روز (اعمال کا) تلنا برحق ہے تو جن لوگوں کے (عملوں کے) وزن بھاری ہوں گے وہ تو نجات پانے والے ہیں
009_00	اور جن کے وزن ہلکے ہوں گے تو یہی لوگ ہیں جنہوں نے اپنے تئیں خسارے میں ڈالا اس لیے کہ ہماری آیتوں کے بارے میں بےانصافی کرتے تھے
010_00	اور ہم ہی نے زمین میں تمہارا ٹھکانہ بنایا اور اس میں تمہارے لیے سامان معشیت پیدا کئے۔ (مگر) تم کم ہی شکر کرتے ہو
011_00	اور ہم ہی نے تم کو (ابتدا میں مٹی سے) پیدا کیا پھر تمہاری صورت شکل بنائی پھر فرشتوں کو حکم دیا آدم کے آگے سجدہ کرو تو (سب نے) سجدہ کیا لیکن ابلیس کہ وہ سجدہ کرنے والوں میں (شامل) نہ ہوا
012_00	(خدا نے) فرمایا جب میں نے تجھ کو حکم دیا تو کس چیز نے تجھے سجدہ کرنے سے باز رکھا۔ اس نے کہا کہ میں اس سے افضل ہوں۔ مجھے تو نے آگ سے پیدا کیا ہے اور اسے مٹی سے بنایا ہے
013_00	فرمایا تو (بہشت سے) اتر جا تجھے شایاں نہیں کہ یہاں غرور کرے پس نکل جا۔ تو ذلیل ہے
014_00	اس نے کہا کہ مجھے اس دن تک مہلت عطا فرما جس دن لوگ (قبروں سے) اٹھائے جائیں گے
015_00	فرمایا (اچھا) تجھ کو مہلت دی جاتی ہے
016_00	(پھر) شیطان نے کہا مجھے تو تُو نے ملعون کیا ہی ہے میں بھی تیرے سیدھے رستے پر ان (کو گمراہ کرنے) کے لیے بیٹھوں گا
017_00	پھر ان کے آگے سے اور پیچھے سے دائیں سے اور بائیں سے (غرض ہر طرف سے) آؤں گا (اور ان کی راہ ماروں گا) اور تو ان میں اکثر کو شکر گزار نہیں پائے گا
018_00	(خدا نے) فرمایا، نکل جا۔ یہاں سے پاجی۔ مردود جو لوگ ان میں سے تیری پیروی کریں گے میں (ان کو اور تجھ کو جہنم میں ڈال کر) تم سب سے جہنم کو بھر دوں گا
019_00	اور ہم نے آدم (سے کہا کہ) تم اور تمہاری بیوی بہشت میں رہو سہو اور جہاں سے چاہو (اور جو چاہو) نوش جان کرو مگر اس درخت کے پاس نہ جاؤ ورنہ گنہگار ہو جاؤ گے
020_00	تو شیطان دونوں کو بہکانے لگا تاکہ ان کی ستر کی چیزیں جو ان سے پوشیدہ تھیں کھول دے اور کہنے لگا کہ تم
020_01	کو تمہارے پروردگار نے اس درخت سے صرف اس لیے منع کیا ہے کہ کہ تم فرشتے نہ بن جاؤ یا ہمیشہ جیتے نہ رہو
021_00	اور ان سے قسم کھا کر کہا میں تو تمہارا خیر خواہ ہوں
022_00	غرض (مردود نے) دھوکہ دے کر ان کو (معصیت کی طرف) کھینچ ہی لیا جب انہوں نے اس درخت (کے پھل) کو کھا لیا تو ان کی ستر کی چیزیں کھل گئیں اور وہ بہشت کے (درختوں کے) پتے توڑ توڑ کر اپنے
022_01	اوپر چپکانے لگے اور (ستر چھپانے لگے) تب ان کے پروردگار نے ان کو پکارا کہ کیا میں نے تم کو اس درخت (کے پاس جانے) سے منع نہیں کیا تھا اور جتا نہیں دیا تھا کہ شیطان تمہارا کھلم کھلا دشمن ہے
023_00	دونوں عرض کرنے لگے کہ پروردگار ہم نے اپنی جانوں پر ظلم کیا اور اگر تو ہمیں نہیں بخشے گا اور ہم پر رحم نہیں کرے گا تو ہم تباہ ہو جائیں گے
024_00	(خدا نے) فرمایا (تم سب بہشت سے) اتر جاؤ (اب سے) تم ایک دوسرے کے دشمن ہو اور تمہارے لیے ایک وقت (خاص) تک زمین پر ٹھکانہ اور (زندگی کا) سامان (کر دیا گیا) ہے
025_00	(یعنی) فرمایا کہ اسی میں تمہارا جینا ہوگا اور اسی میں مرنا اور اسی میں سے (قیامت کو زندہ کر کے) نکالے جاؤ گے
026_00	اے نبی آدم ہم نے تم پر پوشاک اتاری کہ تمہارا ستر ڈھانکے اور (تمہارے بدن کو) زینت (دے) اور
026_01	(جو) پرہیزگاری کا لباس (ہے) وہ سب سے اچھا ہے۔ یہ خدا کی نشانیاں ہیں تاکہ لوگ نصحیت پکڑ یں
027_00	اے نبی آدم (دیکھنا کہیں) شیطان تمہیں بہکا نہ دے جس طرح تمہارے ماں باپ کو (بہکا کر) بہشت سے نکلوا دیا اور ان سے ان کے کپڑے اتروا دیئے تاکہ ان کے ستر ان کو کھول کر
027_01	دکھا دے۔ وہ اور اس کے بھائی تم کو ایسی جگہ سے دیکھتے رہے ہیں جہاں سے تم ان کو نہیں دیکھ سکتے ہم نے شیطانوں کو انہیں لوگوں کا رفیق کار بنایا ہے جو ایمان نہیں رکھتے
028_00	اور جب کوئی بے حیائی کا کام کرتے ہیں تو کہتے ہیں کہ ہم نے اپنے بزرگوں کو اسی طرح کرتے دیکھا ہے اور خدا نے بھی ہم کو یہی
028_01	حکم دیا ہے۔ کہہ دو خدا بےحیائی کے کام کرنے کا ہرگز حکم نہیں دیتا۔ بھلا تم خدا کی نسبت ایسی بات کیوں کہتے ہو جس کا تمہیں علم نہیں
029_00	کہہ دو کہ میرے پروردگار نے تو انصاف کرنے کا حکم دیا ہے۔ اور یہ کہ ہر نماز کے وقت سیدھا (قبلے کی طرف) رخ کیا کرو اور خاص اسی کی عبادت کرو اور اسی کو پکارو۔ اس نے جس طرح تم کو ابتداء میں پیدا کیا تھا اسی طرح تم پھر پیدا ہوگے
030_00	ایک فریق کو تو اس نے ہدایت دی اور ایک فریق پر گمراہی ثابت ہوچکی۔ ان لوگوں نے خدا کو چھوڑ کر شیطانوں کو رفیق بنا لیا اور سمجھتے (یہ) ہیں کہ ہدایت یاب ہیں
031_00	اے نبی آدم! ہر نماز کے وقت اپنے تئیں مزّین کیا کرو اور کھاؤ اور پیؤ اور بےجا نہ اڑاؤ کہ خدا بےجا اڑانے والوں کو دوست نہیں رکھتا
032_00	پوچھو تو کہ جو زینت (وآرائش) اور کھانے (پینے) کی پاکیزہ چیزیں خدا نے اپنے بندوں کے لیے پیدا کی ہیں ان کو حرام کس نے کیا ہے؟ کہہ دو کہ یہ چیزیں دنیا
032_01	کی زندگی میں ایمان والوں کے لیے ہیں اور قیامت کے دن خاص ان ہی کا حصہ ہوں گی۔ اسی طرح خدا اپنی آیتیں سمجھنے والوں کے لیے کھول کھول کر بیان فرماتا ہے
033_00	کہہ دو کہ میرے پروردگار نے تو بےحیائی کی باتوں کو ظاہر ہوں یا پوشیدہ اور گناہ کو اور ناحق زیادتی کرنے کو حرام کیا ہے۔ اور اس کو بھی کہ تم
033_01	کسی کو خدا کا شریک بناؤ جس کی اس نے کوئی سند نازل نہیں کی اور اس کو بھی کہ خدا کے بارے میں ایسی باتیں کہو جن کا تمہیں کچھ علم نہیں
