001_00	(خدا جو) نہایت مہربان
002_00	اسی نے قرآن کی تعلیم فرمائی
003_00	اسی نے انسان کو پیدا کیا
004_00	اسی نے اس کو بولنا سکھایا
005_00	سورج اور چاند ایک حساب مقرر سے چل رہے ہیں
006_00	اور بوٹیاں اور درخت سجدہ کر رہے ہیں
007_00	اور اسی نے آسمان کو بلند کیا اور ترازو قائم کی
008_00	کہ ترازو (سے تولنے) میں حد سے تجاوز نہ کرو
009_00	اور انصاف کے ساتھ ٹھیک تولو۔ اور تول کم مت کرو
010_00	اور اسی نے خلقت کے لئے زمین بچھائی
011_00	اس میں میوے اور کھجور کے درخت ہیں جن کے خوشوں پر غلاف ہوتے ہیں
012_00	اور اناج جس کے ساتھ بھس ہوتا ہے اور خوشبودار پھول
013_00	تو (اے گروہ جن وانس) تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
014_00	اسی نے انسان کو ٹھیکرے کی طرح کھنکھناتی مٹی سے بنایا
015_00	اور جنات کو آگ کے شعلے سے پیدا کیا
016_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
017_00	وہی دونوں مشرقوں اور دونوں مغربوں کا مالک (ہے)
018_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
019_00	اسی نے دو دریا رواں کئے جو آپس میں ملتے ہیں
020_00	دونوں میں ایک آڑ ہے کہ (اس سے) تجاوز نہیں کرسکتے
021_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
022_00	دونوں دریاؤں سے موتی اور مونگے نکلتے ہیں
023_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
024_00	اور جہاز بھی اسی کے ہیں جو دریا میں پہاڑوں کی طرح اونچے کھڑے ہوتے ہیں
025_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
026_00	جو (مخلوق) زمین پر ہے سب کو فنا ہونا ہے
027_00	اور تمہارے پروردگار ہی کی ذات (بابرکات) جو صاحب جلال وعظمت ہے باقی رہے گی
028_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
029_00	آسمان اور زمین میں جتنے لوگ ہیں سب اسی سے مانگتے ہیں۔ وہ ہر روز کام میں مصروف رہتا ہے
030_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
031_00	اے دونوں جماعتو! ہم عنقریب تمہاری طرف متوجہ ہوتے ہیں
032_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
033_00	اے گروہِ جن وانس اگر تمہیں قدرت ہو کہ آسمان اور زمین کے کناروں سے نکل جاؤ تو نکل جاؤ۔ اور زور کے سوا تم نکل سکنے ہی کے نہیں
034_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
035_00	تم پر آگ کے شعلے اور دھواں چھوڑ دیا جائے گا تو پھر تم مقابلہ نہ کرسکو گے
036_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
037_00	پھر جب آسمان پھٹ کر تیل کی تلچھٹ کی طرح گلابی ہوجائے گا (تو) وہ کیسا ہولناک دن ہوگا
038_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
039_00	اس روز نہ تو کسی انسان سے اس کے گناہوں کے بارے میں پرسش کی جائے گی اور نہ کسی جن سے
040_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
041_00	گنہگار اپنے چہرے ہی سے پہچان لئے جائیں گے تو پیشانی کے بالوں اور پاؤں سے پکڑ لئے جائیں گے
