001_00	Hà', Mìm.
002_00	Rivelazione da parte del Compassionevole, del Misericordioso.
003_00	Un Libro i cui versetti sono stati esposti chiaramente; un Corano arabo, per uomini che conoscono .
004_00	annunzio e monito; ma la maggior parte di loro si sottrae, senza ascoltare.
005_00	Dicono: «I nostri cuori sono avviluppati da ciò cui ci inviti, e c'è un peso nelle nostre orecchie. C'è un velo tra noi e te. Fai pure e noi quello che vogliamo!».
006_00	Di': «Io non sono che un uomo come voi: mi è solo stato rivelato che il vostro Dio è un Dio unico. Rivolgetevi a Lui e implorate il Suo perdono». Guai agli associatori.
007_00	che non pagano la decima e non credono nell'Altra vita.
008_00	In verità coloro che credono e compiono il bene avranno una ricompensa che non sarà mai diminuita.
009_00	Di': «Vorreste forse rinnegare Colui Che in due giorni ha creato la terra attribuirGli consimili ? Egli è il Signore dei mondi.
010_00	Ha infisso le montagne , l'ha benedetta e in quattro giorni di uguale durata ha distribuito gli alimenti» ; a coloro che interrogano.
011_00	Poi si rivolse al cielo che era fumo e disse a quello e alla terra: «Venite entrambi, per amore o per forza». Risposero: «Veniamo obbedienti!».
012_00	Stabilì in due giorni i sette cieli e ad ogni cielo assegnò la sua funzione.
012_01	E abbellimmo il cielo più vicino di luminarie e di una protezione. Questo è il decreto dell'Eccelso, del Sapiente.
013_00	Se si allontanano, di' loro: «Vi dò l'avvertimento di una folgore , uguale alla folgore gli 'Âd e i Thamùd».
014_00	Quando da ogni parte giunsero loro i messaggeri dicendo: «Non adorate altri che Allah», risposero: «Se il nostro Signore avesse voluto, avrebbe certamente fatto scendere gli angeli.
014_01	Dunque non crediamo a ciò con cui siete stati inviati».
015_00	Gli 'Àd furono ingiustamente superbi sulla terra e dissero: «Chi è più forte di noi?».
015_01	Ma come, non avevano visto che Allah, Che li aveva creati, era più forte di loro? Negarono i Nostri Segni.
016_00	Inviammo contro di loro un vento impetuoso e glaciale, in giorni nefasti, affinché gustassero ignominioso castigo già in questa vita.
016_01	Ma il castigo dell'altra vita è più avvilente e non saranno soccorsi.
017_00	Guidammo i Thamùd, ma preferirono l'accecamento alla guida. La folgore del castigo umiliante li colpì per quel che si erano meritati.
018_00	Salvammo coloro che credevano ed erano timorati.
019_00	Il Giorno in cui i nemici di Allah saranno riuniti verso il Fuoco, saranno divisi.
020_00	Quando vi giungeranno, il loro udito, i loro occhi e le loro pelli renderanno testimonianza contro di loro, per quello che avranno fatto.
021_00	E diranno alle loro pelli: «Perché avete testimoniato contro di noi?». Risponderanno: «È stato Allah a farci parlare, Colui Che fa parlare tutte le cose. Egli è Colui Che ci ha creati la prima volta e a Lui sarete ricondotti».
022_00	Non eravate celati a tal punto che non potessero testimoniare contro di voi il vostro udito, i vostri occhi e le vostre pelli. Pensavate invece che Allah non conoscesse quello che facevate.
023_00	Questa vostra supposizione a proposito del vostro Signore vi ha condotti alla rovina e ora siete fra i perduti.
024_00	Se insistono, il Fuoco sarà il loro asilo; quand'anche accampino scuse, non saranno scusati.
025_00	Demmo loro compagni che abbellirono il loro futuro e il loro passato.
025_01	Si realizzò su di loro la sentenza che già era stata pronunziata contro altre comunità di dèmoni e di uomini che li precedettero. Invero furono tra i perdenti.
026_00	I miscredenti dicono: «Non ascoltate questo Corano, discorrete futilmente : forse avrete il sopravvento!».
027_00	Certamente faremo gustare un duro castigo ai miscredenti, e li compenseremo in base alle loro peggiori azioni.
028_00	Così il compenso dei nemici di Allah sarà il Fuoco, in cui rimarranno in perpetuo: per aver smentito i Nostri segni.
029_00	Diranno i miscredenti: «Signore, mostraci coloro tra i dèmoni e gli uomini che ci traviavano, ché possiamo calpestarli, ché siano tra i più abbietti».
030_00	Gli angeli scendono su coloro che dicono: «Il nostro Signore è Allah», e che perseverano. «Non abbiate paura e non affliggetevi; gioite per il Giardino che vi è stato promesso.
031_00	Noi siamo vostri alleati in questa vita e nell'altra, e in quella avrete ciò che l'anime vostre desidereranno e quel che chiederanno.
032_00	Questa è l'ospitalità del Perdonatore, del Misericordioso».
033_00	Chi mai proferisce parola migliore di colui che invita ad Allah, e compie il bene e dice: «Sì, io sono uno dei Musulmani».
034_00	Non sono certo uguali la cattiva e quella buona. Respingi quella con qualcosa che sia migliore: colui dal quale ti divideva l'inimicizia, diventerà un amico affettuoso.
035_00	Ma ricevono questa solo coloro che pazientemente perseverano; ciò accade solo a chi già possiede un dono immenso.
036_00	E se mai Satana ti tentasse, rifugiati in Allah. In verità Egli tutto ascolta e conosce.
037_00	La notte e il giorno, il sole e la luna sono fra i Suoi segni:
037_01	non prosternatevi davanti al sole o davanti alla luna, ma prosternatevi davanti ad Allah che li ha creati, se è Lui che adorate.
038_00	Se si mostrano protervi, quelli che sono presso il Tuo Signore Lo glorificano notte e giorno, senza mai stancarsi.
039_00	Fa parte dei Suoi segni la terra che vedi come affranta. Poi, quando facciamo scendere l'acqua, palpita e rigonfia.
039_01	In verità Colui Che le ridà la vita è Colui Che ridarà la vita ai morti. In verità Egli è l'Onnipotente.
040_00	Non ci sono ignoti coloro che travisano i Nostri segni!
040_01	Colui che sarà precipitato nel Fuoco avrà forse sorte migliore di chi giungerà con sicurezza al Giorno della Resurrezione? Fate pure quel che volete, Egli ben osserva quello che fate.
041_00	In verità essi non credono al Monito che giunse loro, eppure questo è davvero un Libro venerato .
042_00	non lo tange la falsità in niuna delle sue parti. É una rivelazione da parte di un Saggio, Degno di lode.
043_00	Non ti sarà detto altro che quel che fu detto ai messaggeri che ti precedettero. In verità il tuo Signore è il Padrone del perdono, il Padrone del castigo doloroso.
044_00	Se ne avessimo fatto un Corano in una lingua straniera, avrebbero detto: «Perché non sono stati espressi chiaramente i suoi versetti? Un idioma straniero ad un.
044_01	arabo?». Di': «Esso è guida e panacea per coloro che credono». Coloro che invece non credono, sono colpiti da sordità e accecamento, chiamati da un luogo remoto.
045_00	Già demmo a Mosè il Libro su cui polemizzarono. Se non fosse per una precedente Parola del tuo Signore, sarebbe già stato deciso tra di loro; sono invece immersi nel dubbio.
046_00	Chi fa il bene lo fa a suo vantaggio, e chi fa il male lo fa a suo danno. Il tuo Signore non è ingiusto con i Suoi servi.
047_00	a Lui la scienza dell'Ora e non c'è frutto che esca dal suo involucro o femmina gestante o partoriente di cui non abbia conoscenza.
047_01	Nel Giorno in cui li convocherà: «Dove sono coloro che Mi associavate?»; risponderanno: «Ti informiamo che tra noi non c'è nessuno che lo testimoni».
048_00	E coloro che invocavano si saranno allontanati da loro ed essi si renderanno conto di non aver nessuna via di scampo.
049_00	L'uomo non si stanca mai di invocare il bene. Quando poi lo coglie la sventura, si dispera, affranto.
050_00	Se gli facciamo gustare una misericordia da parte nostra dopo che lo ha toccato l'avversità, certamente dice: «Questo mi era dovuto; non credo che sorgerà l'Ora e se mai fossi ricondotto al mio Signore, avrò presso di Lui la migliore delle ricompense».
050_01	Allora informeremo i miscredenti di quello che avranno commesso e faremo gustare loro un penoso tormento.
051_00	Quando colmiamo di favore l'uomo, egli si sottrae e si allontana. Quando invece lo colpisce una sventura, allora invoca a lungo.
052_00	Di': «Non vedete? Se viene da Allah e voi lo rinnegate, chi sarà più traviato di chi si allontana nello scisma.
053_00	Mostreremo loro i Nostri segni nell'universo e nelle loro stesse persone, finché non sia loro chiaro che questa è la Verità». Non ti basta che il tuo Signore sia testimone di ogni cosa.
054_00	Non è forse vero che dubitano dell'incontro con il loro Signore, mentre in verità Egli abbraccia ogni cosa?
