001_00	Alif, Lâm, Mìm.
002_00	Questo è il Libro su cui non ci sono dubbi, una guida per i timorati .
003_00	coloro che credono nell'invisibile, assolvono all'orazione e donano di ciò di cui Noi li abbiamo provvisti.
004_00	coloro che credono in ciò che è stato fatto scendere su di te e in ciò che è stato fatto scendere prima di te e che credono fermamente al- l'altra vita.
005_00	Quelli seguono la guida del loro Signore; quelli sono coloro che prospereranno.
006_00	Quanto a quelli che non credono, a loro non fa differenza che tu li avverta oppure no: non crederanno.
007_00	Allah ha posto un sigillo sui loro cuori e sulle loro orecchie e sui loro occhi c'è un velo; avranno un castigo immenso.
008_00	Tra gli uomini vi è chi dice: «Crediamo in Allah e nel Giorno Ultimo!» e invece non sono credenti.
009_00	Cercano di ingannare Allah e coloro che credono, ma non ingannano che loro stessi e non se ne accorgono.
010_00	Nei loro cuori c'è una malattia e Allah ha aggravato questa malattia. Avranno un castigo doloroso per la loro menzogna.
011_00	E quando si dice loro: «Non spargete la corruzione sulla terra», dicono: «Anzi, noi siamo dei conciliatori!».
012_00	Non sono forse questi i corruttori? Ma non se ne avvedono.
013_00	E quando si dice loro: «Credete come hanno creduto gli altri uomini», rispondono: «Dovremmo credere come hanno creduto gli stolti?». Non sono forse loro gli stolti? Ma non lo sanno.
014_00	Quando incontrano i credenti, dicono: «Crediamo»; ma quando sono soli con i loro dèmoni , dicono: «Invero siamo dei vostri; non facciamo che burlarci di loro».
015_00	Allah si burla di loro, lascia che sprofondino nella ribellione, accecati.
016_00	Sono quelli che hanno scambiato la retta Guida con la perdizione. Il loro è un commercio senza utile e non sono ben guidati.
017_00	Assomigliano a chi accende un fuoco; poi, quando il fuoco ha illuminato i suoi dintorni, Allah sottrae loro la luce e li abbandona nelle tenebre in cui non vedono nulla.
018_00	Sordi, muti, ciechi , non possono ritornare.
019_00	una nuvola di pioggia nel cielo, gonfia di tenebre, di tuoni e di fulmini: mettono le loro dita nelle orecchie temendo la morte a causa dei fulmini.
019_01	E Allah accerchia i miscredenti.
020_00	Il lampo quasi li acceca: ogni volta che rischiara, procedono; ma quando rimangono nell'oscurità si fermano.
020_01	Se Allah avesse voluto, li avrebbe privati dell'udito e della vista. In verità Allah su tutte le cose è potente.
021_00	O uomini, adorate il vostro Signore Che ha creato voi e quelli che vi hanno preceduto, cosicché possiate essere timorati.
022_00	Colui che della terra ha fatto un letto e del cielo un edificiò, e che dal cielo fa scendere l'acqua con la quale produce i frutti che sono il vostro cibo.
022_01	Non attribuite consimili ad Allah ora che sapete.
023_00	E se avete qualche dubbio in merito a quello che abbiamo fatto scendere sul Nostro Servo , portate allora una Sura simile a questa e chiamate altri testimoni all'infuori di Allah, se siete veritieri.
024_00	Se non lo fate – e non lo farete – temete il Fuoco , il cui combustibile sono gli uomini e le pietre, che è stato preparato per i miscredenti.
025_00	E annuncia a coloro che credono e compiono il bene, che avranno i Giardini in cui scorrono i ruscelli.
025_01	Ogni volta che sarà loro dato un frutto diranno: «Già ci era stato concesso!».
025_02	Ma è qualcosa di simile che verrà loro dato; avranno spose purissime e colà rimarranno in eterno.
026_00	In verità Allah non esita a prendere ad esempio un moscerino o qualsiasi altra cosa superiore. Coloro che credono sanno che si tratta della verità che proviene dal loro Signore; i miscredenti invece dicono: «Cosa vuol dire Allah con un simile esempio?».
026_01	ne allontana molti, e molti ne guida. Ma non allontana che gli iniqui.
027_00	coloro che rompono il patto di Allah dopo averlo accettato, spezzano ciò che Allah ha ordinato di unire e spargono la corruzione sulla terra. Quelli sono i perdenti.
028_00	Come potete essere ingrati nei confronti di Allah, quando eravate morti ed Egli vi ha dato la vita? Poi vi farà morire e vi riporterà alla vita e poi a Lui sarete ricondotti.
029_00	Egli ha creato per voi tutto quello che c'è sulla terra. Poi si è rivolto al cielo e lo ha ordinato in sette cieli. Egli è l'Onnisciente.
030_00	E quando il tuo Signore disse agli Angeli: «Porrò un vicario sulla terra»
030_01	, essi dissero: «Metterai su di essa qualcuno che vi spargerà la corruzione e vi verserà il sangue, mentre noi Ti glorifichiamo lodando- Ti e Ti santifichiamo?». Egli disse: «In verità Io conosco quello che voi non conoscete…».
031_00	Ed insegnò ad Adamo i nomi di tutte le cose, quindi le presentò agli Angeli e disse: «Ditemi i loro nomi, se siete veritieri».
032_00	Essi dissero: «Gloria a Te. Non conosciamo se non quello che Tu ci hai insegnato: in verità Tu sei il Saggio, il Sapiente».
033_00	Disse: «O Adamo, informali sui nomi di tutte».
033_01	Dopo che li ebbe informati sui nomi, Egli disse: «Non vi avevo forse detto che conosco il segreto dei cieli e della terra e che conosco ciò che manifestate e ciò che nascondete?».
034_00	E quando dicemmo agli Angeli: «Prosternatevi ad Adamo», tutti si prosternarono, eccetto Iblìs , che rifiutò per orgoglio e fu tra i miscredenti.
035_00	E dicemmo: «O Adamo, abita il Paradiso, tu e la tua sposa. Saziatevene ovunque a vostro piacere, ma non avvicinatevi a quest'albero ché in tal caso sareste tra gli empi».
036_00	Poi Iblìs li fece inciampare e scacciare dal luogo in cui si trovavano.
036_01	E Noi dicemmo: «Andatevene via, nemici gli uni degli altri. Avrete una dimora sulla terra e ne godrete per un tempo stabilito».
037_00	Adamo ricevette parole dal suo Signore e Allah accolse il suo. In verità Egli è Colui che accetta il pentimento, il Misericordioso.
038_00	Dicemmo: «Andatevene via tutti! Se mai vi giungerà una guida da parte Mia, coloro che la seguiranno non avranno nulla da temere e non saranno afflitti».
039_00	E i miscredenti che smentiscono i Nostri segni, sono i compagni del Fuoco, in cui rimarranno per sempre.
040_00	O figli di Israele, ricordate i favori di cui vi ho colmati e rispettate il Mio patto e rispetterò il vostro. Solo Me dovete temere.
041_00	E credete in ciò che ho fatto scendere a conferma di quello che già era sceso su di voi e non siate i primi a rinnegarlo: non svendete i Miei segni per un prezzo vile. E temete soltanto Me.
042_00	E non avvolgete la verità di menzogna e non nascondete la verità ora che la conoscete.
043_00	E assolvete all'orazione, pagate la decima e inchinatevi con coloro che si inchinano.
044_00	Ordinerete ai popoli la carità e dimenticherete voi stessi, voi che leggete il Libro? Non ragionate dunque .
045_00	Cercate aiuto nella pazienza e nell'adorazione, in verità essa è gravosa, ma non per gli umili
046_00	che pensano che invero incontreranno il loro Signore e che invero torneranno a Lui.
047_00	O Figli di Israele, ricordate i favori di cui vi ho colmati e di come vi ho favorito sugli altri popoli del mondo.
048_00	E temete il Giorno in cui nessun'anima potrà alcunché per un'altra, in cui non sarà accolta nessuna intercessione e nulla potrà essere compensato. Essi non saranno soccorsi.
049_00	E quando vi abbiamo liberato dalla gente di Faraone che vi infliggeva le torture più atroci!… Sgozzavano i vostri figli e lasciavano in vita le vostre femmine.
049_01	In ciò vi fu un'immensa prova da vostro Signore.
050_00	E quando abbiamo diviso il mare per voi, quindi vi abbiamo tratti in salvo e abbiamo annegato la gente di Faraone, mentre voi stavate a guardare.
051_00	E quando stabilimmo con Mosè quaranta notti… e voi vi prendeste il Vitello e agiste da iniqui.
052_00	Ma Noi vi perdonammo: forse ne sareste stati riconoscenti.
053_00	E quando abbiamo dato a Mosè il Libro e il Discrimine : forse sarete ben guidati.
054_00	E quando Mosè disse al suo popolo: «O popol mio, invero vi siete fatti un grande torto prendendovi il Vitello. Pentitevi al vostro Creatore e datevi la morte : questa è la cosa migliore, di fronte al vostro Creatore».
054_01	Poi Allah accolse il vostro. In verità Egli accoglie sempre, è il Misericordioso.
055_00	E quando diceste: «O Mosè, noi non ti crederemo finché non avremo visto Allah in maniera evidente». E la folgore vi colpì mentre stavate guardando.
056_00	Poi vi resuscitammo dalla morte: forse sarete riconoscenti.
057_00	E vi coprimmo con l'ombra di una nuvola, e facemmo scendere su di voi la manna e le quaglie: «Mangiate queste delizie di cui vi abbiamo provvisti!».
057_01	Non è a Noi che fecero torto, bensì a loro stessi.
058_00	E quando dicemmo: «Entrate in questa città e rifocillatevi dove volete a vostro piacimento; ma entrate dalla porta inchinandovi e dicendo "perdono".
058_01	Noi perdoneremo i vostri peccati ed aumenteremo coloro che avranno operato il bene».
059_00	Ma gli empi cambiarono la parola che era stata data loro. E facemmo scendere dal cielo un castigo sugli empi, per castigare la loro perversione.
060_00	E quando Mosè chiese acqua per il suo popolo, dicemmo: «Colpisci la roccia con il tuo bastone».
