001_00	Hâ',Mîm.
002_00	Per il Libro esplicito.
003_00	Lo abbiamo fatto scendere in una notte benedetta , – in verità siamo Noi ad ammonire –
004_00	durante la quale è stabilito ogni saggio decreto.
005_00	decreto che emana da Noi. Siamo Noi ad inviare.
006_00	misericordia del tuo Signore: Egli è audiente, sapiente.
007_00	il Signore dei cieli, della terra e di quel che vi è frammezzo. Se solo ne foste convinti.
008_00	Non c'è dio all'infuori di Lui, Colui Che dà la vita e dà la morte, il vostro Signore e il Signore dei vostri più lontani antenati.
009_00	Ma quella gente invece dubita e scherza.
010_00	Ebbene, aspetta il Giorno in cui il cielo recherà un fumo ben visibile .
011_00	che avvolgerà gli uomini. Ecco un castigo doloroso.
012_00	«Signore, allontana da noi il castigo, perché crediamo».
013_00	Da dove viene questa loro coscienza? Già giunse loro un messaggero esplicito.
014_00	e gli voltarono le spalle dicendo: «È un neofita invasato».
015_00	Se, per un istante, allontanassimo il castigo da voi, certamente sareste recidivi.
016_00	Il Giorno in cui li afferreremo con implacabile stretta, Ci vendicheremo.
017_00	Prima di loro mettemmo alla prova il popolo di Faraone, quando giunse loro un nobilissimo messaggero
018_00	«Datemi i servi di Allah! Io sono per voi un messaggero affidabile.
019_00	Non siate insolenti nei confronti di Allah! In verità vengo a voi con evidente autorità.
020_00	Mi rifugio in Colui che è mio Signore e vostro Signore, affinché voi non mi lapidiate.
021_00	Se non volete credere in me, almeno non siatemi ostili».
022_00	Invocò poi il suo Signore: «In verità sono un popolo di malvagi».
023_00	«Fai viaggiare di notte i Miei servi: sarete inseguiti.
024_00	Lascerai il mare aperto: sarà un'armata di annegati».
025_00	Quanti giardini e sorgenti abbandonarono.
026_00	e campi, e comode residenze.
027_00	e il benessere di cui si deliziavano.
028_00	Così fu: demmo tutto ciò in eredità ad altro popolo.
029_00	Non li piansero né il cielo né la terra e non fu concessa loro dilazione alcuna.
030_00	Salvammo i Figli di Israele dall'umiliante tormento.
031_00	da Faraone che era tiranno e prevaricatore.
032_00	Con conoscenza di causa ne facemmo degli eletti tra le creature.
033_00	Demmo loro segni che contenevano una prova palese.
034_00	Ora questi dicono .
035_00	«Non avremo altro che la prima morte e non saremo risuscitati.
036_00	Fate risorgere i nostri avi, se siete veritieri».
037_00	Son essi migliori, o il popolo di Tubba' o coloro che li precedettero? Li annientammo perché in verità erano malvagi.
038_00	Non creammo i cieli e la terra e quel che vi sta frammezzo per gioco.
039_00	non li creammo che secondo verità. Ma la maggior parte di loro non lo sa.
040_00	Invero il Giorno del Verdetto è fissato per tutti quanti.
041_00	il Giorno in cui nessun alleato darà rifugio al suo alleato in alcunché e non saranno soccorsi.
042_00	eccetto chi avrà la misericordia di Allah. In verità Egli è l'Eccelso, il Misericordioso.
043_00	In verità l'albero di Zaqqùm .
044_00	è il cibo del peccatore.
045_00	Ribollirà nel ventre come metallo liquefatto.
046_00	come bolle l'acqua bollente.
047_00	«Afferratelo e trascinatelo nel fondo della Fornace
048_00	e gli si versi sul capo il castigo dell'acqua bollente.
049_00	Gusta: sei forse tu l'eccelso, il nobile?»
050_00	Ecco quello di cui dubitavate.
051_00	I timorati avranno asilo sicuro.
052_00	tra giardini e sorgenti.
053_00	Saranno vestiti di seta e broccato e staranno gli uni di fronte agli altri.
054_00	Sarà così e daremo loro in spose fanciulle dai grandi occhi.
055_00	Colà chiederanno senza timore ogni tipo di frutto.
056_00	E non proveranno altra morte oltre a quella prima morte. li ha preservati dal tormento della Fornace.
057_00	per grazia del tuo Signore: questa è la più grande beatitudine.
058_00	Abbiamo reso facile questo, nel tuo idioma, affinché riflettano.
059_00	Aspetta dunque, ché anche loro aspettano.
