001_00	La lode ad Allah, Che ha fatto scendere il Libro sul Suo schiavo senza porvi alcuna tortuosità.
002_00	retto, per avvertire di un rigore proveniente da parte di Allah, per annunciare ai credenti che compiono il bene una ricompensa bella.
003_00	nella quale dimoreranno perpetuamente
004_00	e per ammonire coloro che dicono: «Allah si è preso un figlio».
005_00	Non hanno scienza alcuna, come del resto i loro avi. È mostruosa la parola che esce dalle loro bocche. Non dicono altro che menzogne.
006_00	Ti struggerai seguendoli, se non credono in questo Discorso .
007_00	In verità abbiamo voluto abbellire la terra di tutto quel che vi si trova per verificare chi di loro opera al meglio.
008_00	e in verità, poi ridurremo tutto quanto in suolo arido.
009_00	Non ti sembra che il caso dei compagni della caverna e di ar- Raqìm sia tra i Nostri segni meraviglioso .
010_00	Quando quei giovani si rifugiarono nella caverna, dissero: «Signor nostro, concedici la Tua misericordia, concedici retto comportamento nel nostro agire».
011_00	Rendemmo sorde le loro orecchie, nella caverna per molti anni.
012_00	Li resuscitammo poi, per vedere quale delle due fazioni meglio computasse il tempo che avevano trascorso.
013_00	Ti racconteremo la loro storia secondo verità: erano giovani che credevano nel loro Signore e Noi li rafforzammo sulla retta via.
014_00	fortificammo i loro cuori quando si levarono a dire: «Il nostro Signore è il Signore dei cieli e della terra: mai invocheremo dio all'infuori di Lui, ché allora pronunceremmo un'aberrazione.
015_00	Ecco che la nostra gente si è presa degli dèi all'infuori di Lui. Perché non adducono una prova evidente su di loro? Qual peggior iniquo di chi inventa menzogne contro Allah.
016_00	Quando vi sarete allontanati da loro e da ciò che adorano all'in- fuori di Allah, rifugiatevi nella caverna: il vostro Signore spargerà su di voi la Sua misericordia e deciderà del vostro caso nel migliore dei modi».
017_00	Avresti visto il sole, al levarsi sfiorare a destra la loro caverna, e scostarsi a sinistra, al calare mentre loro erano in un ampio spazio.
017_01	Questi sono i segni di Allah. Colui che Allah guida è ben guidato, ma per colui che Egli svia non troverai patrono alcuno che lo diriga.
018_00	Avresti creduto che fossero svegli e invece dormivano.
018_01	Li giravamo sul lato destro e su quello sinistro , mentre il loro cane era sulla soglia, le zampe distese. Se li avessi scorti saresti certamente fuggito volgendo le spalle e certo saresti stato preso dal terrore vedendoli.
019_00	Li resuscitammo infine perché si interrogassero a vicenda. Disse uno di loro: «Quanto tempo siete rimasti?».
019_01	Dissero: «Siamo rimasti una giornata o parte di una giornata». Dissero: «Il vostro Signore sa meglio quanto siete rimasti.
019_02	Mandate uno di voi alla città con questo vostro denaro, ché cerchi il cibo più puro e ve ne porti per nutrirvi. Si comporti con gentilezza e faccia sì che nessuno si accorga di voi.
020_00	Se s'impadronissero di voi vi lapiderebbero o vi riporterebbero alla loro religione e, in tal caso, non avreste alcun successo».
021_00	Facemmo sì che fossero scoperti, affinché si sapesse che la promessa di Allah è verità e che non c'è dubbio alcuno a proposito dell'Ora. Discutevano sul caso loro e dicevano: «Innalzate su di loro un edificio.
021_01	Il loro Signore meglio li conosce». Quelli che infine prevalsero dissero: «Costruiamo su di loro un santuario».
022_00	Diranno: «Erano tre, e il quarto era il cane». Diranno congetturando sull'ignoto: «Cinque, sesto il cane» e diranno: «Sette, e l'ottavo era il cane».
022_01	Di': «Il mio Signore meglio conosce il loro numero. Ben pochi lo conoscono». Non discutere di ciò eccetto per quanto è palese e non chiedere a nessuno un parere in proposito.
023_00	Non dire mai di nessuna cosa: «Sicuramente domani farò questo….
