001_00	Tâ, Sîn, Mîm.
002_00	Questi sono i versetti del Libro chiarissimo.
003_00	Forse ti affliggi perché essi non sono credenti.
004_00	se volessimo, faremmo scendere su di loro un segno dal cielo, di fronte al quale piegherebbero il capo.
005_00	Non giunge loro alcun nuovo Monito del Compassionevole senza che se ne allontanino.
006_00	Lo hanno tacciato di menzogna. Ben presto avranno notizie di ciò che scherniscono.
007_00	Non hanno visto quante nobili specie abbiamo fatto germogliare sulla terra.
008_00	Questo è davvero un segno, ma la maggior parte di loro non crede.
009_00	Sì, il tuo Signore è l'Eccelso, il Misericordioso.
010_00	quando il tuo Signore chiamò Mosè: «Recati presso il popolo degli oppressori.
011_00	presso il popolo di Faraone: non avranno timore di?».
012_00	Disse: «Signore, invero temo che mi trattino da bugiardo.
013_00	È oppresso il mio petto e la mia lingua legata. Manda Aronne piuttosto.
014_00	Di fronte a loro io sono in colpa. Temo che mi uccidano».
015_00	Disse: «Invece no, andate entrambi con i Nostri segni. Noi saremo con voi e ascolteremo.
016_00	Andate da Faraone e ditegli: "Noi siamo gli inviati del Signore dei mondi.
017_00	affinché tu lasci partire con noi i Figli di Israele"».
018_00	Rispose: «Non ti abbiamo forse allevato presso di noi quando eri bambino, non sei forse rimasto con noi molti anni della tua vita.
019_00	Poi hai commesso l'atto di cui ti macchiasti e fosti un ingrato».
020_00	Disse: «Ho fatto ciò quando ancora ero uno degli smarriti.
021_00	Sono fuggito da voi perché ho avuto paura di voi. il mio Signore mi ha dato il discernimento e ha fatto di me uno dei Messaggeri.
022_00	Mi vuoi forse rinfacciare questo favore, mentre schiavizzi i Figli di Israele?».
023_00	Disse Faraone: «E chi è questo Signore dei mondi?».
024_00	Rispose: «Il Signore dei cieli e della terra e di ciò che vi è tra essi. Se solo poteste esserne convinti!».
025_00	Disse a quelli che lo attorniavano: «Non avete sentito?».
026_00	Disse: «È il vostro Signore, il Signore dei vostri antenati più lontani!».
027_00	Disse: «Davvero il messaggero che vi è stato inviato è un folle».
028_00	Disse: « il Signore dell' Oriente e dell'Occidente, e di ciò che vi è frammezzo, se solo lo capiste».
029_00	Disse: «Se prenderai un dio dall'infuori di me, certamente farò di te un prigioniero».
030_00	Rispose: «Anche se ti portassi una prova evidente?».
031_00	Disse: «Portala dunque, se sei fra i veritieri».
032_00	Gettò il suo bastone, ed ecco che palesemente un serpente.
033_00	Trasse la sua mano, ed essa bianca a coloro che guardavano.
