001_00	Yã kũ waɗanda suka yi ĩmãni! ku cika alkawurra.
001_01	An halatta muku dabbobin jin dãɗi fãce abin da ake karantãwa a kanku, bã kunã mãsu halattar da farauta ba alhãli kuwa kunã mãsu harama. Lalle ne, Allah Yanã hukunta abin da yake nufi.
002_00	Ya kũ waɗanda suka yi ĩmãni! kada ku halattar da ayyukan ibãdar Allah game da hajji, kuma da watã mai alfarma, kuma da hadaya, kuma da rãtayar raƙuman hadaya, kuma da mãsu nufin ¦ãki mai alfarma, sunã neman falala daga Ubangijinsu da yarda.
002_01	Kuma idan kun kwance harama, to, ku yi farauta.
002_02	Kuma kada ƙiyayya da wasu mutãne ta ɗauke ku, dõmin sun kange ku daga Masallãci Mai alfarma, ga ku yi zãlunci.
002_03	Kuma ku taimaki junã a kan aikin ƙwarai da taƙawa. Kuma kada ku taimaki juna a kan zunubi da zãlunci, kuma ku bi Allah da taƙawa. Lalle ne Allah Mai tsananin uƙũba ne.
003_00	An haramta muku mũshe da jini da nãman alade da abin da aka ambaci sũnan wanin Allah a gare shi, da mãƙararriya da jefaffiya da mai gangarõwa da sõkakkiya, da abin da mãsu dãgi suka ci, fãce abin da kuka yanka, da abin da aka yanka a kan gunki (shĩ ma an haramta).
003_01	Kuma kada ku yi rabo da kibiyoyi na cãca wannan fãsiƙanci ne, A yau waɗanda suka kãfirta sun yanke ƙauna daga addininku.
003_02	Sabõda haka kada ku ji tsõronsu kuma ku ji tsõroNa.
003_03	A yau Nã kammalã muku addininku, Kuma Nã cika ni'imaTa a kanku, Kuma Nã yarda da Musulunci ya zama addini a gare ku.
003_04	To, wanda aka sanya wa lalũra a cikin yunwa mai tsanani, bã yana mai karkata zuwa ga wani zunubi ba, to, lalle ne Allah Mai gãfara ne, Mai jin ƙai.
004_00	Suna tambayar ka cewa mene ne aka halatta musu? Ka ce: "An halatta muku abũbuwa mãsu dãɗi da abin da kuka sanar (farauta) daga mãsu yin mĩki, kunã mãsu sakinsu daga hannuwanku, kunã sanar da su daga abin da Allah Ya sanar da ku.
004_01	To, ku ci daga abin da suka kama sabõda ku, kuma ku ambaci sunan Allah a kansa, kuma ku bi Allah da taƙawa. Lalle ne Allah Mai gaugawar sakamako da yawã ne.
005_00	A yau an halatta muku abũbuwa mãsu dãɗi kuma abincin waɗanda aka bai wa Littãfi halal ne a gare ku,
005_01	kuma abincinku halal ne a gare su, da mãtã mãsu kãmun kai daga muminai da mãtã 'yã'ya daga waɗanda aka bai wa Littãfi a gabãninku idan kun je musu da sadãkõkinsu,
005_02	kuna mãsu yin aure, ba masu yin zina ba, kuma bã mãsu riƙon abõkai ba.
005_03	Kuma wanda ya kãfirta da ĩmãni to, lalle ne aikinsa yã ɓãci, kuma shĩ, a cikin Lãhira, yanã daga mãsu hasãra.
006_00	Yã ku waɗanda suka yi ĩmãni! idan kun tãshi zuwa ga salla, to, ku wanke fuskõkinku da hannuwanku zuwa ga magincirõri,
006_01	kuma ku yi shãfa ga kãnunku,
006_02	kuma ku (wanke) ƙafãfunku zuwa idãnun sãwu biyu.
006_03	Kuma idan kun kasance mãsu janaba, to, ku yi tsarki,
006_04	kuma idan kun kasance majinyata, kõ kuwa a kan tafiya, kõ kuwa ɗaya daga gare ku ya zo daga kãshi, kõ kuka yi shãfayyar junã da mãtã, sa'an nan ba ku sãmi ruwa ba to ku yi nufin wuri mai kyau, sa'an nan ku yi shãfa ga fuskõkinku da hannuwanku daga gare shi. Allah bã Ya nufi dõmin Ya sanya wani ƙunci a kanku, kuma amma Yanã nufi dõmin Ya cika ni'imarSa a kanku, tsammãninku kunã gõdewa.
007_00	Kuma ku tuna ni'imar Allah akanku da alkawarinku wanda Ya ɗaure ku da shi, a lõkacin da kuka ce: "Mun ji kuma mun yi ɗã'a.
007_01	Kuma ku bi Allah da taƙawa. Lalle ne Allah Masani ne ga abin da ke a cikin zukata."
008_00	Yã ku waɗanda suka yi ĩmãni! Ku kasance mãsu tsayin daka dõmin Allah mãsu shaida da ãdalci.
008_01	Kuma kada ƙiyayya da wasu mutane ta ɗauke ku a kan bã zã ku yi ãdalci ba. Ku yi ãdalci Shĩ ne mafi kusa ga taƙawa. Kuma ku bi Allah da taƙawa. Lalle Allah Masani ne ga abin da kuke aikatãwa.
009_00	Allah Yã yi wa'adi ga waɗanda suka yi ĩmãni, kuma suka aikata ayyukan ƙwarai. Sunã da wata gãfara da lãda mai girma.
010_00	Kuma waɗanda suka kãfirta, kuma suka ƙaryatã, game da ãyõyinMu, waɗannan su ne abõkan wuta.
011_00	Yã kũ waɗanda suka yi ĩmãni! Ku tuna ni'imar Allah a kanku a lõkacin da wasu mutãne suka yi niyyar su shimfiɗa hannuwansu zuwa gare ku sai Ya kange hannuwansu daga gare ku,
011_01	kuma ku bi Allah da taƙawa. Kuma sai muminai su dogara ga Allah kawai.
012_00	Kuma lalle Allah Yã riƙi alkawarin Banĩ lsrã' ĩla kuma Muka ayyana wakilai gõma shã biyu daga gare su kuma Allah Ya ce: "Lalle ne Nĩ, Inã tãre da ku, haƙĩƙa, idan kun tsayar da s
012_01	alla, kuma kun bãyar da zakka, kuma kun yi ĩmani da manzannĩNa, kuma kuka taimake su, kuma kuka bai wa Allah rance mai kyau, haƙĩƙa, Inã kankare laifukanku daga gare ku, kuma haƙ
012_02	ĩƙa, Inã shigar da ku gidãjen Aljanna (waɗanda) ƙõramu sanã gudãna a ƙarƙashinsu, sa'an nan wanda ya kãfirta a bãyan wannan daga gare ku, to, lalle ne, yã ɓace daga tsakar hanya."
013_00	To, sabõda warwarewarsu ga alkawarinsu Muka la'ane su, kuma Muka sanya zukãtansu ƙeƙasassu, sunã karkatar da magana daga wurãrenta, kuma suka manta da wani yanki daga abin da aka tunãtar da su da shi, kuma bã zã ka gushe ba kana tsinkãyar yaudara daga gare su fãce kaɗan daga gare su.
013_01	To, ka yãfe laifi daga gare su, kuma ka kau da kai. Lalle ne, Allah Yanã son mãsu kyautatãwa.
014_00	Kuma daga waɗanda suka ce: "Lalle ne mu Nasãra ne" Mun riƙi alkawarinsu, sai suka manta da wani yanki daga abin da aka tunãtar da su da shi, sai Muka shushuta adãwa da ƙeta a tsakãninsu har ya zuwa ga Rãnar ¡iyãma.
014_01	Kuma Allah zai bã su lãbari da abin da suka kasance sunã sanã'antawa.
015_00	Yã Mutãnen littãfi! Lalle ne, ManzonMu yã je muku, yanã bayyana muku abu mai yawa daga abin da kuka kasance kunã ɓõyewa daga Littãfi, kuma yanã rangwame daga abu mai yawa.
015_01	Haƙĩƙa, wani haske da wani Littafi mai bayyanãwa yã je muku daga Allah.
016_00	Dashĩ, Allah Yanã shiryar da wanda ya bi yardarsa zuwa ga hanyõyin aminci, kuma Yanã fitar da su daga duffai zuwa ga haske da izninsa, kuma Yanã shiryar da su zuwa ga hanya madaidaiciya.
017_00	Lalle haƙĩƙa waɗanda suka ce: "Lalle Allah Shĩ ne Masĩhu ɗan Maryama," sun kãfirta.
017_01	Ka ce: "To, wane ne ke iya mallakar wani abu daga Allah, idan Yã nufi Ya halakar da Masĩhu ɗan Maryama da uwarsa da wanda yake a cikin ƙasa gabã ɗaya?"
017_02	Kuma Allah ne da mallakar sammai da ƙasa da abin da ke a tsakãninsu, Yanã halitta abin da Yake so. Kuma Allah a kan dukkan kõme, Mai ĩkon yi ne.
018_00	Kuma Yahudu da Nasãra sun ce: "Mu ne ɗiyan Allah, kuma masõyansa." Ka ce: "To, don me Yake yi muku azãba da zunubanku? Ã'a ku mutãne ne daga waɗanda Ya halitta, Yanã gãfartãwa ga wanda Yake so, kuma Yanã azabta wanda Yake so.
018_01	Kuma Allah ne da mulkin sammai da ƙasa da abin da ke tsakãninsu kuma zuwa gare shi makomã take."
019_00	Yã Mutãnen Littãfi!
019_01	Lalle ManzonMu yã je muku yanã bayyana muku, a kan lõkacin fatara daga manzanni, dõmin kada ku ce: "wani mai bayar da bushãra bai zo mana ba, kuma haka wani mai gargaɗi bai zo ba." To, haƙĩƙa, mai bãyar da bushãra da mai gargaɗi sunje muku. Kuma Allah ne, a kan dukkan kõme, Mai ĩkon yi.
020_00	Kuma a lõkacin da Musa ya ce wa mutãnensa: "Yã ku mutãnena! Ku tuna ni'imar Allah a kanku; dõmin Yã sanya annabãwa a cikinku, kuma Yã sanya ku sarãkuna,
020_01	kuma Yã bã ku abin da bai bai wa kõwa ba daga tãlikai."
021_00	"Yã mutãnena! Ku shiga ƙasar nan, abar tsarkakewa, wadda Allah Ya rubuta sabõda ku, kuma kada ku kõma da bãya, har ku juya kunã mãsu hasara."
022_00	Suka ce: "Ya Musã! Lalle ne, a cikinta akwai wasu mutãne mãsu ƙarfi kuma lalle ne bã zã mu shige ta ba sai sun fice daga gare ta, to, idan sun fice daga gare ta, to, lalle ne mu, masu shiga ne."
023_00	Wasu maza biyu daga waɗanda suke tsõron Allah, Allah Yã yi ni'ima a kansu, suka ce: "Ku shiga gare su, daga ƙõfar, dõmin idan kuka shige shi, to, lalle ne ku, mãsu rinjãya ne,
023_01	kuma ga Allah sai ku dogara idan kun kasance muminai."
024_00	Suka ce: "Ya Musa! Lalle ne mu, bã za mu shige ta ba har abada matuƙar sun dawwama a cikinta sai ka tafi kai da Ubangijinka dõmin ku yi yãƙi. Lalle ne mu, munã a nan zaune."
025_00	Ya ce: "Yã Ubangijina! Lalle ne nĩ, bã ni mallakar kõwa fãce kaina da ɗan'uwãna, sai Ka rarrabe a tsakãninmu da tsakãnin mutãne fãsiƙai."
026_00	(Allah) Ya ce: "To, lalle ne ita abar haramtãwa ce a gare su, shekara arba'in, sunã yin ɗimuwa a cikin ƙasa. Sabõda haka kada ka yi baƙin ciki a kan mutãne fãsiƙai."
027_00	Kuma karantã musu lãbãrin ɗiya biyu na Ãdamu, da gaskiya, a lõkacin da suka bãyar da baiko, sai aka karɓa daga ɗayansu kuma ba a karɓa daga ɗayan ba,
027_01	ya ce: "Lalle ne zan kashe ka." (¦ayan kuma) ya ce: "Abin sani dai, Allah Yana karɓã daga mãsu taƙawa ne."
028_00	"Lalle ne idan ka shimfiɗa hannunka zuwa gare ni dõmin ka kashe ni, ban zama mai shimfiɗa hannuna zuwa gare ka ba dõmin in kashe ka. Lalle ne nĩ inã tsõron Allah Ubangijin tãlikai.
029_00	"Lalle ne nĩ inã nufin ka kõma da zunubina game da zunubinka, har ka kasance daga abõkan wuta. Kuma wannan shĩ ne sakamakon azzãlumai."
030_00	Sai ransa ya ƙawãtar masa kashewar ɗan'uwansa, sai kuwa ya kashe shi, sa'an nan ya wayi gari daga mãsu hasãra.
031_00	Sai Allah Ya aiki wani hankãka, yanã tõno a cikin ƙasa dõmin ya nuna masa yadda zai turbuɗe gãwar ɗan'uwansa.
031_01	Ya ce: "Kaitõna! Nã kãsa in kasance kamar wannan hankãka dõmin in turbuɗe gãwar ɗan'uwana?" Sai ya wãyi gari daga mãsu nadãmã.
032_00	Daga sababin wannan, Muka rubuta a kan Banĩ lsrã'ĩla cewa, lalle ne wanda ya kashe rai bã da wani rai ba, ko ɓarna a cikin ƙasa, to kamar yã kashe mutãne duka ne,
032_01	kuma wanda ya rãya rai, to, kamar yã rãyar da mutãne ne gabã ɗaya.
032_02	Kuma lalle ne, haƙĩƙa, ManzanninMu sun je musu da hujjõji bayyanannu, sa'an nan kuma lalle ne, mãsu yawa daga gare su, a bãyan wannan, haƙĩƙa, mãsuɓarna ne a cikin ƙasa.
033_00	Abin sani kawai sakamakon waɗanda suke Yãƙin Allah da Manzonsa, kuma sunã aiki a cikin ƙasa dõmin ɓarna a kashe su ko kuwa a ƙere su,
033_01	kõ kuwa a kakkãtse hannuwansu da ƙafãfunsu daga sãɓãni, ko kuwa a kõre su daga ƙasa. Sannan gare su wulakanci ne a cikin rãyuwar duniya, kuma a Lãhira sunã da wata azãba mai girma.
034_00	Fãce fa waɗanda suka tuba tun a gabãnin ku sãmi ĩko akansu, to, ku sani cewa lalle ne, Allah Mai gãfara ne, Mai jin ƙai.
035_00	Yã ku waɗanda suka yi ĩmãni! Ku bi Allah da taƙawa, kuma ku nemi tsari zuwa gare shi, kuma ku yi jihãdi a cikin hanyarsa, tsammãninku, za ku ci nasara.
