001_00	¡̃. Inã rantsuwa da Alƙur'ãni Mai girma.
002_00	Ã'a, sun yi mãmãki, cewa mai gargaɗi, daga gare su, yã zo musu, sai kãfirai suka ce: "Wannan wani abu ne mai ban mãmãki."
003_00	"Shin idan muka mutu kuma muka kasance turɓãya (zã a kõmo da mu)? Waccan kõmowa ce mai nĩsa."
004_00	Lalle ne Mun san abin da ƙasã ke ragẽwo daga gare su, kuma wurinMu akwai wani littãfi mai tsarẽwa.
005_00	Ã'a, sun ƙaryata ne game da gaskiyar a lõkacin da ta je musu, sabõda haka sunã a cikin wani al'amari mai raurawa.
006_00	Shin, to, ba su yi dubi ba zuwa ga samã a bisa gare su, yadda Muka gĩna ta, kuma Muka ƙawãce ta, kuma bã ta da waɗansu tsãgogi?
007_00	Da ƙasã, Mun mĩƙe ta, kuma Mun jẽfa kafaffun duwãtsu a cikinta, kuma Mun tsirar, a cikinta daga kõwane ma'auri mai ban sha'awa?
008_00	Dõmin wãyar da ido da tunãtarwa ga dukan bãwa mai tawakkali?
009_00	Kuma Mun sassakar, daga samã ruwa mai albarka sa'an nan Muka tsirar game da shi (itãcen) lambuna da ƙwãya abin girbẽwa.
010_00	Da itãcen dabĩno dõgãye, sunã da'ya'yan itãce gunda mãsu hauhawar jũna.
011_00	Dõmin arziki ga bãyi, kuma Muka rãyar da ƙasa matacciya game da shi. Kamar wannan ne fitar daga kabari kake.
012_00	Mutãnen Nũhu sun ƙaryata, a gabãninsu (mutãnen yanzu) da ma'abũta Rassi, da Samũdãwa.
013_00	Da Ãdãwa da Fir'auna da 'yan'uwan Lũɗu.
014_00	Da ma'abũta ƙunci da mutãnen Tubba'u, kõwanensu ya ƙaryata Manzanni, sai ƙyacẽwaTa ta tabbata.
015_00	Shin, to, Mun kãsa ne game da halittar farko? Ã'a, su sunã a cikin rikici daga halitta sãbuwa.
016_00	Kuma lalle ne haƙĩƙa Mun halitta mutum kuma Mun san abin da ransa ke yin waswãsi da shi, kuma Mũ ne mafi kusanta zuwa gare shi daga lakar jannayẽnsa.
017_00	A lõkacin da mãsu haɗuwa biyu suke haɗuwa daga dãma, kuma daga hagu akwai wani (malã'ika) zaunanne.
018_00	Bã ya lafazi da wata magana fãce a lĩƙe da shi akwai mai tsaro halartacce.
019_00	Kuma mãyen mutuwa ya jẽ da gaskiya. Wannan shĩ ne abin da ka kasance daga gare shi kanã bijirẽwa.
020_00	Kuma aka hũra a cikin ƙaho. Wancan yinin ƙyacẽwar ne fa.
021_00	Kuma kõwane rai ya zo, tãre da shi akwai mai kõra da mai shaida.
022_00	(Sai a ce masa): "Lalle ne, haƙĩƙa, ka kasance a cikin gafala daga wannan. To, Mun kuranye maka rufinka, sabõda haka ganinka a yau, mai kaifi ne."
023_00	Kuma abõkin haɗinsa ya ce: "Wannan shi ne abin da ke tãre da ni halarce."
024_00	(A ce wa Malã'iku), "Ku jẽfa, a cikin Jahannama, dukan mai yawan kãfirci, mai tsaurin rai."
025_00	"Mai yawan hanãwa ga alhẽri, mai zãlunci, mai shakka."
026_00	"Wanda ya sanya, tãre da Allah wani abin bautãwa na dabam, sabõda haka kujẽfa shi a cikin azãba mai tsanani."
027_00	Abõkin haɗinsa ya ce: "Ya Ubangijinmu! Ban sanya shi girman kai ba, kuma amma ya kasance a cikin ɓata mai nĩsa."
028_00	Ya ce: "Kada ku yi husũma a wuriNa, alhãli Na gabãtar da ƙyacewa zuwa gare ku."
029_00	"Ba a musanya magana a wuriNa, Kuma Ban zama Mai zãlunci ba ga bãyiNa."
030_00	Rãnar da Muke cẽwa ga Jahannama "Shin, kin cika?" Kuma ta ce: "Ashe, akwai wani ƙãri?"
031_00	Kuma a kusantar dã Aljanna ga mãsu taƙawa, ba da nĩsa ba.
032_00	"Wannan shĩ ne abin da ake yi muku wa'adi da shi ga dukan mai yawan kõmawa ga Allah, mai tsarewar (umurninSa).
033_00	"Wanda ya ji tsõron Mai rahama a fake, kuma ya zo da wata irin zũciya mai tawakkali."
034_00	(A ce musu) "Ku shige ta da aminci, waccan ita ce rãnar dawwama."
035_00	Sunã da abin da suke so a cikinta, kuma tãre da Mũ akwai ƙãrin ni'ima,
