001_00	Idan sama ta tsãge.
002_00	Kuma idan taurãri suka wãtse.
003_00	Kuma idan tẽkuna aka facce su.
004_00	Kuma idan kaburbura aka tõne su.
005_00	Rai yã san abin da ya gabatar, da abin da yã jinkirtar.
006_00	Yã kai mutum! Mẽ ya rũɗe ka game da Ubangijinka, Mai karimci.
007_00	Wanda Ya halitta ka sa'an nan ya daidaitã ka, Ya kuma tsakaitã ka.
008_00	A cikin kõwace irin sũra Ya so Ya ginã ka a kanta.
009_00	A'aha, bã haka ba, kuna ƙaryatãwa game da sakamako!
010_00	Lalle ne, a kanku, haƙiƙa akwai matsara.
011_00	Mãsu daraja, marubũta.
012_00	Sunã sanin abin da kuke aikatãwa.
013_00	Lalle ne, mãsu ɗã'ã ga Allah, dãhir, suna cikin ni'ima.
014_00	Kuma lalle ne, fãjirai, dãhir, sunã cikin Jahĩm.
015_00	Zã su shigẽ ta a rãnar sakamako.
016_00	Bã zã su faku daga gare ta ba.
017_00	Kuma mẽ ya sanar da kai abin da ake cẽ wa rẽnar sakamako?
018_00	Sa'an nan, mẽ ya sanar da kai abin da ake cẽ wa rãnar sakamako?
019_00	Rãnã ce da wani rai ba ya iya mallakar kõme dõmin wani rai al'amari, a rãnar nan, ga Allah (ɗai) yake.
