001_00	Ḥ. M̃.
002_00	Inã rantsuwa da Littãfi Mabayyani.
003_00	Lalle ne, Mũ, Muka saukar da shi a cikin wani dare mai albarka. Lalle Mũ' Mun kasance Mãsu yin gargaɗi.
004_00	A cikinsa (shi daren) ake rarrabe kõwane umurui bayyananne.
005_00	Umurni na daga wurinMu. Lalle Mũ ne Muka kasanceMãsu aikãwã.
006_00	Sabõda rahama daga Ubangijinka. Lalle Shĩ, Shi ne Mai ji, Mãsani.
007_00	(Shĩ ne) Ubangijin sammai da ƙasa da abin da ke a tsakãninsu, idan kun kasance mãsu yaƙĩni (za ku gãne haka).
008_00	Babu abin bautãwa fãce Shi. Yana rãyarwa Kuma Yana kashẽwa. (Shi ne) Ubangijinku, kuma Ubangijin ubanninku na farko.
009_00	A'a sũ, sunã wãsã a cikin shakka.
010_00	Sabõda haka, ka dakata rãnar da sama zã tã zo da hayãƙi bayyananne.
011_00	Yanã rufe mutãne. Wannan wata azãba ce mai raɗaɗi.
012_00	Ya Ubangijinmu! Ka kuranye mana azãba. Lalle Mũ, mãsu ĩmãni ne.
013_00	Inã tunãwa take a gare su, alhãli kuwa, haƙĩƙa, Manzo mai bayyanãwa Ya je musu (da gargaɗin saukar azãbar, ba su karɓa ba)?
014_00	Sa'an nan suka jũya baya daga gare shi, Kuma suka ce: "Wanda ake gayãwa ne, mahaukaci."
015_00	Lalle Mũ, Mãsu kuranyẽwar azãba ne, a ɗan lõkaci kaɗan, lalle kũ, mãsu kõmãwa ne (ga laifin).
016_00	Rãnar da Muke damƙa, damƙa mafi girma, lalle ne Mũ mãsu azãbar rãmuwa ne.
017_00	Kuma lalle ne haƙĩƙa a gabaninsu, Mun fitini mutãnen Fir'auna, kuma wani Manzo karĩmi ya jẽ musu.
018_00	(Mazon ya ce): "Ku kãwo mini (ĩmãninku) ya bayin Allah! Lalle ni, Manzo ne amintacce zuwa gare ku."
019_00	"Kuma kada ku nẽmi ɗaukaka a kan Allah. Lalle nĩ mai zo muku ne da dalĩli bayyananne."
020_00	"Kuma lalle nĩ na nẽmi tsari da Ubangijĩna, kuma Ubangijinku, dõmin kada ku jẽfe ni."
021_00	"Kuma idan ba ku yi ĩmãni sabõda nĩ ba, to, ku nĩsance ni."
022_00	Sai ya kirayi Ubangjinsa cẽwa waɗannan mutãnene mãsu laifi.
023_00	(Allah Ya ce): "To, ka yi tafiyar dare da bayiNa, da dare. Lalle kũ, waɗanda ake bĩ ne (dõmin a kãma ku.)"
024_00	"Kuma ka bar tẽku rarrabe. Lalle sũ, runduna ce abar nutsarwa."
025_00	Da yawa suka bar gõnaki da marẽmari.
026_00	Da shuke-shuke da matsayi mai kyau.
027_00	Da wata ni'ima da suka kasance a cikinta sunã mãsu hutu.
028_00	Kamar haka! Kuma Muka gãdar da ita ga waɗansu mutãne na dabam.
029_00	Sa'an nan samã da ƙasã ba su yi kũka a kansu ba, Kuma ba su kasance waɗanda ake yi wa jinkiri ba.
030_00	Kuma lalle ne, haƙĩƙa Mun tsĩrar da Banĩ Isrã'ĩla daga, azãba mai wulãkantãwa.
031_00	Daga Fir'auna. Lalle shi, ya kasance maɗaukaki daga cikin mãsu ɓarna.
032_00	Kuma lalle ne, haƙĩƙa, Mun zãɓe su sabõda wani ilmi (na Taurata) a kan mutãne.
033_00	Kuma Muka bã su, daga ãyõyin mu'ujizõji, abin da yake a cikinsa, akwai ni'ima bayyananna
034_00	Lalle waɗannan mutãne, haƙĩka, sunã cẽwa,
035_00	"Babu wani abu sai mutuwarmu ta farko, kuma ba mu zama waɗanda ake tãyarwa ba."
036_00	"Sai ku zo da ubanninmu, idan kun kasance mãsu gaskiya."
037_00	shin, sũ ne mafĩfĩta kõ kuwa mutãnen Tubba'u, kuma da waɗanda ke a gabãninsu? Mun halaka su, lalle sũ, sun kasance mãsu laifi.
038_00	Kuma ba Mu halitta slmmai da ƙasa da abin da ke a tsakãninsu ba, alhãli kuwa Munã mãsu wãsã.
039_00	Ba Mu halitta su ba fãce da manufa ta gaskiya, kuma amma mafi yawansu, ba su sani ba.
040_00	Lalle rãnar rarrabẽwa, ita ce lõkacin wa'adinsu gabã ɗaya.
041_00	Rãnar da wani zumu bã ya amfãnin wani zumu da kõme kuma ba su zama anã taimakon su ba.
042_00	fãce wanda Allah Ya yi wa rahama. Lalle Shi (Allah), shĩ ne Mabuwãyi, Mai jin ƙai.
043_00	Lalle itãciyar zaƙƙũm (ɗanyen wutã),
044_00	Ita ce abincin mai laifi.
045_00	Kamar narkakken kwalta yanã tafasa a cikin cikunna.
046_00	Kamar tafasar ruwan zãfi.
047_00	(A cẽ wa malã'ikun wutã), "Ku kãmã shi, sa'an nan ku fizge shi zuwa ga tsakiyar Jahĩm."
048_00	"Sa'an nan ku zuba, a kansa, daga azãbar ruwan zãfi."
049_00	(A ce masã), "Ka ɗanɗana! Lalle kai, kai ne mabuwãyi mai girma!"
050_00	"Lalle wannan, shi ne abin da kuka kasance kunã shakka game da shi."
051_00	Lalle mãsu taƙawa sunã cikin matsayi amintacce.
052_00	A cikin gidãjen Aljanna da marẽmari.
053_00	Sunã tufanta daga tufãfin alharĩni raƙĩƙi, da mai kauri, sunã mãsu zaman fuskantar jũna.
054_00	Kamar haka, kuma Mun aurar da su da mãtã mãsu kyaun idãnu, mãsu girmansu.
055_00	Sunã kira, a cikinsu (gidẽjen) ga dukan 'ya'yan itãcen marmari, sunã amintattu (daga dukan abin tsõro).
056_00	Bã su ɗanɗanar mutuwa, a cikinsu, fãce mutuwar farko, kuma (Allah), Ya tsare musu azãbar Jahĩm.
057_00	Sabõda falala daga Ubangijinka. Wancan shi ne babban rabo, mai girma.
058_00	Dõmin haka kawai Muka sauƙaƙar da shi (Alƙur'ãni) da harshenka, tsammãninsu, su riƙa tunãwa.
059_00	Sai ka yi jira. Lalle sũ, mãsu jira ne.
