Qaf
001_00	Qâf Per il glorioso Corano.
002_00	E invece si stupiscono che sia giunto loro un ammonitore della loro gente. Dicono i miscredenti: «Questa è una cosa strana.
003_00	Ma come, quando saremo morti e ridotti in polvere… ? Sarebbe tornare da lontano!».
004_00	Ben sappiamo quel che la terra divorerà , presso di Noi c'è un Libro che conserva.
005_00	E invece tacciano di menzogna la verità che è giunta loro, ed ecco che sono in grande confusione.
006_00	Non osservano il cielo sopra di loro, come lo abbiamo edificato e abbellito e senza fenditura alcuna.
007_00	E la terra l'abbiamo distesa, vi infiggemmo le montagne e vi facemmo crescere ogni specie di meravigliosa vegetazione.
008_00	invito alla riflessione e monito per ogni servo penitente.
009_00	Abbiamo fatto scendere dal cielo un'acqua benedetta, per mezzo della quale abbiamo fatto germogliare giardini e il grano delle messi.
010_00	e palme slanciate dalle spate sovrapposte.
011_00	sostentamento dei servi. Per suo tramite rivivifichiamo una terra che era morta, e in egual maniera la Resurrezione.
012_00	Prima di loro tacciarono di menzogna il popolo di Noè e quelli di ar-Rass , i Thamùd
013_00	e gli 'Ad e Faraone e i fratelli di Lot
014_00	e le genti di al-'Aykah e il popolo di Tubba' : tutti quanti accusarono di menzogna i messaggeri. La Mia minaccia dunque si realizzò.
015_00	Saremmo forse spossati dalla prima creazione? No, sono invece loro ad essere confusi della nuova creazione.
016_00	In verità siamo stati Noi ad aver creato l'uomo e conosciamo ciò che gli sussurra l'animo suo. Noi siamo a lui più vicini della sua vena giugulare.
017_00	Quando i due che registrano seduti alla sua destra e alla sua sinistra, raccoglieranno.
018_00	non pronuncerà nessuna parola senza che presso di lui ci sia un osservatore solerte.
019_00	L'agonia della morte farà apparire la verità: ecco da cosa fuggivi.
020_00	Sarà soffiato nel corno. Ecco il Giorno della minaccia.
021_00	Ogni anima verrà accompagnata da una guida e da un testimone.
022_00	«Davvero trascuravi tutto ciò: abbiamo sollevato il tuo velo e quindi oggi la tua vista è acuta».
023_00	E dirà il suo compagno : «Ecco quello che ho pronto».
024_00	«O voi due, gettate nell'Inferno ogni miscredente testardo.
025_00	nemico del bene, trasgressore e scettico.
026_00	che pose, a fianco di Allah, un'altra divinità: gettatelo nell'orrendo castigo.»
027_00	Dirà il suo compagno : «Signore, non sono stato io ad incitarlo alla ribellione, già era profondamente traviato».
028_00	Dirà: «Non polemizzate al Mio cospetto: già vi resi nota la minaccia.
029_00	Di fronte a Me la sentenza non cambia, né sono ingiusto verso i Miei servi».
030_00	Il Giorno in cui diremo all'Inferno: «Sei pieno?», esso risponderà: «C'è altro?».
031_00	Il Giardino sarà avvicinato ai timorati.
032_00	«Ecco quel che vi è stato promesso, a chi è pentito, a chi si preserva.
033_00	a chi teme il Compassionevole nell'invisibile e ritorna con cuore contrito.
034_00	Entratevi in pace». Questo è il Giorno della perpetuità.
035_00	colà avranno tutto quel che vorranno e presso di Noi c'è ancora di più.
036_00	Quante generazioni sterminammo prima di loro, che pure erano più potenti di loro e che inutilmente cercarono, percorrendo le contrade, di sfuggire.
037_00	In ciò vi è un monito per chi ha un cuore, per chi presta attenzione e testimonia.
038_00	Già creammo i cieli, la terra e quel che vi è frammezzo in sei giorni, senza che Ci cogliesse fatica alcuna.
039_00	Sopporta dunque con pazienza quel che ti dicono e glorifica il tuo Signore prima che si levi il sole e prima che tramonti .
040_00	glorificaLo in una parte della notte e dopo la prosternazione.
041_00	Ascolta: il Giorno in cui l'Araldo chiamerà da un luogo vicino.
042_00	il Giorno in cui davvero sentiranno il Grido, quello sarà il Giorno della Resurrezione.
043_00	Siamo Noi che diamo la vita e che diamo la morte. A Noi ritorna ogni cosa.
044_00	Il Giorno in cui la terra si spaccherà all'improvviso , Ci sarà facile radunarli.
045_00	Ben conosciamo quello che dicono: tu non sei tiranno nei loro confronti ! Ammonisci dunque con il Corano chi teme la Mia minaccia.
