Sad
001_00	Sâd. Per il Corano il Monito.
002_00	Sono i miscredenti ad essere nell'orgoglio e nello scisma.
003_00	Quante generazioni abbiamo annientato prima di loro! Lanciarono grida quando non c'era più tempo per sfuggire.
004_00	Essi stupiscono che sia giunto un ammonitore della loro gente. I miscredenti dicono: «È uno stregone, un gran bugiardo.
005_00	Ridurrà forse gli dèi ad un Dio unico? Questa è davvero una cosa strana».
006_00	E i notabili se ne andarono: «Andatevene e rimanete fedeli ai vostri dèi: questa è davvero la cosa più augurabile.
007_00	Non sentimmo niente di ciò nell'ultima religione , si tratta di invenzione.
008_00	È su di lui che sarebbe stato fatto scendere il Monito?». Sono perplessi a proposito del Mio Monito. Non hanno ancora gustato il castigo.
009_00	Hanno forse i tesori della misericordia del tuo Signore, l'Eccelso, il Munifico.
010_00	O posseggono la sovranità dei cieli e della terra e di quello che vi è frammezzo? E allora lasciali ascendere per le vie del cielo.
011_00	Un'armata di fazioni alleate che saranno annientate in questo stesso luogo.
012_00	Prima di loro accusarono di menzogna il popolo di Noè, gli 'Âd e Faraone, il Signore dei pali .
013_00	e i Thamûd, e la gente di Lot, e quelli di Al-'Aikah , erano questi i faziosi.
014_00	Non ce ne fu alcuno che non abbia tacciato di menzogna i Messaggeri: hanno meritato il Mio castigo.
015_00	Non aspetteranno altro che un Grido, improrogabile.
016_00	Dicono: «Signore, anticipaci la nostra parte prima del Giorno del Rendiconto».
017_00	Sopporta con pazienza quel che dicono e ricordati del Nostro servo Davide, così forte, così pronto al pentimento.
018_00	Obbligammo le montagne a renderCi gloria con lui , alla sera e al mattino.
019_00	e, insieme, gli uccelli riuniti. Tutto Gli obbedisce.
020_00	Consolidammo la sua sovranità e gli demmo saggezza e capacità di giudizio.
021_00	Ti è giunta la storia dei due litiganti che scalarono le mura del tempio .
022_00	Quando si pararono davanti a Davide, spaventandolo, dissero: «Non aver paura.
022_01	Siamo due in lite tra loro, uno di noi ha fatto torto all'altro; giudica tra di noi con giustizia, non essere iniquo e guidaci sulla retta via.
023_00	Questi è mio fratello, possiede novantanove pecore, mentre io non ne possiedo che una sola. Mi ha detto: "Affidamela" ed ebbe la meglio nella discussione».
024_00	Disse: «Certamente ha mancato nei tuoi confronti, chiedendoti la tua pecora in aggiunta alle sue.
024_01	In verità molti associati si fanno torto a vicenda, eccetto coloro che credono e compiono il bene, ma essi sono ben pochi!».
024_02	Davide capì che lo avevamo messo alla prova, implorò il perdono del suo Signore, cadde in prosternazione e si pentì.
025_00	Allora lo perdonammo. Egli ha un posto vicino a Noi e buon luogo di ritorno.
026_00	«O Davide, abbiamo fatto di te un vicario sulla terra: giudica con equità tra gli uomini e non inclinare alle tue passioni, ché esse ti travieranno dal sentiero di Allah.»
026_01	In verità coloro che si allontanano dal sentiero di Allah subiranno un severo castigo per aver dimenticato il Giorno del Rendiconto.
027_00	Non creammo invano il cielo e la terra e quello che vi è frammezzo. Questo è ciò che pensano i miscredenti. Guai ai miscredenti per il fuoco .
028_00	Tratteremo forse coloro che credono e fanno il bene alla stessa stregua di coloro che seminano disordine sulla terra? Tratteremo i timorati come i malvagi.
029_00	un Libro benedetto che abbiamo fatto scendere su di te , affinché gli uomini meditino sui suoi versetti e ne traggano un monito i savi.
030_00	Abbiamo dato a Davide, Salomone, un servo eccellente, pronto al pentimento.
031_00	Una sera, dopo che gli furono esibiti alcuni magnifici cavalli, ritti su tre zampe .
032_00	disse: «In verità ho amato i beni più che il Ricordo del mio Signore, finché non sparì dietro il velo.
033_00	Riconduceteli a me». E iniziò a tagliar loro i garretti e i colli.
034_00	Mettemmo alla prova Salomone, mettendo un corpo sul suo trono. Poi si pentì
035_00	e disse: «Signore, perdonami e concedimi una sovranità che nessun altro avrà dopo di me. In verità Tu sei il Munifico».
036_00	Gli assoggettammo il vento, soffiava al suo comando dove voleva inviarlo.
037_00	e tutti i dèmoni, costruttori e nuotatori di ogni specie.
038_00	Pre-Eg. n. Di versetti. Il nome della sura deriva dal vers. In nome di Allah, il Compassionevole, il Misericordioso. E altri ancora incatenati a coppie.
039_00	«Questo è il Nostro dono, dispensa o tesaurizza, senza rendere conto.»
040_00	In verità egli ha un posto vicino a Noi e un buon luogo di ritorno.
041_00	E ricorda il Nostro servo Giobbe , quando chiamò il suo Signore: «Satana mi ha colpito con disgrazia e afflizioni».
042_00	«Batti il tallone: avrai acqua fresca per lavarti e per bere.»
043_00	Gli restituimmo la sua famiglia e con essa un'altra simile , misericordia da parte Nostra e Monito per coloro che sono dotati di intelletto.
044_00	«Stringi nella tua mano una manciata d'erba, colpisci con quella e non mancare al tuo giuramento». Lo trovammo perseverante, un servo ottimo, pronto al pentimento.
045_00	E ricorda i Nostri servi Abramo, Isacco e Giacobbe, forti e lungimiranti.
046_00	Ne facemmo degli eletti, il monito della Dimora.
