Il Venerdì
001_00	Glorifica Allah ciò che è nei cieli e sulla terra, il Re, il Santo, l'Eccelso, il Saggio.
002_00	Egli è Colui Che ha inviato tra gli illetterati un Messaggero della loro gente, che recita i Suoi versetti, li purifica e insegna loro il Libro e la Saggezza, anche se in precedenza erano in errore evidente.
003_00	e ad altri che ancora non li hanno raggiunti. Egli è l'Eccelso, il Saggio.
004_00	Questa è la Grazia di Allah, Egli la concede a chi vuole. Allah è il Detentore della Grazia immensa.
005_00	Coloro cui fu affidata la Torâh e che non la osservarono, assomigliano all'asino che porta i libri.
005_01	Quanto è detestabile la similitudine di coloro che tacciano di menzogna i segni di Allah: Allah non guida gli ingiusti.
006_00	Di': «O voi che praticate il giudaismo, se pretendete di essere gli alleati di Allah, ad esclusione degli altri uomini , auguratevi la morte, se siete veritieri».
007_00	Giammai se l'augureranno, a causa di quel che hanno commesso le loro mani. Allah ben conosce gli empi.
008_00	Di': «Invero, la morte che fuggite vi verrà incontro, quindi sarete ricondotti a Colui Che conosce l'invisibile e il palese, e vi informerà a proposito di quel che avrete fatto».
009_00	O credenti, quando viene fatto l'annuncio per l'orazione del Venerdì , accorrete al ricordo di Allah e lasciate ogni traffico.
009_01	Ciò è meglio per voi, se lo sapeste.
010_00	Post-Eg. n.Diversetti. Il nome della sura deriva dal vers. In nome di Allah, il Compassionevole, il Misericordioso. Quando poi l'orazione è conclusa, spargetevi sulla terra in cerca della grazia di Allah , e molto ricordate Allah, affinché possiate avere successo.
011_00	Quando vedono un commercio o un divertimento, si precipitano e ti lasciano ritto.
011_01	Di' : «Quel che è presso Allah, è migliore del divertimento e del commercio e Allah è il Migliore dei sostentatori».
