La Consultazione
001_00	Hâ',Mîm
002_00	Aìn, Sin, Qàf.
003_00	Ciò in quanto Allah, l'Eccelso, il Saggio rivela a te e a coloro che ti precedettero.
004_00	a Lui tutto quello che è nei cieli e tutto quello che è sulla terra. Egli è l'Altissimo, il Sublime.
005_00	Quasi sprofondano i cieli , gli uni sugli altri, quando gli angeli glorificano il loro Signore, Lo lodano e implorano perdono per coloro che sono sulla terra.
005_01	In verità Allah è il Perdonatore, il Misericordioso.
006_00	Allah osserva coloro che si sono presi patroni all'infuori di Lui. Tu non sei responsabile di loro.
007_00	In tal modo Ti abbiamo rivelato un Corano arabo, affinché tu ammonisca la Madre delle città e coloro che attorno, e affinché
007_01	tu avverta del Giorno della Riunione , sul quale non c'è dubbio alcuno: una parte sarà nel Giardino, un'altra parte nella Fiamma.
008_00	Se Allah avesse voluto, avrebbe fatto un'unica comunità. Ma Egli lascia entrare chi vuole nella Sua misericordia. Gli ingiusti non avranno né patrono né alleato.
009_00	Prenderanno forse patroni all'infuori di Lui? Allah, Egli è il solo patrono. Colui Che ridà la vita ai morti, Egli è l'Onnipotente.
010_00	Su tutte le vostre controversie, il giudizio ad Allah. Questi è Allah, il mio Signore: a Lui mi affido e a Lui mi volgo pentito.
011_00	È il Creatore dei cieli e della terra. Da voi stessi ha tratto le vostre spose, e il bestiame a coppie.
011_01	Così vi moltiplica. Niente è simile a Lui. Egli è l'Audiente, Colui Che tutto osserva.
012_00	a Lui le chiavi dei cieli e della terra. Elargisce generosamente a chi vuole e a chi vuole lesina. In verità Egli è onnisciente.
013_00	ha stabilito per voi, nella religione, la stessa via che aveva raccomandato a Noè, quella che riveliamo a te, e che
013_01	imponemmo ad Abramo, a Mosè e a Gesù: «Assolvete al culto e non fatene motivo di divisione». Ciò a cui li
013_02	inviti è invero gravoso per gli associatori: Allah sceglie e avvicina a Sé chi vuole e a Sé guida chi Gli Si rivolge.
014_00	Non si divisero , opponendosi gli uni agli altri, se non dopo che giunse loro la conoscenza.
014_01	Se non fosse per una precedente Parola del tuo Signore , già sarebbe stato deciso tra loro. In verità coloro che ricevettero la Scrittura dopo di loro, sono immersi nel dubbio in proposito.
015_00	Invitali dunque, procedi con rettitudine come ti è stato ordinato e non seguire le loro passioni. Di': «Credo in tutta la Scrittura che Allah ha rivelato. Mi è stato ordinato di giudicare con equità tra voi.
