001_00	Hari yang menggemparkan,
002_00	Apa dia hari yang menggemparkan itu?
003_00	Dan apa jalannya engkau dapat mengetahui kedahsyatan hari yang menggemparkan itu? -
004_00	(Hari itu ialah: hari kiamat), hari manusia menjadi seperti kelkatu yang terbang berkeliaran,
005_00	Dan gunung-ganang menjadi seperti bulu yang dibusar berterbangan.
006_00	Setelah berlaku demikian, maka (manusia akan diberikan tempatnya menurut amal masing-masing); adapun orang yang berat timbangan amal baiknya, -
007_00	Maka ia berada dalam kehidupan yang senang lenang.
008_00	Sebaliknya orang yang ringan timbangan amal baiknya, -
009_00	Maka tempat kembalinya ialah "Haawiyah"
010_00	Dan apa jalannya engkau dapat mengetahui, apa dia "Haawiyah" itu?
011_00	(Haawiyah itu ialah): api yang panas membakar.
