001_00	Haa, Miim.
002_00	Demi Kitab Al-Quran yang menyatakan kebenaran.
003_00	Sesungguhnya Kami jadikan Kitab itu sebagai Quran yang diturunkan dengan bahasa Arab, supaya kamu (menggunakan akal) memahaminya.
004_00	Dan sesungguhnya Al-Quran itu dalam Ibu Suratan di sisi Kami - sangat tinggi (kemuliaannya), lagi amat banyak mengandungi hikmat-hikmat dan kebenaran yang tetap kukuh.
005_00	Patutkah Kami membiarkan kamu dengan mengenepikan dan menjauhkan peringatan Al-Quran daripada kamu, kerana kamu telah menjadi kaum yang melampau buruk keadaannya? (Tidak! Kami tidak akan biarkan, bahkan Kami tetap mengingatkan kamu, sama ada kamu mahu menerimanya atau sebaliknya).
006_00	Dan (ingatlah), berapa banyak nabi-nabi yang kami telah utuskan kepada umat-umat yang terdahulu zamannya.
007_00	Dan tidak ada seseorang Nabi pun yang datang kepada mereka, melainkan mereka mempersenda dan mengejek-ejeknya.
008_00	Lalu Kami binasakan orang-orang yang lebih kekuatannya (dan lebih kejam serangannya) daripada mereka; dan telahpun disebutkan (berulang-ulang di dalam Al-Quran) tentang kisah-kisah dan misal perbandingan mengenai umat-umat yang telah lalu.
009_00	Dan demi sesungguhnya! Jika engkau (wahai Muhammad) bertanya kepada mereka (yang musyrik) itu:" Siapakah yang menciptakan langit dan bumi?" Sudah tentu mereka akan menjawab: "Yang menciptakannya ialah Allah Yang Maha Kuasa, lagi Maha Mengetahui".
010_00	(Dia lah Tuhan) yang telah menjadikan bumi bagi kamu sebagai hamparan, dan Ia telah mengadakan bagi kamu di bumi jalan-jalan lalu-lalang, supaya kamu mendapat petunjuk (ke arah yang dituju).
011_00	Dan (Dia lah) yang menurunkan hujan dari menurut sukatan yang tertentu, lalu Kami hidupkan dengan hujan itu negeri yang kering tandus tanahnya. Sedemikian itulah pula kamu akan dikeluarkan (hidup semula dari kubur).
012_00	Dan (Dia lah) yang menciptakan sekalian makhluk yang berbagai jenisnya; dan Ia mengadakan bagi kamu kapal-kapal dan binatang ternak yang kamu dapat mengenderainya,
013_00	Supaya kamu duduk tetap di atasnya; kemudian kamu mengingati nikmat Tuhan kamu apabila kamu duduk tetap di atasnya, serta kamu (bersyukur dengan) mengucapkan:" Maha Suci Tuhan yang telah memudahkan kenderaan ini untuk kami, sedang kami sebelum itu tidak terdaya menguasainya -
014_00	"Dan sesungguhnya kepada Tuhan kamilah, kami akan kembali!"
015_00	Dan mereka (yang musyrik mempersekutukan Allah dengan) menjadikan sebahagian dari hamba-hamba Allah sebagai anak bagiNya. Sesungguhnya manusia (yang demikian sesatnya) sangat tidak mengenang budi, lagi nyata kufurnya.
016_00	Patutkah tuhan mengambil dari makhluk-makhluk yang diciptakanNya menjadi anak-anak perempuannya, dan Ia mengutamakan kamu dengan anak-anak lelaki?
017_00	Padahal apabila diberitahu kepada salah seorang dari mereka dengan (berita bahawa ia beroleh anak perempuan seperti) yang dijadikannya sekutu yang sejenis dengan Allah Yang Maha Pemurah, muramlah mukanya sepanjang hari (kerana menanggung dukacita), sedang ia menahan perasaan marahnya dalam hati.
018_00	Patutkah (yang dikatakan anak Allah itu jenis perempuan) yang biasanya dididik dan dibesarkan dalam perhiasan, sedang ia semasa berbantah dan bertikam lidah tidak dapat memberikan alasan yang jelas?
019_00	Dan mereka pula menyifatkan malaikat - yang juga menjadi hamba-hamba Allah Yang Maha Pemurah itu - jenis perempuan. Adakah mereka menyaksikan kejadian malaikat itu? Akan dituliskan kata-kata mereka (yang dusta itu), dan mereka akan ditanya kelak (serta akan menerima balasannya).
020_00	Dan mereka berkata: "Kalaulah Allah Yang Maha Pemurah menghendaki tentulah kami tidak menyembah malaikat itu". (Sebenarnya) mereka tidak mempunyai sesuatu pengetahuan pun mengenai kata-kata mereka (yang demikian), mereka hanyalah orang-orang yang berdusta!
021_00	Pernahkah Kami memberikan mereka sebelum Al-quran ini sebuah Kitab (yang membenarkan dakwaan mereka), lalu mereka berpegang teguh kepada kitab itu?
022_00	(Tidak ada sebarang bukti bagi mereka) bahkan mereka (hanyalah) berkata: Sesungguhnya kami telah mendapati datuk nenek kami menurut satu jalan ugama, dan sesungguhnya kami beroleh petunjuk menurut jejak mereka sahaja".
023_00	Dan demikianlah halnya (orang-orang yang taqlid buta); Kami tidak mengutus sebelummu (wahai Muhammad) kepada (penduduk) sesebuah negeri, seseorang Rasul pemberi amaran, melainkan orang-orang yang berada dalam kemewahan di negeri itu berkata: "Sesungguhnya kami dapati datuk nenek kami menurut satu jalan ugama, dan sesungguhnya kami hanya mengikut jejak mereka sahaja".
024_00	Rasul itu berkata: "Adakah (kamu akan menurut juga mereka) walaupun aku membawa kepada kamu ugama yang lebih jelas hidayah petunjuknya daripada jalan ugama yang kamu dapati datuk nenek kamu menurutnya?" Mereka menjawab: "Sesungguhnya kami tetap mengingkari apa yang kamu diutuskan membawanya".
025_00	Lalu kami balas keingkaran mereka dengan azab yang membinasakan; maka perhatikanlah bagaimana buruknya kesudahan umat-umat yang mendustakan Rasul-rasulnya.
026_00	Dan (ingatkanlah peristiwa) ketika Nabi Ibrahim berkata kepada bapanya dan kaumnya: "Sesungguhnya aku berlepas diri dari apa yang kamu sembah -
027_00	"Yang lain dari Tuhan yang menciptakan daku, kerana sesungguhnya Ia tetap memberi hidayah petunjuk kepadaku".
028_00	Dan Nabi Ibrahim menjadikan kalimah tauhid itu tetap kekal pada keturunannya, supaya mereka kembali (kepada tauhid itu, jika ada yang menyeleweng kepada syirik).
