001_00	Wahai orang yang berselimut!.
002_00	Bangunlah sembahyang Tahajjud pada waktu malam, selain dari sedikit masa (yang tak dapat tidak untuk berehat),
003_00	Iaitu separuh dari waktu malam, atau kurangkan sedikit dari separuh itu,
004_00	Ataupun lebihkan (sedikit) daripadanya; dan bacalah Al-Quran dengan "Tartil".
005_00	(Sayugialah engkau dan pengikut-pengikutmu membiasakan diri masing-masing dengan ibadat yang berat kepada hawa nafsu, kerana) sesungguhnya Kami akan menurunkan kepadamu wahyu (Al-Quran yang mengandungi perintah-perintah) yang berat (kepada orang-orang yang tidak bersedia menyempurnakannya).
006_00	Sebenarnya sembahyang dan ibadat malam lebih kuat kesannya (kepada jiwa), dan lebih tetap betul bacaannya.
007_00	(Kami galakkan engkau dan umatmu beribadat pada waktu malam), kerana sesungguhnya engkau pada siang hari mempunyai urusan-urusan yang panjang kira bicaranya;
008_00	Dan sebutlah (dengan lidah dan hati) akan nama Tuhanmu (terus menerus siang dan malam), serta tumpukanlah (amal ibadatmu) kepadaNya dengan sebulat-bulat tumpuan.
009_00	Dia lah Tuhan yang menguasai timur dan barat; tiada Tuhan melainkan Dia; maka jadikanlah Dia Penjaga yang menyempurnakan urusanmu.
010_00	Dan bersabarlah terhadap apa yang dikatakan oleh mereka (yang menentangmu), dan jauhkanlah dirimu dari mereka dengan cara yang baik.
011_00	Dan biarkanlah Aku sahaja membalas orang-orang yang mendustakan (bawaanmu) itu, orang-orang yang berada dalam kemewahan, dan berilah tempoh kepada mereka sedikit masa;
012_00	Kerana sesungguhnya di sisi Kami disediakan (untuk mereka) belenggu-belenggu dan neraka yang menjulang-julang,
013_00	Serta makanan yang menjadikan pemakannya tercekik, dan azab seksa yang tidak terperi sakitnya.
014_00	(Azab itu tetap berlaku) pada hari bumi dan gunung-ganang bergoncang (serta hancur lebur), dan menjadilah gunung-ganang itu timbunan pasir yang mudah bersepah.
015_00	Sesungguhnya Kami telah mengutus kepada kamu (wahai umat Muhammad), seorang Rasul yang menjadi saksi terhadap kamu (tentang orang yang mematuhi atau menolak seruannya), sebagaimana Kami telah mengutus kepada Firaun seorang Rasul.
016_00	Maka Firaun menderhaka kepada Rasul itu, lalu Kami menyeksakannya dengan azab seksa yang seberat-beratnya.
017_00	(Sekiranya kamu tidak ditimpa azab di dunia), maka bagaimana kamu dapat menjaga dan menyelamatkan diri kamu - kalau kamu kufur ingkar - (dari azab) hari yang huru-haranya menyebabkan kanak-kanak menjadi tua beruban?
018_00	Langit (yang demikian besarnya) akan pecah belah dengan sebab kedahsyatan hari itu. (Ingatlah), janji Allah adalah perkara yang tetap dilakukanNya.
019_00	Sesungguhnya (keterangan-keterangan yang mengandungi amaran) ini menjadi peringatan oleh itu sesiapa yang mahukan kebaikan dirinya dapatlah ia mengambil jalan yang membawa kepada Tuhannya (dengan iman dan taat).
020_00	Sesungguhnya Tuhanmu (wahai Muhammad) mengetahui bahawasanya engkau bangun (sembahyang Tahajjud) selama kurang dari dua pertiga malam, dan selama satu perduanya, dan selama satu pertiganya; dan (demikian juga dilakukan oleh) segolongan dari orang-orang yang bersama-samamu (kerana hendak menepati perintah yang terdahulu);
020_01	padahal Allah jualah yang menentukan dengan tepat kadar masa malam dan siang. Ia mengetahui bahawa kamu tidak sekali-kali akan dapat mengira dengan tepat kadar masa itu, lalu Ia menarik balik perintahNya yang terdahulu (dengan memberi kemudahan) kepada kamu;
020_02	oleh itu bacalah mana-mana yang mudah kamu dapat membacanya dari Al-Quran (dalam sembahyang). Ia juga mengetahui bahawa akan ada di antara kamu orang-orang yang sakit;
020_03	dan yang lainnya orang-orang yang musafir di muka bumi untuk mencari rezeki dari limpah kurnia Allah; dan yang lainnya lagi orang-orang yang berjuang pada jalan Allah (membela ugamaNya). Maka bacalah mana-mana yang sudah kamu dapat membacanya dari Al-Quran;
020_04	dan dirikanlah sembahyang serta berikanlah zakat; dan berilah pinjaman kepada Allah sebagai pinjaman yang baik (ikhlas). Dan (ingatlah), apa jua kebaikan yang kamu kerjakan sebagai bekalan untuk diri kamu, tentulah kamu akan mendapat balasannya pada sisi Allah, -sebagai balasan yang sebaik-baiknya dan yang amat besar pahalanya. Dan mintalah ampun kepada Allah; sesungguhnya Allah Maha Pengampun, lagi Maha Mengasihani.
