001_00	Kaaf, Haa, Yaa, Ain, Saad
002_00	(Ini ialah) perihal limpahan rahmat Tuhanmu (wahai Muhammad), kepada hambaNya Zakaria.
003_00	(Ingatkanlah peristiwa) ketika Nabi Zakaria berdoa kepada tuhannya dengan doa permohonan secara perlahan.
004_00	Ia merayu dengan berkata: Wahai Tuhanku! Sesungguhnya telah lemahlah tulang -tulangku, dan telah putih melepaklah uban kepalaku; dan aku - wahai Tuhanku - tidak pernah merasa hampa dengan doa permohonanku kepadaMu.
005_00	Dan sesungguhnya aku merasa bimbang akan kecuaian kaum kerabatku menyempurnakan tugas-tugas ugama sepeninggalanku; dan isteriku pula adalah seorang yang mandul; oleh itu, kurniakanlah daku dari sisiMu seorang anak lelaki.
006_00	Yang layak mewarisi daku, juga mewarisi keluarga Nabi Yaakub; dan jadikanlah dia - wahai Tuhanku seorang yang diredhai serta disukai".
007_00	(Nabi Zakaria diseru setelah dikabulkan doanya):"Wahai Zakaria! Sesungguhnya Kami memberikan khabar yang mengembirakanmu dengan mengurniakan seorang anak lelaki bernama Yahya, yang kami tidak pernah jadikan sebelum itu, seorangpun yang senama dengannya".
008_00	Nabi Zakaria bertanya: "Wahai Tuhanku! Bagaimanakah caranya aku akan beroleh seorang anak, sedang isteriku adalah seorang yang mandul dan aku sendiri pula telah sampai had umur yang setua-tuanya?"
009_00	Penyeru itu menjawab: Demikian keadaannya - janganlah dihairankan; Tuhanmu berfirman; "Hal itu mudah bagiKu kerana sesungguhnya Aku telah menciptakanmu dahulu, sedang engkau pada masa itu belum ada sebarang apapun."
010_00	Nabi Zakaria merayu lagi: "Wahai Tuhanku! Jadikanlah satu tanda bagiku (yang menunjukkan isteriku mengandung)", Allah Taala berfirman: " Tandamu itu ialah engkau tidak akan dapat berkata-kata dengan orang ramai selama tiga malam, sedang engkau dalam keadaan sihat".
011_00	Maka dia pun keluar mendapatkan kaumnya dari Mihrab (tempat sembahyangnya), lalu ia memberi isyarat kepada mereka: "Hendaklah kamu bertasbih (mengerjakan ibadat kepada Allah) pagi dan petang".
012_00	"Wahai Yahya, terimalah Kitab itu (serta amalkanlah) dengan bersungguh-sungguh! Dan Kami berikan kepadanya Hikmat kebijaksanaan semasa ia masih kanak-kanak.
013_00	dan (Kami mengurniakannya) rahmat dari sisi Kami, serta kelebihan yang kembang manfaatnya; dan ia seorang yang bertaqwa.
014_00	Dan ia taat serta berbuat baik kepada ibu bapanya, dan ia pula tidak sombong angkuh atau derhaka.
015_00	Dan (Kami limpahkan) kepadanya selamat sejahtera pada hari ia diperanakkan, dan pada hari ia mati, serta pada hari ia dibangkitkan hidup semula (pada hari kiamat).
016_00	Dan bacakanlah (wahai Muhammad) di dalam Kitab Al-Quran ini perihal Maryam, ketika dia memencilkan diri dari keluarganya di sebuah tempat sebelah timur.
017_00	Kemudian Maryam membuat dinding untuk melindungi dirinya dari mereka maka Kami hantarkan kepadanya: Roh dari kami lalu ia menyamar diri kepadanya sebagai seorang lelaki yang sempurna bentuk kejadiannya.
018_00	Maryam berkata: Sesungguhnya aku berlindung kepada (Allah) Ar-Rahman daripada (gangguan) mu kalaulah engkau seorang yang bertaqwa.
019_00	Ia berkata: "Sesungguhnya aku pesuruh Tuhanmu, untuk menyebabkanmu dikurniakan seorang anak yang suci".
020_00	Maryam bertanya (dengan cemas): Bagaimanakah aku akan beroleh seorang anak lelaki, padahal aku tidak pernah disentuh oleh seorang lelaki pun, dan aku pula bukan perempuan jahat?"
021_00	Ia menjawab: "Demikianlah keadaannya tak usahlah dihairankan; Tuhanmu berfirman: Hal itu mudah bagiKu; dan Kami hendak menjadikan pemberian anak itu sebagai satu tanda (yang membuktikan kekuasaan Kami) untuk umat manusia dan sebagai satu rahmat dari Kami; dan hal itu adalah satu perkara yang telah ditetapkan berlakunya.
022_00	Maka Maryam hamilah mengandungnya, lalu ia memencilkan diri dengan kandungannya itu ke sebuah tempat yang jauh.
023_00	(Ketika ia hendak bersalin) maka sakit beranak itu memaksanya (pergi bersandar) ke pangkal sebatang pohon tamar (kurma); ia berkata alangkah baiknya kalau aku mati sebelum ini dan menjadilah aku sesuatu yang dilupakan orang dan tidak dikenang-kenang!
024_00	Lalu ia diseru dari sebelah bawahnya:" Janganlah engkau berdukacita (wahai Maryam), sesungguhnya Tuhanmu telah menjadikan di bawahmu sebatang anak sungai.
025_00	Dan gegarlah ke arahmu batang pohon tamar itu, supaya gugur kepadamu buah tamar yang masak.
026_00	"Maka makanlah dan minumlah serta bertenanglah hati dari segala yang merunsingkan. Kemudian kalau engkau melihat seseorang manusia, maka katakanlah: Sesungguhnya aku bernazar diam membisu kerana (Allah) Ar-Rahman; (setelah aku menyatakan yang demikian) maka aku tidak akan berkata-kata kepada sesiapapun dari kalangan manusia pada hari ini".
027_00	Kemudian baliklah ia kepada kaumnya dengan mendokong anaknya mereka pun menempelaknya dengan berkata: Wahai Maryam! Sesungguhnya engkau telah melakukan suatu perkara yang besar salahnya!
028_00	" Wahai saudara perempuan Harun, bapamu bukanlah seorang yang buruk akhlaknya, dan ibumu pula bukanlah seorang perempuan jahat!"
029_00	Maka Maryam segera menunjuk kepada anaknya. Mereka berkata (dengan hairannya): "Bagaimana kami boleh berkata-kata dengan seorang yang masih kanak-kanak dalam buaian?"
030_00	Ia menjawab:" Sesungguhnya aku ini hamba Allah; Ia telah memberikan kepadaku Kitab (Injil), dan Ia telah menjadikan daku seorang Nabi.
031_00	Dan Ia menjadikan daku seorang yang berkat di mana sahaja aku berada, dan diperintahkan daku mengerjakan sembahyang dan memberi zakat selagi aku hidup.
032_00	" Serta (diperintahkan daku) taat dan berbuat baik kepada ibuku, dan Ia tidak menjadikan daku seorang yang sombong takbur atau derhaka.
033_00	Dan segala keselamatan serta kesejahteraan dilimpahkan kepadaku pada hari aku diperanakkan dan pada hari aku mati, serta pada hari aku dibangkitkan hidup semula (pada hari kiamat)".
034_00	Yang demikian sifat-sifatnya itulah Isa Ibni Maryam. Keterangan yang tersebut ialah keterangan yang sebenar-benarnya, yang mereka ragu-ragu dan berselisihan padanya.
035_00	Tiadalah layak bagi Allah mempunyai anak. Maha Sucilah Ia. Apabila menetapkan jadinya sesuatu perkara, maka hanyalah Ia berfirman kepadanya: "Jadilah engkau", lalu menjadilah ia.
036_00	Dan sesungguhnya Allah ialah Tuhanku dan Tuhan kamu maka sembahlah kamu akan Dia inilah jalan yang betul - lurus ".
037_00	Kemudian, golongan-golongan (dari kaumnya) itu berselisihan sesama sendiri. Maka kecelakaanlah bagi orang-orang kafir (yang berselisihan) itu, dari apa yang disaksikan pada hari yang besar huru-haranya.
038_00	Sungguh jelas pendengaran dan penglihatan mereka yang kafir itu semasa mereka datang mengadap Kami pada hari akhirat. Tetapi orang-orang yang zalim (dengan perbuatan kufur dan maksiat) pada masa di dunia ini, berada dalam kesesatan yang nyata
039_00	Dan berilah amaran (wahai Muhammad) kepada umat manusia seluruhnya tentang hari penyesalan iaitu hari diselesaikan perbicaraan perkara masing-masing pada masa mereka (yang ingkar) di dunia ini berada dalam kelalaian serta mereka pula tidak mahu beriman.
040_00	Sesungguhnya Kamilah yang mewarisi bumi dan segala makhluk yang ada di atasnya; dan kepada Kamilah mereka akan dikembalikan.
041_00	Dan bacakanlah (wahai Muhammad) di dalam Kitab (Al-Quran) ini perihal Nabi Ibrahim; sesungguhnya adalah ia seorang yang amat benar, lagi menjadi Nabi.
042_00	Ketika ia berkata kepada bapanya:" Wahai ayahku, mengapa ayah menyembah benda yang tidak mendengar dan tidak melihat serta tidak dapat menolongmu sedikitpun?
043_00	" Wahai ayahku, sesungguhnya telah datang kepadaku dari ilmu pengetahuan yang tidak pernah datang kepadamu oleh itu ikutlah daku; aku akan memimpinmu ke jalan yang betul.
044_00	" Wahai ayahku, janganlah ayah menyembah Syaitan, sesungguhnya Syaitan itu adalah menderhaka kepada Allah yang melimpah-limpah rahmatNya.
045_00	" Wahai ayahku, sesungguhnya aku bimbang bahawa ayah akan kena azab dari (Allah) Ar-Rahman disebabkan ayah menyembah yang lainnya; maka dengan sebab itu akan menjadilah ayah rakan bagi Syaitan di dalam neraka".
046_00	(Bapanya) menjawab: "Patutkah engkau bencikan tuhan-tuhanku, wahai Ibrahim? Demi sesungguhnya jika engkau tidak berhenti daripada menyeru dan menasihati daku sudah tentu aku akan meluntarmu dengan batu; dan (ingatlah lebih baik) engkau tinggalkan daku sepanjang masa".
047_00	Nabi Ibrahim berkata: " Selamat tinggalah ayah; aku akan memohon kepada Tuhanku mengampuni dosamu; sesungguhnya Ia sentiasa melimpahkan kemurahan ihsanNya kepadaku.
048_00	Dan aku akan membawa diri meninggalkan kamu semua serta apa yang kamu sembah yang lain dari Allah; dan aku akan beribadat kepada Tuhanku dengan ikhlas; mudah-mudahan aku dengan ibadatku kepada Tuhanku itu tidak menjadi hampa (dan derhaka seperti kamu)".
049_00	Maka apabila ia berhijrah meninggalkan mereka dan apa yang mereka sembah yang lain dari Allah kami kurniakan kepadanya: Ishak (anaknya), dan Yaakub (cucunya); dan kedua-duanya Kami jadikan berpangkat Nabi.
050_00	Dan Kami kurniakan kepada mereka dari rahmat Kami, dan Kami jadikan bagi mereka sebutan dan pujian yang tinggi dalam kalangan umat manusia.
051_00	Dan bacakanlah (wahai Muhammad) di dalam Kitab (Al-Quran) ini perihal Nabi Musa; sesungguhnya ia adalah orang pilihan, dan adalah ia seorang Rasul, lagi Nabi.
052_00	Dan Kami telah menyerunya dari arah sebelah kanan Gunung Tursina, dan Kami dampingkan dia dengan diberi penghormatan berkata dengan Kami.
053_00	Dan Kami kurniakan kepadanya dari rahmat Kami, saudaranya: Harun, yang juga berpangkat Nabi.
054_00	Dan bacakanlah (wahai Muhammad) di dalam Kitab (Al-Quran) ini perihal Nabi Ismail; sesungguhnya ia adalah benar menepati janji dan adalah ia seorang Rasul, lagi berpangkat Nabi.
055_00	Dan adalah ia menyuruh keluarganya mengerjakan sembahyang dan memberi zakat, dan ia pula adalah seorang yang diredhai di sisi Tuhannya!
056_00	Dan bacakanlah (wahai Muhammad) di dalam Kitab (Al-Quran) ini perihal Nabi Idris; sesungguhnya adalah ia amat benar (tutur katanya dan imannya), serta ia seorang Nabi.
057_00	Dan Kami telah mengangkatnya ke tempat yang tinggi darjatnya.
058_00	Mereka itulah sebahagian dari Nabi-nabi yang telah dikurniakan Allah nikmat yang melimpah-limpah kepada mereka dari keturunan Nabi Adam, dan dari keturunan orang-orang yang Kami bawa (dalam bahtera) bersama-sama Nabi Nuh, dan dari keturunan Nabi Ibrahim, dan (dari keturunan) Israil- dan mereka itu adalah dari orang-orang yang Kami beri hidayah petunjuk dan Kami pilih.
058_01	Apabila dibacakan kepada mereka ayat-ayat (Allah) Ar-Rahman, mereka segera sujud serta menangis.
059_00	Kemudian mereka digantikan oleh keturunan-keturunan yang mencuaikan sembahyang serta menurut hawa nafsu (dengan melakukan maksiat); maka mereka akan menghadapi azab (dalam neraka),
060_00	Kecuali orang-orang yang bertaubat dan beriman serta beramal soleh, maka mereka itu akan masuk Syurga, dan mereka pula tidak dikurangkan pahala sedikitpun, -
061_00	(Iaitu) Syurga " Adn " yang telah dijanjikan oleh (Allah) Ar-Rahman kepada hamba-hambaNya disebabkan kepercayaan mereka akan perkara-perkara yang ghaib; sesungguhnya Tuhan itu, janjiNya tetap berlaku.
062_00	Mereka tidak akan mendengar di dalamnya perkataan yang sia-sia tetapi mereka sentiasa mendengar perkataan yang baik-baik; dan makan minum untuk mereka disediakan di dalamnya, pagi dan petang (sepanjang masa).
063_00	Itulah taman Syurga yang Kami akan berikan sebagai warisan pusaka kepada orang-orang. yang bertaqwa dari hamba-hamba Kami.
064_00	Dan (berkatalah malaikat): "Kami tidak turun dari semasa ke semasa melainkan dengan perintah Tuhanmu (wahai Muhammad); Dia lah jua yang menguasai serta mentadbirkan apa yang di hadapan kita dan apa yang di belakang kita serta apa yang di antara itu; dan tiadalah Tuhanmu itu lupa, -
065_00	"Tuhan yang mencipta dan mentadbirkan langit dan bumi serta segala yang ada di antara keduanya; oleh itu, sembahlah engkau akan Dia dan bersabarlah dengan tekun tetap dalam beribadat kepadaNya; adakah engkau mengetahui sesiapapun yang senama dan sebanding denganNya?"
066_00	Dan manusia (yang kafir) berkata: "Apa! Apabila aku mati, adakah aku akan dibangkitkan hidup semula?"
067_00	Patutkah manusia itu berkata demikian dan tidak memikirkan bahawa Kami telah menciptakan dia dahulu sedang ia pada masa itu belum ada sebarang apapun?
068_00	Oleh itu, demi Tuhanmu (wahai Muhammad)! Sesungguhnya Kami akan himpunkan mereka yang kafir itu beserta syaitan-syaitan di Padang Mahsyar, kemudian Kami akan bawa mereka duduk berlutut di keliling neraka Jahannam.
069_00	Sesudah itu, sesungguhnya kami akan cabut dari tiap-tiap golongan, mana-mana orang yang sangat derhaka kepada (Allah) Ar-Rahman, di antara mereka.
070_00	Kemudian, sesungguhnya Kami lebih mengetahui akan orang-orang yang lebih patut diseksa dan dibakar dangan api neraka itu.
071_00	Dan tiada seorangpun di antara kamu melainkan akan sampai kepadanya; (yang demikian) adalah satu perkara yang mesti (berlaku) yang telah ditetapkan oleh Tuhanmu.
072_00	Kemudian Kami akan selamatkan orang-orang yang bertaqwa, dan kami akan biarkan orang-orang yang zalim (dengan kekufurannya dan maksiatnya) tinggal berlutut di dalam neraka itu.
073_00	Dan apabila dibacakan kepada mereka ayat-ayat Kami yang jelas nyata, berkatalah orang-orang yang kafir kepada orang-orang yang beriman: "Puak yang manakah (dari kami dan kamu) yang lebih baik tempat tinggalnya dan lebih elok majlis perhimpunannya?
074_00	Dan berapa banyak kaum-kaum (yang ingkar) sebelum mereka, kami telah binasakan, sedang mereka lebih elok alat-alat kesenangannya dan lebih elok keadaannya pada pandangan mata.
075_00	Katakanlah (wahai Muhammad): "Sesiapa yang berada di dalam kesesatan, maka biarlah (Allah) Ar-Rahman melanjutkan baginya satu tempoh yang tertentu,
075_01	hingga apabila mereka melihat apa yang dijanjikan kepada mereka, - sama ada azab sengsara dunia ataupun azab kiamat, maka (pada saat itu) mereka akan mengetahui siapakah orangnya yang lebih buruk kedudukannya dan lebih lemah penyokong-penyokongnya."
076_00	Dan Allah akan menambahi hidayah petunjuk bagi orang-orang yang menurut jalan petunjuk; dan amal-amal yang baik yang tetap kekal faedah-faedahnya itu, lebih baik balasan pahalanya di sisi Tuhanmu dan lebih baik kesudahannya.
077_00	Maka tidakkah engkau merasa hairan memikirkan (wahai Muhammad), akan orang yang kufur ingkar kepada ayat-ayat keterangan Kami serta ia berkata: "Demi sesungguhnya aku akan diberikan harta kekayaan dan anak-pinak pada hari akhirat?"
078_00	Adakah ia telah mengetahui akan perkara yang ghaib, atau adakah ia telah membuat perjanjian dengan (Allah) Ar-Rahman mengenainya?
079_00	Tidak sekali-kali! Kami akan menulis apa yang dikatakannya, dan Kami akan tambahi baginya dari azab seksa, berganda-ganda.
080_00	Dan Kami akan warisi (harta benda dan anak-pinak) yang dikatakannya itu, dan ia akan datang kepada kami dengan seorang diri.
081_00	Dan mereka yang kafir menyembah benda-benda yang lain dari Allah sebagai tuhan-tuhan, supaya benda-benda yang mereka sembah itu menjadi penolong-penolong yang memberi kemuliaan dan pengaruh kepada mereka.
082_00	Tidak sekali-kali! Bahkan benda-benda yang mereka pertuhankan itu mengingkari perbuatan mereka menyembahnya, dan akan menjadi musuh yang membawa kehinaan kepada mereka.
083_00	Tidakkah engkau mengetahui (Wahai Muhammad) bahawa Kami telah menghantarkan Syaitan-syaitan kepada orang-orang kafir, untuk menggalakkan mereka mengerjakan perbuatan kufur dan maksiat dengan bersungguh-sungguh?
084_00	Oleh itu, janganlah engkau segera marah terhadap mereka yang ingkar itu, kerana sesungguhnya kami hanya menghitung hari yang sedikit sahaja bilangannya untuk mereka.
085_00	(Ingatlah) hari Kami himpunkan orang-orang yang bertaqwa untuk mengadap (Allah) Ar-Rahman, dengan berpasuk-pasukan.
086_00	Dan Kami akan menghalau orang-orang yang bersalah ke neraka Jahannam, dalam keadaan dahaga.
087_00	Mereka tidak berhak mendapat dan memberi syafaat, kecuali orang yang telah mengikat perjanjian (dengan iman dan amal yang soleh) di sisi Allah yang melimpah-limpah rahmatNya!.
088_00	Dan mereka yang kafir berkata: "(Allah) Ar-Rahman, mempunyai anak."
089_00	Demi sesungguhnya, kamu telah melakukan satu perkara yang besar salahnya!
090_00	Langit nyaris-nyaris pecah disebabkan (anggapan mereka) yang demikian, dan bumi pula nyaris-nyaris terbelah, serta gunung-ganang pun nyaris-nyaris runtuh ranap, -
091_00	Kerana mereka mendakwa mengatakan: (Allah) Ar-Rahman mempunyai anak.
092_00	Padahal tiadalah layak bagi (Allah) Ar-Rahman, bahawa Ia mempunyai anak.
093_00	Tidak ada sesiapapun di langit dan di bumi melainkan ia akan datang kepada (Allah) Ar-Rahman, sebagai hamba.
094_00	Demi sesungguhnya! Allah telah mengira mereka (dengan pengetahuanNya) serta menghitung mereka satu persatu.
095_00	Dan mereka masing-masing akan datang mengadapNya pada hari kiamat dengan seorang diri.
096_00	. Sesungguhnya orang-orang yang beriman dan beramal soleh, Allah yang melimpah-limpah rahmatnya akan menanamkan bagi mereka dalam hati orang ramai perasaan kasih sayang.
097_00	Maka sesungguhnya Kami memudahkan turunnya Al-Quran ini dengan bahasamu (wahai Muhammad), ialah supaya engkau memberi khabar gembira dengannya kepada orang-orang yang bertaqwa, dan supaya engkau memberi amaran dengannya kepada kaum yang degil dalam kekufurannya.
098_00	Dan amatlah banyaknya kaum-kaum kafir yang Kami telah binasakan sebelum mereka; engkau tidak menyedari ataupun mendengar suara yang sayup bagi seseorangpun dari orang-orang yang telah dibinasakan itu.
