001_00	Aku bersumpah dengan Hari Kiamat;
002_00	Dan Aku bersumpah dengan "Nafsul Lawwaamah" (Bahawa kamu akan dibangkitkan sesudah mati)!
003_00	Patutkah manusia (yang kafir) menyangka bahawa Kami tidak akan dapat mengumpulkan tulang-tulangnya (dan menghidupkannya semula)?
004_00	Bukan sebagaimana yang disangka itu, bahkan Kami berkuasa menyusun (dengan sempurnanya segala tulang) jarinya, (tulang yang lebih halus dari yang lain).
005_00	(Kebenaran itu bukan tidak ada buktinya), bahkan manusia (yang ingkar) sentiasa suka hendak meneruskan perbuatan kufur dan maksiat (di sepanjang hayatnya, sehingga ia tidak mengakui adanya hari kiamat).
006_00	Dia bertanya (secara mengejek): "Bilakah datangnya hari kiamat itu?"
007_00	Maka (jawabnya: hari kiamat akan datang) apabila pemandangan menjadi terpendar-pendar (kerana gerun takut),
008_00	Dan bulan hilang cahayanya,
009_00	Dan matahari serta bulan dihimpunkan bersama,
010_00	(Maka) pada hari itu, berkatalah manusia (yang ingkarkan hari kiamat): "Ke manakah hendak melarikan diri?"
011_00	Tak usahlah bertanya demikian! Tidak ada lagi tempat perlindungan!
012_00	Pada hari itu, kepada Tuhanmu lah sahaja terserahnya ketetapan segala perkara.
013_00	Pada hari itu, manusia diberitahu akan apa yang ia telah lakukan, dan apa yang ia telah tinggalkan.
014_00	Bahkan manusia itu, (anggotanya) menjadi saksi terhadap dirinya sendiri,
015_00	Walaupun ia memberikan alasan-alasannya (untuk membela diri).
016_00	Janganlah engkau (wahai Muhammad) - Kerana hendakkan cepat menghafaz Quran yang diturunkan kepadamu - menggerakkan lidahmu membacanya (sebelum selesai dibacakan kepadamu).
017_00	Sesungguhnya Kamilah yang berkuasa mengumpulkan Al-Quran itu (dalam dadamu), dan menetapkan bacaannya (pada lidahmu);
018_00	Oleh itu, apabila Kami telah menyempurnakan bacaannya (kepadamu, dengan perantaraan Jibril), maka bacalah menurut bacaannya itu;
019_00	Kemudian, sesungguhnya kepada Kamilah terserah urusan menjelaskan kandungannya (yang memerlukan penjelasan).
020_00	Sedarlah wahai orang-orang yang lalai. (Sebenarnya kamu tidak ingatkan kesudahan kamu) bahkan kamu sentiasa mencintai (Kesenangan dan kemewahan dunia) yang cepat habisnya.
021_00	Dan kamu tidak menghiraukan (bekalan untuk) hari akhirat (yang kekal abadi kehidupannya).
022_00	Pada hari akhirat itu, muka (orang-orang yang beriman) berseri-seri;
023_00	Melihat kepada Tuhannya.
024_00	Dan pada hari itu, muka (orang-orang kafir) muram hodoh,
025_00	Sambil percaya dengan yakin bahawa mereka akan ditimpa malapetaka (azab seksa) yang membinasakan.
026_00	Sedarlah (janganlah mengutamakan dunia dan melupakan akhirat. Ingatlah akan hal orang yang hendak mati) apabila rohnya sampai ke pangkal kerongkong,
027_00	Dan (orang-orang yang hadir di sisinya heboh) berkata: "Siapakah yang dapat menawar jampi (dan mengubatnya)?"
028_00	Dan ia sendiri yakin, bahawa sesungguhnya saat itu saat perpisahan;
029_00	Serta kedahsyatan bertindih-tindih;
030_00	(Maka) kepada Tuhanmu lah - pada waktu itu - engkau dibawa (untuk menerima balasan).
031_00	(Oleh sebab orang yang kufur ingkar tidak percayakan hari akhirat) maka ia tidak mengakui kebenaran (yang diwajibkan meyakininya) dan ia tidak mengerjakan sembahyang (yang difardhukan mengerjakannya)!
032_00	Akan tetapi ia mendustakan, dan berpaling ingkar!
033_00	Kemudian ia pergi kepada keluarganya dengan berlagak sombong megah.
034_00	(Wahai orang yang kufur ingkar!) sudahlah dekat kepadamu kebinasaanmu, sudahlah dekat!
035_00	Kemudian api nerakalah lebih layak bagimu, lebih layak.
036_00	Patutkah manusia menyangka, bahawa ia akan ditinggalkan terbiar (dengan tidak diberikan tanggungjawab dan tidak dihidupkan menerima balasan)?
037_00	Bukankah ia berasal dari air mani yang dipancarkan (ke dalam rahim)?
038_00	Kemudian air mani itu menjadi sebuku darah beku, sesudah itu Tuhan menciptakannya, dan menyempurnakan kejadiannya (sebagai manusia)?
039_00	Lalu Tuhan menjadikan daripadanya dua jenis - lelaki dan perempuan.
040_00	Adakah (Tuhan yang menjadikan semuanya) itu - tidak berkuasa menghidupkan orang-orang yang mati? (Tentulah berkuasa)!
