001_00	Demi bintang semasa ia menjunam, -
002_00	Rakan kamu (Nabi Muhammad yang kamu tuduh dengan berbagai tuduhan itu), tidaklah ia menyeleweng (dari jalan yang benar), dan ia pula tidak sesat (dengan kepercayaan yang salah).
003_00	Dan ia tidak memperkatakan (sesuatu yang berhubung dengan ugama Islam) menurut kemahuan dan pendapatnya sendiri.
004_00	Segala yang diperkatakannya itu (sama ada Al-Quran atau hadis) tidak lain hanyalah wahyu yang diwahyukan kepadanya.
005_00	wahyu itu (disampaikan dan) diajarkan kepadanya oleh (malaikat jibril) yang amat kuat gagah, -
006_00	Lagi yang mempunyai kebijaksanaan; kemudian ia memperlihatkan dirinya (kepada Nabi Muhammad) dengan rupanya asal, -
007_00	Sedang ia berada di arah yang tinggi (di langit);
008_00	Kemudian ia mendekatkan dirinya (kepada Nabi Muhammad), lalu ia berjuntai sedikit demi sedikit,
009_00	Sehingga menjadilah jarak (di antaranya dengan Nabi Muhammad) sekadar dua hujung busaran panah, atau lebih dekat lagi;
010_00	Lalu Allah wahyukan kepada hambaNya (Muhammad, dengan perantaraan malaikat Jibril) apa yang telah diwahyukanNya.
011_00	Hati (Nabi Muhammad) tidak mendustakan apa yang dilihatnya.
012_00	Jika demikian, patutkah kamu hendak membantahnya mengenai apa yang telah dilihatnya itu?
013_00	Dan demi sesungguhnya! (Nabi Muhammad) telah melihat (malaikat Jibril, dalam bentuk rupanya yang asal) sekali lagi,
014_00	Di sisi "Sidratul-Muntaha";
015_00	Yang di sisinya terletak Syurga "Jannatul-Makwa".
016_00	(Nabi Muhammad melihat jibril dalam bentuk rupanya yang asal pada kali ini ialah) semasa " Sidratul Muntaha" itu diliputi oleh makhluk-makhluk dari alam-alam ghaib, yang tidak terhingga.
017_00	Penglihatan (Nabi Muhammad) tidak berkisar daripada menyaksikan dengan tepat (akan pemandangan yang indah di situ yang diizinkan melihatnya), dan tidak pula melampaui batas.
018_00	Demi sesungguhnya, ia telah melihat sebahagian dari sebesar-besar tanda-tanda (yang membuktikan luasnya pemerintahan dan kekuasaan) Tuhannya.
019_00	(Setelah kamu - wahai kaum musyrik Makkah - mendengar keterangan yang membuktikan kekuasaan dan keagungan Allah) maka adakah kamu nampak bahawa "Al-Laat" dan "Al-Uzza" -
020_00	Serta "Manaat" yang ketiga, yang bertaraf rendah lagi hina itu (layak disembah dan dianggap sebagai anak-anak perempuan Allah)?
021_00	Patutkah kamu membahagi untuk diri kamu sendiri anak lelaki (yang kamu sukai), dan untuk Allah anak perempuan (yang kamu benci)?
022_00	Pembahagian yang demikian, sudah tentu suatu pembahagian yang tidak adil.
023_00	Benda-benda yang kamu sembah itu tidak lain hanyalah nama-nama yang kamu dan datuk nenek kamu menamakannya. Allah sekali-kali menurunkan sebarang bukti yang membenarkannya.
023_01	Mereka yang berbuat demikian, tidak menurut melainkan sangkaan-sangkaan dan apa yang diingini oleh hawa nafsunya. Padahal demi sesungguhnya telah datang kepada mereka petunjuk dari Tuhan mereka.
024_00	Adakah manusia tetap akan dapat mencapai segala yang dicita-citakannya? (Tidak!).
025_00	Kerana Allah jualah yang menguasai segala urusan akhirat dan urusan dunia.
026_00	(Golongan yang musyrik mengharapkan pertolongan benda-benda yang mereka sembah itu) padahal berapa banyak malaikat di langit, syafaat mereka tidak dapat mendatangkan sebarang faedah, kecuali sesudah Allah mengizinkan bagi sesiapa yang dikehendakiNya dan diredhaiNya.
027_00	Sesungguhnya orang-orang yang tidak beriman kepada hari akhirat sahajalah, yang tergamak menamakan malaikat itu dengan nama perempuan,
028_00	Sedang mereka tidak mempunyai sebarang pengetahuan mengenainya. Mereka tidak lain hanyalah mengikut sangkaan semata-mata, padahal sesungguhnya sangkaan itu tidak dapat memenuhi kehendak menentukan sesuatu dari kebenaran (iktiqad).
029_00	Oleh itu, janganlah engkau (wahai Muhammad) hiraukan orang yang berpaling dari pengajaran Kami, dan tidak mahu melainkan kehidupan dunia semata-mata.
030_00	(Kepentingan dunia) itulah sahaja tujuan terakhir dari pengetahuan yang dicapai oleh mereka. Sesungguhnya Tuhanmu, Dia lah jua yang lebih mengetahui akan orang yang sesat dari jalanNya, dan Dia lah jua yang lebih mengetahui akan orang yang mendapat hidayah petunjuk.
031_00	Dan Allah jualah yang memiliki segala yang ada di langit dan yang ada di bumi; (diciptakan semuanya itu) untuk membalas orang-orang yang berbuat jahat menurut apa yang mereka lakukan, dan membalas orang-orang yang berbuat baik dengan balasan yang sebaik-baiknya.
032_00	(Iaitu) orang-orang yang menjauhi dosa-dosa besar serta perbuatan-perbuatan yang keji, kecuali salah silap yang kecil-kecil (yang mereka terlanjur melakukannya, maka itu dimaafkan).
032_01	Sesungguhnya Tuhanmu Maha Luas keampunanNya. Ia lebih mengetahui akan keadaan kamu semenjak Ia mencipta kamu (berasal) dari tanah, dan semasa kamu berupa anak yang sedang melalui berbagai peringkat kejadian dalam perut ibu kamu; maka janganlah kamu memuji-muji diri kamu (bahawa kamu suci bersih dari dosa). Dia lah sahaja yang lebih mengetahui akan orang-orang yang bertaqwa.
033_00	Adakah engkau mengetahui (keburukan) orang yang berpaling (dari menurut kebenaran kerana ia dihasut)?
034_00	Dan setelah ia memberi sedikit pemberiannya, ia memutuskannya (kerana menurut hawa nafsunya)?
035_00	Adakah ia mempunyai pengetahuan mengenai perkara yang ghaib sehingga ia dapat mengetahui (bahawa orang lain boleh menghalang gantinya dari apa yang akan menimpanya pada hari akhirat)?
036_00	Atau belumkah ia diberitahu akan apa yang terkandung dalam Kitab-kitab Nabi Musa -
037_00	Dan juga (dalam Kitab-kitab) Nabi Ibrahim yang memenuhi dengan sempurnanya (segala yang diperintahkan kepadanya)?
038_00	(Dalam Kitab-kitab itu ditegaskan): Bahawa sesungguhnya seseorang yang boleh memikul tidak akan memikul dosa perbuatan orang lain (bahkan dosa usahanya sahaja);
039_00	Dan bahawa sesungguhnya tidak ada (balasan) bagi seseorang melainkan (balasan) apa yang diusahakannya;
040_00	Dan bahawa sesungguhnya usahanya itu akan diperlihatkan (kepadanya, pada hari kiamat kelak);
041_00	Kemudian usahanya itu akan dibalas dengan balasan yang amat sempurna;
042_00	Dan bahawa sesungguhnya kepada hukum Tuhanmu lah kesudahan (segala perkara);
043_00	Dan bahawa sesungguhnya, Dia lah yang menyebabkan (seseorang itu bergembira) tertawa, dan menyebabkan (seseorang itu berdukacita) menangis;
044_00	Dan bahawa sesungguhnya, Dia lah yang mematikan dan menghidupkan;
045_00	Dan bahawa sesungguhnya, Dia lah yang menciptakan pasangan - lelaki dan perempuan, -
046_00	Dari (setitis) air mani ketika dipancarkan (ke dalam rahim);
047_00	Dan bahawa sesungguhnya, Dia lah yang tetap menghidupkan semula (makhluk-makhluk yang mati);
048_00	Dan bahawa sesungguhnya, Dia lah yang memberikan (sesiapa yang dikehendakiNya) apa yang diperlukannya dan memberikannya tambahan yang boleh disimpan;
049_00	Dan bahawa sesungguhnya, Dia lah Tuhan (Pencipta) "Bintang Syikra;
050_00	Dan bahawa sesungguhnya, Dia lah yang membinasakan kaum "Aad" yang pertama (kaum Nabi Hud), -
051_00	Dan kaum "Thamud" (kaum Nabi Soleh). Maka tidak ada seorangpun (dari kedua-dua kaum itu) yang dibiarkan hidup.
052_00	Dan kaum Nabi Nuh sebelum itu (telah juga dibinasakan). Sesungguhnya mereka adalah orang-orang yang sangat zalim dan sangat melampaui batas.
053_00	Dan bandar-bandar yang ditunggang balikkan itu, Dia lah yang (mengangkatnya ke angkasa dan) menghempaskannya ke bumi;
054_00	Lalu (penduduk) bandar-bandar itu diliputi azab seksa yang meliputinya.
055_00	Maka yang mana satu di antara nikmat-nikmat Tuhanmu (yang tidak terhingga itu) engkau ragu-ragukan (wahai manusia)?
056_00	(Al-Quran) ini adalah pemberi amaran di antara jenis-jenis amaran yang telah lalu!
057_00	Telah hampir masa datangnya saat yang dekat itu (hari kiamat);
058_00	Tidak ada sesiapapun selain Allah yang dapat menahan atau menghapuskan huru-hara "hari kiamat" itu.
059_00	Maka patutkah kamu merasa hairan terhadap keterangan-keterangan Al-Quran ini (sehingga kamu mengingkarinya)?
060_00	Serta kamu tertawa (mengejek-ejeknya), dan kamu tidak mahu menangis (menyesali kesalahan kamu serta takutkan balasan buruk yang akan menimpa kamu)?
061_00	Sedang kamu adalah orang-orang yang sombong angkuh, lagi yang melalaikan kewajipan?
062_00	Oleh yang demikian, hendaklah kamu sujud kepada Allah (yang telah menurunkan Al-Quran itu), dan beribadatlah kamu kepadaNya (dengan sepenuh-penuh tauhid).
