001_00	Demi waktu dhuha,
002_00	Dan malam apabila ia sunyi-sepi -
003_00	(Bahawa) Tuhanmu (wahai Muhammad) tidak meninggalkanmu, dan Ia tidak benci (kepadamu, sebagaimana yang dituduh oleh kaum musyrik).
004_00	Dan sesungguhnya kesudahan keaadaanmu adalah lebih baik bagimu daripada permulaannya.
005_00	Dan sesungguhnya Tuhanmu akan memberikanmu (kejayaan dan kebahagiaan di dunia dan di akhirat) sehingga engkau reda - berpuas hati.
006_00	Bukankah dia mendapati engkau yatim piatu, lalu la memberikan perlindungan?
007_00	Dan didapatiNya engkau mencari-cari (jalan yang benar), lalu Ia memberikan hidayah petunjuk (dengan wahyu - Al-Quran)?
008_00	Dan didapatiNya engkau miskin, lalu Ia memberikan kekayaan?
009_00	Oleh itu, adapun anak yatim maka janganlah engkau berlaku kasar terhadapnya,
010_00	Adapun orang yang meminta (bantuan pimpinan) maka janganlah engkau tengking herdik;
011_00	Adapun nikmat Tuhanmu, maka hendaklah engkau sebut-sebutkan (dan zahirkan) sebagai bersyukur kepadaNya.
