001_00	Saat yang tetap berlaku itu -
002_00	Apakah dia sifat dan keadaan saat yang tetap berlaku itu?
003_00	Dan apa jalannya engkau dapat mengetahui tentang sifat dan keadaan saat yang tetap berlaku itu? (Saat itu ialah hari kiamat).
004_00	Kaum Thamud dan Aad telah mendustakan hari (kiamat) yang menggempar dan mengharukan itu.
005_00	Maka (masing-masing menerima azab dunianya) - adapun Thamud (kaum Nabi Soleh), maka mereka telah dibinasakan dengan (petir) yang melampau dahsyatnya.
006_00	Adapun Aad (kaum Nabi Hud), maka mereka telah dibinasakan dengan angin ribut yang kencang, yang melampau kencangnya, -
007_00	Yang diarahkannya menyerang mereka tujuh malam lapan hari terus-menerus; (kalaulah engkau menyaksikannya) maka engkau akan melihat kaum itu bergelimpangan mati, seolah-olah mereka: batang-batang pohon kurma yang (tumbang dan) lompang.
008_00	Dengan yang demikian, dapatkah engkau melihat lagi sisa-sisa mereka (yang masih hidup)?
009_00	Dan (selain dari mereka) datanglah Firaun, dan orang-orang yang terdahulu daripadanya, serta penduduk negeri-negeri yang telah ditunggang balikkan - dengan melakukan perkara-perkara yang salah.
010_00	Iaitu masing-masing menderhaka kepada Rasul (yang diutuskan oleh) Tuhan mereka, lalu Allah menyeksa mereka dengan azab yang sentiasa bertambah.
011_00	Sesungguhnya Kami, - ketika air (banjir) melampaui hadnya (serta menenggelamkan gunung-ganang), - telah mengangkut (serta menyelamatkan nenek moyang) kamu ke dalam bahtera Nabi Nuh (yang bergerak laju pelayarannya).
012_00	(Kami lakukan yang demikian) untuk Kami jadikan peristiwa itu satu pelajaran bagi kamu, dan untuk didengar serta diambil ingat oleh telinga (orang-orang) yang mahu menerima pengajaran.
013_00	Kemudian (ketahuilah bahawa) apabila ditiup Sangkakala dengan sekali tiup, -
014_00	Dan bumi serta gunung-ganang diangkat (dari tempatnya) lalu dihancurkan keduanya dengan sekali hancur, -
015_00	Maka pada saat itu berlakulah hari kiamat, -
016_00	Dan terbelahlah langit, lalu menjadilah ia pada saat itu reput (dan runtuh),
017_00	Sedang malaikat-malaikat (ditempatkan) mengawal segala penjurunya, dan Arasy Tuhanmu pada saat itu dipikul oleh lapan malaikat di atas malaikat-malaikat yang mengawal itu.
018_00	Pada hari itu, kamu semua dihadapkan (untuk hitungan amal); tidak ada sesuatu pun yang tersembunyi (kepada Allah) dari perkara-perkara kamu yang tersembunyi.
019_00	Maka sesiapa yang diberikan menerima Kitab amalnya dengan tangan kanannya, maka ia akan berkata (dengan sukacitanya kepada sesiapa yang ada di sisinya): ` Nah! Bacalah kamu Kitab amalku ini!
020_00	"Sesungguhnya aku telah mengetahui dengan yakin, bahawa aku akan menghadapi hitungan amalku (pada hari yang ditentukan)!"
021_00	Maka (dengan itu) tinggalah dia dalam kehidupan yang senang lenang lagi memuaskan, -
022_00	Di dalam Syurga yang tinggi (darjatnya), -
023_00	Buah-buahannya dekat untuk dipetik.
024_00	(Masing-masing dipersilakan menikmatinya dengan dikatakan): "Makan dan minumlah kamu makanan dan minuman sebagai nikmat yang lazat dan baik kesudahannya, dengan sebab (amal-amal soleh) yang telah kamu kerjakan pada masa yang lalu (di dunia)!"
025_00	Adapun orang yang diberikan menerima Kitab amalnya dengan tangan kirinya, maka ia akan berkata (dengan sesalnya): "Alangkah baiknya kalau aku tidak diberikan Kitab amalku, -
026_00	"Dan aku tidak dapat mengetahui hitungan amalku.
027_00	"Alangkah baiknya kalau kematianku di dunia dahulu, menjadi kematian pemutus (yang menamatkan kesudahanku, tidak dibangkitkan lagi); -
028_00	"Harta kekayaanku tidak dapat menolongku sedikitpun; -
029_00	Kuat kuasaku (dan hujjah-hujjahku membela diri), telah binasa dan hilang lenyap dariku".
