001_00	Apabila langit terbelah,
002_00	Serta mematuhi perintah Tuhannya, dan sudah semestinya ia patuh;
003_00	Dan apabila bumi diratakan,
004_00	Serta mengeluarkan apa yang di dalamnya, dan menjadi kosong,
005_00	Serta mematuhi perintah Tuhannya, dan sudah semestinya ia patuh; - (Maka pada saat itu tiap-tiap seorang akan mengetahui apa yang telah dilakukannya).
006_00	Wahai manusia! Sesungguhnya engkau sentiasa berpenat-lelah (menjalankan keadaan hidupmu) dengan sedaya upayamu hinggalah (semasa engkau) kembali kepada Tuhanmu, kemudian engkau tetap menemui balasan apa yang engkau telah usahakan itu (tercatit semuanya).
007_00	Kemudian sesiapa yang diberi menerima surat amalnya dengan tangan kanannya, -
008_00	Maka ia akan dihisab dengan cara yang mudah dan ringan,
009_00	Dan ia akan pergi kepada keluarganya (yang beriman) dengan sukacita.
010_00	Dan sesiapa yang diberi menerima surat amalnya (dengan tangan kiri), dari sebelah belakangnya,
011_00	Maka ia akan meraung menyebut-nyebut kebinasaannya,
012_00	Dan ia akan menderita bakaran neraka yang marak menjulang.
013_00	Sebenarnya ia semasa di dunia dahulu bersukaria dalam kalangan keluarganya (yang juga kufur ingkar)!
014_00	Sesungguhnya ia menyangka bahawa ia tidak sekali-kali akan kembali (kepada Kami untuk menerima balasan) !
015_00	(Sangkaannya itu tidak betul) bahkan ia tetap kembali! Sesungguhnya Tuhannya sentiasa Melihat dan Mengetahui keadaannya!
016_00	Maka Aku bersumpah, demi mega;
017_00	Dan malam serta segala yang dihimpunkannya;
018_00	Dan bulan apabila (penuh cahayanya) menjadi purnama:
019_00	Sesungguhnya kamu tetap melalui beberapa keadaan yang bertingkat-tingkat baik buruknya, (sebelum kamu menemui Tuhan - menerima kesenangan dan kebahagiaan atau sebaliknya)
020_00	Maka apakah alasan bagi mereka bersikap tidak mahu beriman?
021_00	Dan (apakah pula alasannya) apabila dibacakan Al-Quran kepada mereka, mereka tidak mahu taat dan sujud?
022_00	(Tidak ada satu alasan pun) bahkan orang-orang yang kafir, semata-mata mendustakannya;
023_00	Sedang Allah mengetahui apa yang mereka rahsiakan dalam hati.
024_00	Maka khabarkanlah kepada mereka dengan azab yang tidak terperi sakitnya;
025_00	Tetapi orang-orang yang beriman dan beramal soleh mereka beroleh pahala balasan yang tidak putus-putus.
