001_00	Demi malam apabila ia menyelubungi segala-galanya (dengan gelap-gelitanya),
002_00	Dan siang apabila ia lahir terang-benderang;
003_00	Demi Yang menciptakan (makhluk-makhlukNya) lelaki dan perempuan, (jantan dan betina); -
004_00	Sesungguhnya amal usaha kamu adalah berbagai-bagai keadaannya.
005_00	Jelasnya: adapun orang yang memberikan apa yang ada padanya ke jalan kebaikan dan bertaqwa (mengerjakan suruhan Allah dan meninggalkan segala laranganNya), -
006_00	Serta ia mengakui dengan yakin akan perkara yang baik,
007_00	Maka sesungguhnya Kami akan memberikannya kemudahan untuk mendapat kesenangan (Syurga).
008_00	Sebaliknya: orang yang bakhil (daripada berbuat kebajikan) dan merasa cukup dengan kekayaan dan kemewahannya, -
009_00	Serta ia mendustakan perkara yang baik,
010_00	Maka sesungguhnya Kami akan memberikannya kemudahan untuk mendapat kesusahan dan kesengsaraan;
011_00	Dan apakah pertolongan yang dapat diberi kepadanya oleh hartanya apabiha ia telah terjerumus (ke dalam azab seksa hari akhirat)?
012_00	Sesungguhnya tanggungan Kamilah memberi hidayah petunjuk (tentang yang benar dan yang salah).
013_00	Dan sesungguhnya Kamilah yang menguasai hari akhirat dan alam dunia.
014_00	Maka (serentak dengan memberi hidayah petunjuk) Aku juga telah memberi amaran mengingatkan kamu akan api neraka yang marak menjulang,
015_00	Yang tidak akan menderita bakarannya melainkan orang yang sungguh celaka, -
016_00	Yang telah mendustakan (kebenaran) dan berpaling ingkar.
017_00	Dan (sebaliknya) akan dijauhkan (azab neraka) itu daripada orang yang sungguh bertaqwa, -
018_00	Yang mendermakan hartanya dengan tujuan membersihkan dirinya dan hartabendanya,
019_00	Sedang ia tidak menanggung budi sesiapapun, yang patut di balas,
020_00	Hanyalah mengharapkan keredaan Tuhannya Yang Maha Tinggi;
021_00	Dan demi sesungguhnya, ia tetap akan berpuas hati (pada hari akhirat, dengan mendapat segala yang diharapkannya).
