001_00	Tentang apakah mereka bertanya-tanya?
002_00	Tentang berita yang besar, (berita kebangkitan manusia hidup semula menerima balasannya).
003_00	Yang mereka (ragu-ragu dan) berselisihan mengenainya.
004_00	Jangan! (Janganlah mereka bersikap demikian!) Mereka akan mengetahui (dengan yakin tentang kebenaran hari balasan itu).
005_00	Sekali lagi jangan! (Janganlah mereka berselisihan!) Mereka akan mengetahui kelak (tentang apa yang akan menimpa mereka).
006_00	(Mengapa kamu ragu-ragukan kekuasaan Kami menghidupkan semula orang-orang yang telah mati?) Bukankah Kami telah menjadikan bumi (terbentang luas) sebagai hamparan?
007_00	Dan gunung-ganang sebagai pancang pasaknya?
008_00	Dan Kami telah menciptakan kamu berpasang-pasang?
009_00	Dan Kami telah menjadikan tidur kamu untuk berehat?
010_00	Dan Kami telah menjadikan malam (dengan gelapnya) sebagai pakaian (yang melindungi)?
011_00	Dan Kami telah menjadikan siang (dengan cahaya terangnya) - masa untuk mencari rezeki?
012_00	Dan Kami telah membina di atas kamu tujuh petala (langit) yang kuat kukuh?
013_00	Dan Kami telah mengadakan matahari menjadi lampu yang terang-benderang cahayanya?
014_00	Dan Kami telah menurunkan dari awan, air (hujan) yang mencurah-curah, -
015_00	Untuk Kami mengeluarkan dengan air itu, biji-bijian dan tumbuh-tumbuhan, -
016_00	Serta kebun-kebun yang subur bertaut-taut pokoknya?
017_00	Sesungguhnya hari pemutusan hukum itu, adalah satu masa yang ditentukan,
018_00	Iaitu masa ditiup sangkakala, lalu kamu (bangkit hidup) serta datang berpuak-puak (ke Padang Mahsyar);
019_00	Dan (pada masa itu) langit dipecah belahkan sehingga tiap-tiap belahannya menjadi ibarat pintu yang terbuka luas,
020_00	Dan gunung-ganang - setelah dihancurkan - diterbangkan ke angkasa, lalu menjadilah ia bayangan semata-mata seperti riak sinaran panas di padang pasir.
021_00	Sesungguhnya neraka Jahannam adalah disediakan -
022_00	Untuk orang-orang yang melampaui batas hukum Tuhan, sebagai tempat kembalinya.
023_00	Mereka tinggal di dalamnya berkurun-kurun lamanya.
024_00	Mereka tidak dapat merasai udara yang sejuk di dalamnya, dan tidak pula sebarang minuman -
025_00	Kecuali air panas yang menggelegak, dan air danur yang mengalir, -
026_00	Sebagai balasan yang sesuai (dengan amal mereka yang buruk).
027_00	Kerana sesungguhnya mereka dahulu tidak menaruh ingatan terhadap hari hitungan amal,
028_00	Dan mereka telah mendustakan dengan sesungguh-sungguhnya akan ayat-ayat keterangan Kami;
029_00	Dan tiap-tiap sesuatu dari bawaan hidupnya, telah Kami hitung secara bertulis.
030_00	(Setelah mereka masuk ke dalam neraka, dikatakan kepada mereka: "Oleh sebab kamu telah mendustakan ayat-ayat Kami) maka rasalah kamu (azab yang disediakan), kerana Kami tidak akan melakukan selain dari menambah berbagai azab kepada kamu".
031_00	Sesungguhnya orang-orang yang bertaqwa, disediakan Syurga tempat mereka beroleh apa yang mereka ingini.
032_00	(Mereka akan beroleh) taman-taman bunga dan kebun-kebun buah-buahan, terutama anggur;
033_00	Dan perawan-perawan yang sebaya umurnya;
034_00	Serta piala atau gelas yang penuh dengan minuman;
035_00	Mereka tidak mendengar di dalam Syurga itu perkataan yang sia-sia, dan tiada pula perkataan yang dusta;
036_00	Sebagai balasan dari Tuhanmu, iaitu satu limpah kurnia yang dikira cukup (menurut yang dijanjikanNya),
037_00	Tuhan yang mentadbirkan tujuh petala langit dan bumi serta apa yang ada di antara keduanya, Tuhan Yang Maha Pemurah, tidak ada sesiapapun diberi kuasa berkata-kata denganNya (untuk memohon pertimbangan tentang balasan atau pengurniaan itu);
038_00	(Tambahan pula) pada masa Jibril dan malaikat-malaikat yang lain berdiri bersaf-saf (menunggu perintah Tuhan), tidak ada yang berani berkata-kata (memohon pertimbangan) melainkan yang telah diizinkan baginya oleh Tuhan Yang Maha Pemurah, serta ia berkata benar.
039_00	Itulah keterangan-keterangan mengenai hari (kiamat) yang sungguh tetap berlakunya; maka sesiapa yang mahukan kebaikan dirinya, dapatlah ia mengambil jalan dan cara kembali kepada Tuhannya (dengan iman dan amal yang soleh)!
040_00	Sesungguhnya (dengan keterangan-keterangan yang tersebut), Kami memberi amaran kepada kamu mengenai azab yang dekat (masa datangnya), - iaitu hari seseorang melihat apa yang telah diusahakannya; dan orang yang kafir akan berkata (pada hari itu): "Alangkah baiknya kalau aku menjadi tanah (supaya aku tidak dibangkitkan untuk dihitung amalku dan menerima balasan)".
