001_00	Demi (makhluk-makhluk) yang dihantarkan berturut-turut (menjalankan tugasnya),
002_00	Juga yang merempuh mara dengan sekencang-kencangnya,
003_00	Dan demi (makhluk-makhluk) yang menyebarkan (pengajaran dan peringatan) dengan sebaran yang sesungguh-sungguhnya,
004_00	Serta yang memisahkan (antara yang benar dengan yang salah) dengan pemisahan yang sejelas-jelasnya,
005_00	Lalu menyampaikan pengajaran dan peringatan (kepada manusia),
006_00	Untuk menghapuskan kesalahan orang-orang yang bertaubat serta memperbaiki keadaan dirinya, dan untuk menakutkan orang-orang yang ingkar - derhaka; -
007_00	(Sumpah demi sumpah) sesungguhnya segala yang dijanjikan kepada kamu tetap berlaku.
008_00	Oleh itu, apabila bintang-bintang (binasa dan) hilang lenyap;
009_00	Dan apabila langit terbelah;
010_00	Dan apabila gunung-ganang hancur lebur berterbangan;
011_00	Dan apabila Rasul-rasul ditentukan waktunya untuk dipanggil menjadi saksi terhadap umatnya, (maka sudah tentu manusia akan menerima balasan masing-masing).
012_00	(Jika ditanya): ke hari yang manakah (perkara-perkara yang besar) itu ditangguhkan?
013_00	(Jawabnya): Ke hari pemutusan hukum.
014_00	Dan apa jalannya engkau dapat mengetahui kedahsyatan hari pemutusan hukum itu?
015_00	Kecelakaan besar, pada hari itu, bagi orang-orang yang mendustakan (apa yang dijanjikan oleh Rasulnya)!
016_00	Bukankah Kami telah binasakan orang-orang dahulu (yang ingkar derhaka, seperti kaum Nabi Nuh, Aad dan Thamud)?
017_00	Kemudian kami akan iringi mereka dengan (membinasakan orang-orang yang ingkar derhaka, dari) kaum-kaum yang datang kemudian.
018_00	Demikian cara kami lakukan terhadap sesiapa yang berdosa.
019_00	Kecelakaan besar, pada hari itu, bagi orang-orang yang mendustakan (apa yang Kami janjikan)!
020_00	Bukankah Kami telah menciptakan kamu dari air (benih) yang sedikit dipandang orang?
021_00	Lalu Kami jadikan air (benih) itu pada tempat penetapan yang kukuh,
022_00	Hingga ke suatu masa yang termaklum?
023_00	Serta Kami tentukan (keadaannya), maka Kamilah sebaik-baik yang berkuasa menentukan dan melakukan (tiap-tiap sesuatu)!
024_00	Kecelakaan besar, pada hari itu, bagi orang-orang yang mendustakan (kekuasaan Kami)!
025_00	Bukankah Kami telah menjadikan bumi (sebagai tempat) penampung dan penghimpun (penduduknya)? -
026_00	Yang hidup dan yang mati?
027_00	Dan Kami telah jadikan di bumi: gunung-ganang yang menetapnya, yang tinggi menjulang; dan Kami telah memberi minum kepada kamu air yang tawar lagi memuaskan dahaga?
028_00	Kecelakaan besar, pada hari itu, bagi orang-orang yang mendustakan (nikmat-nikmat pemberian Kami)!
029_00	(Dikatakan kepada mereka semasa ditimpakan dengan azab): "Pergilah kepada azab yang dahulu kamu mendustakannya.
030_00	"Pergilah kamu kepada naungan (asap neraka) yang bercabang tiga, -
031_00	"Yang tidak dapat dijadikan naungan, dan tidak dapat memberikan sebarang lindungan dari julangan api neraka.
032_00	"Sesungguhnya neraka itu melemparkan bunga api, (yang besarnya) seperti bangunan besar,
033_00	"(Banyaknya dan warnanya) bunga api itu seolah-olah rombongan unta kuning".
034_00	Kecelakaan besar, pada hari itu, bagi orang-orang yang mendustakan (keadaan yang demikian).
035_00	Inilah hari mereka tidak dapat berkata-kata, (kerana masing-masing terpinga-pinga ketakutan),
036_00	Dan tidak pula diizinkan mereka bercakap, maka mereka tidak dapat meminta maaf.
037_00	Kecelakaan besar, pada hari itu, bagi orang-orang yang mendustakan (hari akhirat)!
038_00	Inilah hari pemutusan hukum (yang menentukan siapa yang benar dan siapa yang salah). Kami himpunkan kamu bersama orang-orang yang terdahulu (dari kamu).
039_00	Oleh itu, kalau kamu ada sebarang tipu-helah melepaskan diri, maka cubalah kamu lakukan terhadap azabKu.
040_00	Kecelakaan besar, pada hari itu, bagi orang-orang yang mendustakan (apa yang telah dijanjikan oleh Allah)!
041_00	Sesungguhnya orang-orang yang bertaqwa berada di tempat teduh (yang dipenuhi pelbagai nikmat), dan yang berdekatan dengan matair-matair (yang mengalir), -
042_00	Serta menikmati buah-buahan dari segala jenis yang mereka ingini.
043_00	(Pada ketika itu dikatakan kepada mereka): "Makanlah dan minumlah kamu dengan lazatnya, disebabkan apa yang kamu telah kerjakan."
044_00	Sesungguhnya, demikianlah Kami membalas orang-orang yang berusaha mengerjakan amal-amal yang baik.
045_00	Kecelakaan besar, pada hari itu, bagi orang-orang yang mendustakan (nikmat-nikmat Syurga)!
046_00	Makanlah dan bersenang-senanglah kamu (wahai orang-orang yang ingkar derhaka) sementara waktu hidup, (kemudian kamu akan menghadapi bahaya), kerana sesungguhnya kamu adalah orang-orang yang berdosa.
047_00	Kecelakaan besar, pada hari itu, bagi orang-orang yang mendustakan (amaran Allah), -
048_00	Dan apabila dikatakan kepada mereka (yang ingkar): "Taatlah dan kerjakanlah sembahyang", mereka enggan mengerjakannya.
049_00	Kecelakaan besar, pada hari itu, bagi orang-orang yang mendustakan (perintah-perintah Allah dan laranganNya)!
050_00	(Kalau mereka tidak juga mahu beriman kepada keterangan-keterangan yang tersebut) maka kepada perkataan yang mana lagi, sesudah itu, mereka mahu beriman?
