001_00	করুনাময় আল্লাহ।
002_00	শিক্ষা দিয়েছেন কোরআন,
003_00	সৃষ্টি করেছেন মানুষ,
004_00	তাকে শিখিয়েছেন বর্ণনা।
005_00	সূর্য ও চন্দ্র হিসাবমত চলে।
006_00	এবং তৃণলতা ও বৃক্ষাদি সেজদারত আছে।
007_00	তিনি আকাশকে করেছেন সমুন্নত এবং স্থাপন করেছেন তুলাদন্ড।
008_00	যাতে তোমরা সীমালংঘন না কর তুলাদন্ডে।
009_00	তোমরা ন্যায্য ওজন কায়েম কর এবং ওজনে কম দিয়ো না।
010_00	তিনি পৃথিবীকে স্থাপন করেছেন সৃষ্টজীবের জন্যে।
011_00	এতে আছে ফলমূল এবং বহিরাবরণবিশিষ্ট খর্জুর বৃক্ষ।
012_00	আর আছে খোসাবিশিষ্ট শস্য ও সুগন্ধি ফুল।
013_00	অতএব, তোমরা উভয়ে তোমাদের পালনকর্তার কোন কোন অনুগ্রহকে অস্বীকার করবে?
014_00	তিনি মানুষকে সৃষ্টি করেছেন পোড়া মাটির ন্যায় শুষ্ক মৃত্তিকা থেকে।
015_00	এবং জিনকে সৃষ্টি করেছেন অগ্নিশিখা থেকে।
016_00	অতএব, তোমরা উভয়ে তোমাদের পালনকর্তার কোন কোন অনুগ্রহ অস্বীকার করবে?
017_00	তিনি দুই উদয়াচল ও দুই অস্তাচলের মালিক।
018_00	অতএব, তোমরা উভয়ে তোমাদের পালনকর্তার কোন কোন অবদানকে অস্বীকার করবে?
019_00	তিনি পাশাপাশি দুই দরিয়া প্রবাহিত করেছেন।
020_00	উভয়ের মাঝখানে রয়েছে এক অন্তরাল, যা তারা অতিক্রম করে না।
021_00	অতএব, তোমরা উভয়ে তোমাদের পালনকর্তার কোন কোন অবদানকে অস্বীকার করবে?
022_00	উভয় দরিয়া থেকে উৎপন্ন হয় মোতি ও প্রবাল।
023_00	অতএব, তোমরা উভয়ে তোমাদের পালনকর্তার কোন কোন অবদানকে অস্বীকার করবে?
024_00	দরিয়ায় বিচরণশীল পর্বতদৃশ্য জাহাজসমূহ তাঁরই (নিয়ন্ত্রনাধীন)
025_00	অতএব, তোমরা উভয়ে তোমাদের পালনকর্তার কোন কোন অবদানকে অস্বীকার করবে?
026_00	ভূপৃষ্টের সবকিছুই ধ্বংসশীল।
