001_00	Bei den schnaubend Rennenden,
002_00	den (mit ihren Hufen) Funken Schlagenden,
003_00	den am Morgen Angreifenden,
004_00	die darin Staub aufwirbeln,
005_00	die dann mitten in die Ansammlung eindringen!
006_00	Der Mensch ist seinem Herrn gegenüber wahrlich undankbar,
007_00	und er (selbst) ist darüber wahrlich Zeuge.
008_00	Und er ist in seiner Liebe zum (eigenen) Besten wahrlich heftig.
009_00	Weiß er denn nicht? Wenn durchwühlt wird, was in den Gräbern ist,
010_00	und herausgeholt wird, was in den Brüsten ist,...
011_00	ihr Herr wird an jenem Tag ihrer wahrlich Kundig sein.
