001_00	Ta-Ha.
002_00	Wir haben den Qur'an nicht auf dich (als Offenbarung) hinabgesandt, damit du unglücklich bist,
003_00	sondern als Erinnerung für denjenigen, der gottesfürchtig ist,
004_00	eine Offenbarung von Demjenigen, Der die Erde und die hohen Himmel erschaffen hat.
005_00	Der Allerbarmer ist über dem Thron erhaben.
006_00	Ihm gehört (alles), was in den Himmeln und was auf der Erde ist und was dazwischen und was unter dem (feuchten) Erdreich ist.
007_00	Und wenn du deine Worte laut vernehmbar äußerst, gewiß so weiß Er ja das Geheime und was noch verborgener ist.
008_00	Allah - es gibt keinen Gott außer Ihm. Sein sind die schönsten Namen.
009_00	Ist zu dir die Geschichte Musas gekommen?
010_00	Als er ein Feuer sah und zu seinen Angehörigen sagte: "Bleibt hier. Ich habe ein Feuer wahrgenommen; vielleicht kann ich euch davon ein brennendes Stück Holz bringen oder am Feuer eine Wegweisung finden."
011_00	Als er dort hinkam, wurde ihm zugerufen: "O Musa!
012_00	Gewiß, Ich bin dein Herr, so ziehe deine Schuhe aus. Du befindest dich im geheiligten Tal Tuwa.
013_00	Und Ich habe dich erwählt. So höre auf das, was (als Offenbarung) eingegeben wird.
014_00	Gewiß, Ich bin Allah. Es gibt keinen Gott außer Mir. So diene Mir und verrichte das Gebet zu Meinem Gedenken.
015_00	Gewiß, die Stunde kommt - Ich hielte sie beinahe (ganz) verborgen -, damit jeder Seele das vergolten wird, worum sie sich bemüht.
016_00	So lasse denn nicht denjenigen dich von ihr abhalten, der nicht an sie glaubt und seiner Neigung folgt, sonst würdest du dich ins Verderben stürzen.
017_00	Und was ist das da in deiner Rechten, o Musa?"
018_00	Er sagte: "Es ist mein Stock, auf den ich mich stütze und mit dem ich für meine Schafe Blätter abschlage; und ich gebrauche ihn auch noch zu anderen Zwecken."
019_00	Er sagte: "Wirf ihn hin, o Musa!"
020_00	Er warf ihn hin, und sogleich war er eine Schlange, die sich rasch bewegte.
021_00	Er sagte: "Nimm sie, und fürchte dich nicht. Wir werden sie in ihren früheren Zustand zurückbringen.
022_00	Und lege deine Hand dicht an deine Seite (, unter dem Oberarm), so kommt sie weiß heraus, jedoch nicht von Übel befallen. (Nimm dies) als weiteres Zeichen,
023_00	auf daß Wir dich etwas von Unseren größten Zeichen sehen lassen.
024_00	Geh zu Fir'aun, denn gewiß, er überschreitet das Maß (an Frevel)."
025_00	Er sagte: "Mein Herr, weite mir meine Brust,
026_00	und mache mir meine Angelegenheit leicht.
027_00	Und löse den Knoten in meiner Zunge,
028_00	so daß sie meine Worte verstehen.
029_00	Und bestelle mir von meinen Angehörigen einen, der (die Last) mitträgt,
030_00	Harun, meinen Bruder.
031_00	Festige durch ihn meine Stärke,
032_00	und lasse ihn an meiner Angelegenheit teilhaben,
033_00	damit wir Dich häufig preisen
034_00	und Deiner häufig gedenken.
035_00	Gewiß, Du siehst uns wohl."
036_00	Er sagte: "Deine Bitte ist dir ja gewährt, o Musa!
037_00	Und Wir erwiesen dir bereits ein anderes Mal eine Wohltat,
038_00	als Wir deiner Mutter eingaben, was (als Weisung) eingegeben werden sollte:
039_00	,Wirf ihn in den Kasten und wirf ihn ins Wasser', und das Wasser soll ihn ans Ufer setzen, so daß ihn ein Feind von Mir und ein Feind von ihm aufnimmt.
039_01	Und Ich habe auf dich Liebe von Mir gelegt - und damit du vor Meinem Auge aufgezogen würdest.
