001_00	Sad. Beim Qur'an, voll der Ermahnung!
002_00	Aber nein! Diejenigen, die ungläubig sind, befinden sich in (falschem) Stolz und in Widerstreit.
003_00	Wie viele Geschlechter haben Wir vor ihnen vernichtet! Sie riefen, doch da war keine Zeit mehr zum Entrinnen.
004_00	Sie wundern sich darüber, daß zu ihnen ein Überbringer von Warnungen von ihnen gekommen ist. Die Ungläubigen sagen: "Dies ist ein verlogener Zauberer.
005_00	Macht er denn die Götter zu einem einzigen Gott? Das ist fürwahr etwas sehr Verwunderliches."
006_00	Und so ging die führende Schar unter ihnen fort: "Geht hin und haltet an euren Göttern beharrlich fest. Das ist fürwahr etwas, was (zu eurem Nachteil) gewollt wird.
007_00	Wir haben hiervon nicht in dem vorherigen Glaubensbekenntnis gehört; dies ist nur eine Erfindung.
008_00	Soll die Ermahnung (ausgerechnet) auf ihn aus unserer Mitte herabgesandt worden sein?" Nein! Vielmehr sind sie über Meine Ermahnung im Zweifel. Nein! Vielmehr haben sie noch nicht Meine Strafe gekostet.
009_00	Oder besitzen sie etwa die Schatzkammern der Barmherzigkeit deines Herrn, des Allmächtigen, des unablässig Schenkenden?
010_00	Oder gehört (etwa) ihnen die Herrschaft der Himmel und der Erde und dessen, was dazwischen ist? So sollen sie doch an Seilen emporsteigen.
011_00	Manch eine Heerschar von den Gruppierungen wird da geschlagen stehen!
012_00	Der Lüge bezichtigten (ihre Gesandten) schon vor ihnen das Volk Nuhs, die 'Ad und Fir'aun, der Besitzer der Pfähle,
013_00	und die Tamud und das Volk Luts und die Bewohner des Dickichts; das sind die Gruppierungen.
014_00	Al]e ausnahmslos bezichtigten die Gesandten der Lüge, so wurde Meine Bestra fung unvermeidlich fällig.
015_00	Diese erwarten wohl nur einen einzigen Schrei, der keine Unterbrechung hat.
016_00	Und sie sagen: "Unser Herr, gib uns schnell unser Buch noch vor dem Tag der Abrechnung."
017_00	Ertrage standhaft, was sie sagen. Und gedenke Unseres Dieners Dawud, des Kraftvollen. Gewiß, er war immer wieder umkehrbereit.
018_00	Wir machten ja die Berge dienstbar, daß sie mit ihm zusammen abends und bei Sonnenaufgang (Allah) preisen,
019_00	und auch die (in Scharen) versammelten Vögel. Alle waren immer wieder zu ihm umkehrbereit.'
020_00	Und Wir festigten seine Herrschaft und gaben ihm die Weisheit und die Entschiedenheit im Spruch.
021_00	Ist zu dir die Kunde von den Widersachern gekommen? Als sie über die Mauern in die Andachtsräume einstiegen.
022_00	Als sie bei Dawud eintraten. Da erschrak er vor ihnen. Sie sagten: "Fürchte dich nicht.
022_01	(Wir sind) zwei Widersacher, von denen der eine den anderen unterdrückt hat. So urteile zwischen uns der Wahrheit entsprechend, handle nicht ungerecht und führe uns zum rechten Weg.
023_00	Dieser da, mein Bruder, hat neunundneunzig weibliche Schafe, ich aber (nur) ein einziges Schaf. Dann sagte er: .Vertraue es mir an', und er überwand mich in der Rede."
024_00	Er sagte: "Er hat dir Unrecht getan, daß er dein Schaf zu seinen Schafen hinzu verlangte.
024_01	Gewiß, viele von den Teilhabern begehen gegeneinander Übergriffe, außer denjenigen, die glauben und rechtschaffene Werke tun - und das sind nur wenige."
024_02	Und Dawud verstand, daß Wir ihn nur der Versuchung ausgesetzt hatten. Da bat er seinen Herrn um Vergebung und fiel in Verbeugung nieder und wandte sich (Ihm) reuig zu.
025_00	Und so vergaben Wir ihm dies. Für ihn wird es fürwahr (den Zutritt in) Unsere Nähe und eine schöne Heimstatt geben.
026_00	O Dawud, Wir haben dich zu einem Statthalter auf der Erde gemacht. So richte zwischen den Menschen der Wahrheit entsprechend und folge nicht der Neigung, auf daß sie dich nicht von Allahs Weg abirren läßt,
026_01	denn für diejenigen, die von Allahs Weg abirren, wird es strenge Strafe dafür geben, daß sie den Tag der Abrechnung vergessen haben.
027_00	Und Wir haben den Himmel und die Erde und das, was dazwischen ist, nicht umsonst erschaffen. Das ist die Meinung derjenigen, die ungläubig sind. Doch wehe denjenigen, die ungläubig sind, vor dem (Höllen)feuer!
028_00	Oder sollen Wir etwa diejenigen, die glauben und rechtschaffene Werke tun, den Unheilstiftern auf der Erde gleichstellen oder die Gottesfürchtigen den Lasterhaften?
029_00	(Dies ist) ein gesegnetes Buch, das Wir zu dir hinabgesandt haben, damit sie über seine Zeichen nachsinnen und damit diejenigen bedenken, die Verstand besitzen.
030_00	Und Wir schenkten Dawud Sulaiman. Welch ein trefflicher Diener! Er war immer wieder umkehrbereit.
031_00	Als ihm am Abend die edlen, schnellen Pferde vorgeführt wurden,
