001_00	Bei der Morgendämmerung
002_00	und den zehn Nächten
003_00	und dem geraden und dem ungeraden (Tag)
004_00	und der Nacht, wenn sie fortzieht!
005_00	Ist darin ein (ausreichender) Schwur für jemanden, der Klugheit besitzt?
006_00	Siehst du nicht, wie dein Herr mit den 'Ad verfuhr,
007_00	(mit) Iram mit den Stützen,
008_00	dergleichen nicht erschaffen wurden in den Landstrichen?
009_00	Und (mit) den Tamud, die im Tal die Felsen aushöhlten?
010_00	Und (mit) Fir'aun, dem Besitzer der Pfähle,
011_00	die (sie alle) das Maß (an Frevel) in den Landstrichen überschritten
012_00	und darin viel Unheil stifteten?
013_00	Da schüttete dein Herr auf sie eine Geißel von Strafe aus.
014_00	Gewiß, dein Herr wartet ja (auf sie).
015_00	Was nun den Menschen angeht, wenn sein Herr ihn prüft und ihn da(bei) freigebig behandelt und ihm ein wonnevolles Leben verschafft, so sagt er: "Mein Herr behandelt mich freigebig."
016_00	Was (ihn) aber angeht, wenn Er ihn prüft und ihm da(bei) seine Versorgung bemißt, so sagt er: "Mein Herr setzt mich der Schmach aus."
017_00	Keineswegs! Vielmehr behandelt ihr die Waise nicht freigebig
018_00	und haltet euch nicht gegenseitig zur Speisung des Armen an.
019_00	Und ihr verzehrt das Erbe, ja ihr verzehrt es ganz und gar.
020_00	Und ihr liebt den Besitz, ja ihr liebt ihn voll und ganz.
021_00	Keineswegs! Wenn die Erde eingeebnet, ja platt eingeebnet wird
022_00	und dein Herr kommt und die Engel, Reihe um Reihe,
023_00	und herbeigebracht wird an jenem Tag die Hölle, an jenem Tag wird der Mensch bedenken. Wie soll ihm dann die Selbstbesinnung (nützen)?
024_00	Er wird sagen: "O hätte ich doch für mein (jenseitiges) Leben (etwas) vorausgeschickt!"
025_00	An jenem Tag wird niemand strafen, so wie Er straft,
026_00	und niemand wird fesseln, so wie Er fesselt.
027_00	O du Seele, die du Ruhe gefunden hast,
028_00	kehre zu deinem Herrn zufrieden und mit Wohlgefallen zurück.
029_00	Tritt ein unter Meine Diener,
030_00	und tritt ein in Meinen (Paradies)garten.
