001_00	Bei dem Berg;
002_00	und bei einem Buch, das in Zeilen niedergeschrieben ist
003_00	auf ausgebreiteter Tierhaut;
004_00	bei dem vielbesuchten (Gottes)haus
005_00	und bei dem erhöhten Dach
006_00	und bei dem angefüllten Meer!
007_00	Die Strafe deines Herrn wird gewiß hereinbrechen.
008_00	Es gibt niemanden, der sie abwehren könnte.
009_00	Am Tag, da der Himmel sich heftig hin und her bewegen
010_00	und die Berge sich in der Tat bewegen werden,
011_00	wehe an jenem Tag den Leugnern (der Botschaft),
012_00	die in schweifenden Gesprächen ihr Spiel treiben!
013_00	Am Tag, da sie gewaltsam zum Feuer der Hölle gestoßen werden:
014_00	"Das ist das Feuer, das ihr für Lüge zu erklären pflegtet.
015_00	Ist dies (nun) etwa Zauberei, oder könnt ihr nicht sehen?
016_00	Seid ihm ausgesetzt und ertragt es dann standhaft oder nicht, gleich ist es in Bezug auf euch; euch wird nur das vergolten, was ihr zu tun pflegtet."
017_00	Die Gottesfürchtigen aber werden in Gärten und Wonne sein.
018_00	Sie lassen es sich wohl sein an dem, was ihnen ihr Herr gibt. Und ihr Herr bewahrt sie vor der Strafe des Höllenbrandes.
019_00	"Eßt und trinkt als wohlbekömmlich für das, was ihr zu tun pflegtet,
020_00	indem ihr euch auf (voreinander)gereihten Liegen lehnt." Und Wir geben ihnen als Gattinnen Huris mit schönen, großen Augen.
021_00	Und denjenigen, die glauben und denen ihre Nachkommenschaft im Glauben nachfolgt, lassen Wir ihre Nachkommenschaft sich (ihnen) anschließen.
021_01	Und Wir verringern ihnen gar nichts von ihren Werken. Jedermann ist an das, was er erworben hat, gebunden.
022_00	Und Wir versorgen sie reichlich mit Früchten und Fleisch von dem, was sie begehren.
023_00	Sie greifen darin miteinander nach einem Becher, in dem nichts darin ist, was zu unbedachter Rede verleitet und zu keiner Versündigung.
024_00	Und unter ihnen gehen Jünglinge umher, die zu ihnen gehören, als wären sie wohlverwahrte Perlen.
025_00	Und sie wenden sich einander zu und fragen sich gegenseitig.
026_00	Sie sagen: "Gewiß, früher waren wir inmitten unserer Angehörigen besorgt.
027_00	Da erwies Allah uns eine Wohltat und bewahrte uns vor der Strafe des Glutwindes.
028_00	Gewiß, früher pflegten wir Ihn anzurufen. Gewiß, Er ist ja der Gütige und Barmherzige."
029_00	So ermahne (nur); du bist ja durch die Gunst deines Herrn weder ein Wahrsager noch ein Besessener.
030_00	Oder sagen sie etwa: "Ein Dichter, gegen den wir die (Unglücks)fälle der Zeit abwarten"?
031_00	Sag: Wartet ab! Gewiß, ich gehöre mit euch zu denjenigen, die abwarten.
032_00	Oder befiehlt ihnen etwa ihr Verstand dies, oder sind sie (vielmehr) Leute, die das Maß (an Frevel) überschreiten?
033_00	Oder sagen sie etwa: "Er hat ihn sich selbst ausgedacht'"? Nein! Vielmehr glauben sie nicht.
034_00	So sollen sie doch eine Aussage gleicher Art beibringen, wenn sie wahrhaftig sind.
035_00	Oder sind sie etwa aus dem Nichts erschaffen worden, oder sind sie (gar) selbst die Schöpfer?
036_00	Oder haben sie (etwa) die Himmel und die Erde erschaffen? Nein! Vielmehr sind sie nicht überzeugt.
037_00	Oder besitzen sie (etwa) die Schatzkammern deines Herrn, oder sind sie es, die die Oberherrschaft ausüben?
038_00	Oder haben sie eine Leiter, mit der sie (den Himmel) abhören (können)? Dann soll doch ihr Abhörer eine deutliche Ermächtigung beibringen.
039_00	Oder hat Er (für Sich selbst) die Töchter und habt ihr (für euch selbst) die Söhne (bestimmt)?
040_00	Oder verlangst du (etwa) von ihnen einen Lohn, so daß sie mit Schulden belastet wären?
041_00	Oder besitzen sie (das Wissen über) das Verborgene, so daß sie (es) aufschreiben (können)?
042_00	Oder wollen sie eine List anwenden? Aber diejenigen, die ungläubig sind, sind es, die der List erliegen.
043_00	Oder haben sie einen anderen Gott als Allah? Preis sei Allah! (und Erhaben ist Er) über das, was sie (Ihm) beigesellen.
044_00	Und wenn sie ein Stück vom Himmel herabfallen sähen, würden sie sagen: "Aufgeschichtete Wolken."
045_00	Lasse sie nur, bis sie ihrem Tag begegnen, an dem sie wie vom Donnerschlag getroffen zusammenbrechen werden,
046_00	dem Tag, da ihre List ihnen nichts nützen und ihnen keine Hilfe zuteil werden wird.
047_00	Gewiß, für diejenigen, die Unrecht tun, wird es eine Strafe außer dieser geben, aber die meisten von ihnen wissen nicht.
048_00	Sei standhaft gegenüber dem Urteil deines Herrn. Gewiß, du bist ja vor Unseren Augen. Und lobpreise deinen Herrn, wenn du aufstehst,
049_00	und (in einem Teil) von der Nacht, da preise Ihn, und beim Schwinden der Sterne.
