001_00	Alif-Lam-Mim
002_00	Allah - es gibt keinen Gott außer Ihm, dem Lebendigen und Beständigen.
003_00	Er hat dir das Buch mit der Wahrheit offenbart, das zu bestätigen, was vor ihm (offenbart) war. Und Er hat (auch) die Tora und das Evangelium (als Offenbarung) herabgesandt,
004_00	zuvor, als Rechtleitung für die Menschen. Und Er hat die Unterscheidung herabgesandt. Gewiß, diejenigen, die Allahs Zeichen verleugnen, für sie wird es strenge Strafe geben. Allah ist Allmächtig und Besitzer von Vergeltungsgewalt.
005_00	Vor Allah ist nichts verborgen, weder auf der Erde noch im Himmel.
006_00	Er ist es, Der euch im Mutterleib gestaltet, wie Er will. Es gibt keinen Gott außer Ihm, dem Allmächtigen und Allweisen.
007_00	Er ist es, Der das Buch (als Offenbarung) auf dich herabgesandt hat. Dazu gehören eindeutige Verse - sie sind der Kern des Buches - und andere, mehrdeutige.
007_01	Was aber diejenigen angeht, in deren Herzen (Neigung zum) Abschweifen ist, so folgen sie dem, was davon mehrdeutig ist, im Trachten nach Irreführung und im Trachten nach ihrer Mißdeutung. Aber niemand weiß ihre Deutung außer Allah.
007_02	Und diejenigen, die im Wissen fest gegründet sind, sagen: "Wir glauben daran; alles ist von unserem Herrn." Aber nur diejenigen bedenken, die Verstand besitzen.
008_00	Unser Herr, lasse unsere Herzen nicht abschweifen, nachdem Du uns rechtgeleitet hast, und schenke uns Erbarmen von Dir aus. Du bist ja der unablässig Schenkende.
009_00	Unser Herr, Du wirst die Menschen gewiß zu einem Tag versammeln, an dem es keinen Zweifel gibt. Allah bricht nicht, was Er versprochen hat.
010_00	Gewiß, denjenigen, die ungläubig sind, werden weder ihr Besitz noch ihre Kinder vor Allah etwas nützen. Sie sind es, die Brennstoff des (Höllen)feuers sein werden.
011_00	Nach der Art der Leute Fir'auns und derjenigen vor ihnen: Sie erklärten Unsere Zeichen für Lüge, und da ergriff sie Allah für ihre Sünden. Und Allah ist streng im Bestrafen.
012_00	Sag zu denjenigen, die ungläubig sind: Ihr werdet besiegt und zur Hölle zusammengetrieben werden - eine schlimme Lagerstatt!
013_00	Ihr hattet ja ein Zeichen in zwei Scharen, die aufeinandertrafen: Die eine kämpfte auf Allahs Weg und eine andere, ungläubige. Sie sahen sie dem Augenschein nach zweimal so viel, wie sie (selbst waren).
013_01	Und Allah stärkt mit Seiner Hilfe, wen Er will. Darin ist wahrlich eine Lehre für diejenigen, die Einsicht besitzen.
014_00	Ausgeschmückt ist den Menschen die Liebe zu den Begierden, nach Frauen, Söhnen, aufgehäuften Mengen von Gold und Silber, Rassepferden, Vieh und Saatfeldern.
014_01	Das ist der Genuß im diesseitigen Leben. Doch bei Allah ist die schöne Heimstatt.
015_00	Sag: Soll ich euch von etwas Besserem als diesem Kunde geben?
015_01	Für diejenigen, die gottesfürchtig sind, werden bei ihrem Herrn Gärten sein, durcheilt von Bächen, ewig darin zu bleiben, und vollkommen gereinigte Gattinnen und Wohlgefallen von Allah.
015_02	Allah sieht die Menschen wohl,
016_00	die sagen: "Unser Herr, gewiß, wir glauben. Darum vergib uns unsere Sünden und bewahre uns vor der Strafe des (Höllen)feuers."
017_00	Die Standhaften und die Wahrhaftigen, die demütig Ergebenen und diejenigen, die ausgeben, und die im letzten Teil der Nacht um Vergebung Bittenden.
018_00	Allah bezeugt, daß es keinen Gott gibt außer Ihm; und (ebenso bezeugen) die Engel und diejenigen, die Wissen besitzen; der Wahrer der Gerechtigkeit. Es gibt keinen Gott außer Ihm, dem Allmächtigen und Allweisen.
019_00	Gewiß, die Religion ist bei Allah der Islam.
019_01	Doch diejenigen, denen die Schrift gegeben wurde, wurden erst uneinig, nachdem das Wissen zu ihnen gekommen war - aus Mißgunst untereinander, Doch wer Allahs Zeichen verleugnet -, so ist Allah schnell im Abrechnen.
020_00	Und wenn sie mit dir streiten (wollen), dann sag: "Ich habe mein Gesicht Allah ergeben, und (ebenso,) wer mir folgt!" Und sag zu jenen, denen die Schrift gegeben wurde, und den Schriftunkundigen: "Seid ihr (Allah) ergeben?"
020_01	Wenn sie (Ihm) ergeben sind, dann sind sie rechtgeleitet. Kehren sie sich aber ab, so obliegt dir nur die Übermittelung (der Botschaft). Allah sieht die Menschen wohl.
021_00	Diejenigen, die Allahs Zeichen verleugnen, die Propheten zu Unrecht töten
021_01	und diejenigen unter den Menschen töten, die Gerechtigkeit befehlen, denen verkünde schmerzhafte Strafe.
022_00	Das sind diejenigen, deren Werke im Diesseits und Jenseits hinfällig werden. Und sie haben keine Helfer.
023_00	Siehst du nicht jene, denen ein Teil der Schrift gegeben wurde? Sie werden zum Buch Allahs aufgefordert, damit es zwischen ihnen richte. Hierauf kehrt sich eine Gruppe von ihnen ab, und sie sind Widerstrebende.
024_00	Dies, weil sie sagen: "Das (Höllen)feuer wird uns nur für eine bestimmte Anzahl von Tagen berühren." Was sie (an Lügen) zu ersinnen pflegten, hat sie über ihre Religion getäuscht.
025_00	Aber wie (wird es sein), wenn Wir sie zu einem Tag versammeln, an dem es keinen Zweifel gibt, und jeder Seele in vollem Maß zukommt, was sie verdient hat, und ihnen kein Unrecht zugefügt wird?
026_00	Sag: O Allah, Herr der Herrschaft, Du gibst die Herrschaft, wem Du willst, und Du entziehst die Herrschaft, wem Du willst. Du machst mächtig, wen Du willst, und Du erniedrigst, wen Du willst.
026_01	In Deiner Hand ist (all) das Gute. Gewiß, Du hast zu allem die Macht.
