001_00	Segensreich ist Derjenige, in Dessen Hand die Herrschaft ist, und Er hat zu allem die Macht.
002_00	(Er,) Der den Tod und das Leben erschaffen hat, damit Er euch prüfe, wer von euch die besten Taten begeht. Und Er ist der Allmächtige und Allvergebende.
003_00	(Er,) Der sieben Himmel in Schichten (übereinander) erschaffen hat. Du kannst in der Schöpfung des Allerbarmers keine Ungesetzmäßigkeit sehen. Wende den Blick zurück: Siehst du irgendwelche Risse?
004_00	Hierauf wende den Blick wiederholt zurück. Der Blick wird zu dir erfolglos und ermüdet zurückkehren.
005_00	Wir haben ja den untersten Himmel mit Lampen geschmückt und haben sie zu Wurfgeschossen gegen die Satane gemacht. Und bereitet haben Wir für sie die Strafe der Feuerglut.
006_00	Und für diejenigen, die ihren Herrn verleugnen, wird es die Strafe der Hölle geben - ein schlimmer Ausgang!
007_00	Wenn sie hineingeworfen werden, hören sie von ihr stoßweises Aufheulen, während sie brodelt.
008_00	Beinahe würde sie vor Grimm bersten. Jedesmal, wenn eine Schar hineingeworfen wird, werden ihre Wärter sie fragen: "Ist zu euch denn kein Warner gekommen?"
009_00	Sie werden sagen: "Ja doch, zu uns kam bereits ein Warner; aber wir haben (ihn) der Lüge bezichtigt und gesagt: , Allah hat nichts offenbart; ihr befindet euch nur in großem Irrtum'."
010_00	Und sie werden sagen: "Hätten wir nur gehört und begriffen, wären wir (nun) nicht unter den Insassen der Feuerglut."
011_00	So werden sie ihre Sünde bekennen. Weit weg darum mit den Insassen der Feuerglut!
012_00	Gewiß, diejenigen, die ihren Herrn im Verborgenen fürchten, für sie wird es Vergebung und großen Lohn geben.
013_00	Haltet eure Worte geheim oder äußert sie laut vernehmbar, gewiß, Er weiß über das Innerste der Brüste Bescheid.
014_00	Sollte denn Derjenige, Der erschaffen hat, nicht Bescheid wissen'? Und Er ist der Feinfühlige und Allkundige.
015_00	Er ist es, Der euch die Erde fügsam gemacht hat. So geht auf ihrem Rücken einher und eßt von dem, womit Er (euch) versorgt. Und zu Ihm wird die Auferstehung sein.
016_00	Glaubt ihr in Sicherheit davor zu sein, daß Wer im Himmel ist, die Erde mit euch versinken läßt, so daß sie sich dann hin und her bewegt?
017_00	Oder glaubt ihr euch in Sicherheit davor, daß Wer im Himmel ist, gegen euch einen Sturm von Steinchen sendet? Dann werdet ihr (noch) erfahren, wie Meine Warnung ist.
018_00	Auch diejenigen, die vor ihnen waren, haben bereits (die Gesandten) der Lüge bezichtigt. Wie war da Meine Mißbilligung!
019_00	Sehen sie denn nicht auf die Vögel über ihnen, wie sie ihre Flügel ausgebreitet halten und einziehen? Nur der Allerbarmer hält sie. Gewiß, Er sieht alles wohl.
020_00	Oder wer ist denn dieser, der euch eine Heerschar wäre, die euch helfen (sollte) außer dem Allerbarmer? Die Ungläubigen befinden sich nur im Trug.
021_00	Oder wer ist denn dieser, der euch versorgen (sollte), wenn Er Seine Versorgung zurückhält? Aber nein! Sie fahren weiter in Auflehnung und Abneigung.
022_00	Ist denn jemand, der, auf sein Gesicht gestürzt, einhergeht, eher rechtgeleitet, oder jemand, der aufrecht auf einem geraden Weg einhergeht?
023_00	Sag: Er ist es, Der euch hat entstehen lassen und euch Gehör, Augenlicht und Herzen gemacht hat. Wie wenig ihr dankbar seid!
024_00	Sag: Er ist es, Der euch auf der Erde (an Zahl) hat anwachsen lassen, und zu Ihm werdet ihr versammelt werden.
025_00	Und sie sagen: "Wann wird dieses Versprechen eintreten, wenn ihr wahrhaftig seid?"
026_00	Sag: Nur Allah weiß (darüber) Bescheid. Und ich bin nur ein deutlicher Warner.
027_00	Wenn sie es aber nahe (bei sich) sehen, dann werden die Gesichter derjenigen, die ungläubig sind, böse betroffen sein. Und es wird gesagt werden: "Das ist das, was ihr stets herbeizurufen wünschtet."
028_00	Sag: Was meint ihr, wenn Allah mich und wer mit mir ist, vernichten oder wenn Er Sich unser erbarmen sollte, wer wird dann den Ungläubigen Schutz vor schmerzhafter Strafe gewähren?
029_00	Sag: Er ist der Allerbarmer. Wir glauben an Ihn, und auf Ihn verlassen wir uns. Ihr werdet (noch) erfahren, wer sich in deutlichem Irrtum befindet.
030_00	Sag: Was meint ihr, wenn euer Wasser versickert sein sollte, wer sollte euch dann hervorquellendes Wasser bringen?
