001_00	Den Gläubigen wird es ja wohl ergehen,
002_00	denjenigen, die in ihrem Gebet demütig sind,
003_00	und denjenigen, die sich von unbedachter Rede abwenden,
004_00	und denjenigen, die die (Zahlung der) Abgabe anwenden,
005_00	und denjenigen, die ihre Scham hüten,
006_00	außer gegenüber ihren Gattinnen oder was ihre rechte Hand (an Sklavinnen) besitzt, denn sie sind (hierin) nicht zu tadeln,
007_00	- wer aber darüber hinaus (etwas) begehrt, das sind die Übertreter -,
008_00	und denjenigen, die auf die ihnen anvertrauten Güter und ihre Verpflichtung achtgeben,
009_00	und denjenigen, die ihre Gebete einhalten.
010_00	Das sind die Erben,
011_00	die das Paradies erben werden; ewig werden sie darin bleiben.
012_00	Wir schufen den Menschen ja aus einem Auszug aus Lehm.
013_00	Hierauf machten Wir ihn zu einem Samentropfen in einem festen Aufenthaltsort.
014_00	Hierauf schufen Wir den Samentropfen zu einem Anhängsel, dann schufen Wir das Anhängsel zu einem kleinen Klumpen, dann schufen Wir den kleinen Klumpen zu Knochen, dann bekleideten Wir die Knochen mit Fleisch. Hierauf ließen Wir ihn als eine weitere Schöpfung entstehen.
014_01	Segensreich ist Allah, der beste Schöpfer.
015_00	Hierauf werdet ihr gewiß nach (all) diesem sterben.
016_00	Hierauf werdet ihr gewiß am Tag der Auferstehung auferweckt werden.
017_00	Und Wir schufen ja über euch sieben Lagen, und Wir sind der Schöpfung nicht unachtsam.
018_00	Und Wir lassen vom Himmel Wasser in (bestimmtem) Maß herabkommen und lassen es sich dann in der Erde aufhalten. Und Wir habe'n fürwahr die Macht, es (wieder) wegzunehmen.
019_00	Dann lassen Wir euch dadurch Gärten mit Palmen und Rebstöcken entstehen, in denen ihr vielerlei Früchte habt und von denen ihr eßt,
020_00	und einen Baum, der aus dem Berg Saina herauskommt, der Öl hervorbringt und auch Tunke für diejenigen, die essen.
021_00	Und (auch) im Vieh habt ihr wahrlich eine Lehre. Wir geben euch von dem, was in ihren Leibern ist, zu trinken. An ihnen habt ihr vielerlei Nutzen, und davon eßt ihr.
022_00	Und auf ihnen und auf den Schiffen werdet ihr getragen.
023_00	Und Wir sandten bereits Nuh zu seinem Volk. Da sagte er: "O mein Volk, dient Allah. Keinen Gott habt ihr außer Ihm. Wollt ihr denn nicht gottesfürchtig sein?"
