001_00	Alif-Lam-Ra. Dies sind die Zeichen des deutlichen Buches.
002_00	Wir haben es als einen arabischen Qur'an hinabgesandt, auf daß ihr begreifen möget.
003_00	Wir berichten dir die schönsten Geschichten dadurch, daß Wir dir diesen Qur'an (als Offenbarung) eingegeben haben, obgleich du zuvor wahrlich zu den Unachtsamen gehörtest.
004_00	Als Yusuf zu seinem Vater sagte: "O mein Vater, ich sah elf Sterne und die Sonne und den Mond, ich sah sie sich vor mir niederwerfen."
005_00	Er sagt: "O mein lieber Sohn, erzähle dein (Traum)gesicht nicht deinen Brüdern, sonst werden sie eine List gegen dich schmieden. Gewiß, der Satan ist dem Menschen ein deutlicher Feind.
006_00	Und so wird dein Herr dich erwählen und dich etwas von der Deutung der Geschichten lehren und Seine Gunst an dir und an der Sippe Ya'qubs vollenden, wie Er sie zuvor an deinen beiden Vätern Ibrahim und lshaq vollendet hat.
006_01	Gewiß, dein Herr ist Allwissend und Allweise. "
007_00	Wahrlich, in Yusuf und seinen Brüdern sind Zeichen für diejenigen, die (nach der Wahrheit) fragen.
008_00	Als sie sagten: "Wahrlich, Yusuf und sein Bruder sind unserem Vater lieber als wir, obwohl wir eine (ansehnliche) Schar sind. Unser Vater befindet sich fürwahr in deutlichem Irrtum.
009_00	Tötet Yusuf oder werft ihn ins Land hinaus, so wird das Gesicht eures Vaters sich nur noch euch zuwenden, und danach werdet ihr rechtschaffene Leute sein."
010_00	Einer von ihnen sagte: "Tötet Yusuf nicht, sondern werft ihn in die verborgene Tiefe des Brunnenlochs, so werden ihn schon einige der Reisenden auflesen, wenn ihr doch etwas tun wollt."
011_00	Sie sagten: "O unser Vater, warum vertraust du uns Yusuf nicht an? Wir werden ihm wahrlich aufrichtig zugetan sein.
012_00	Sende ihn morgen mit uns, daß er Spaß und Spiel finde; wir werden ihn fürwahr behüten."
013_00	Er sagte: "Es macht mich fürwahr traurig, daß ihr ihn mitnehmt. Und ich fürchte, daß ihn der Wolf frißt, während ihr seiner unachtsam seid."
014_00	Sie sagten: "Wenn ihn der Wolf fressen sollte, wo wir doch eine (ansehnliche) Schar sind, dann wären wir fürwahr Verlierer."
015_00	Als sie ihn mitnahmen und sich geeinigt hatten, ihn in die verborgene Tiefe des Brunnenlochs zu stecken, gaben Wir ihm ein: "Du wirst ihnen ganz gewiß noch diese ihre Tat kundtun, ohne daß sie merken."
016_00	Und am Abend kamen sie weinend zu ihrem Vater.
017_00	Sie sagten: "O unser Vater, wir gingen, um einen Wettlauf zu machen, und ließen Yusuf bei unseren Sachen zurück. Da fraß ihn der Wolf. Aber du glaubst uns wohl nicht, auch wenn wir die Wahrheit sagen."
018_00	Sie brachten falsches Blut auf seinem Hemd. Er sagte: "Nein! Vielmehr habt ihr selbst euch etwas eingeredet. (So gilt es,) schöne Geduld (zu üben). Allah ist Derjenige, bei Dem Hilfe zu suchen ist gegen das, was ihr beschreibt."
019_00	Reisende kamen vorbei. Sie sandten ihren Wasserschöpfer, und er ließ seinen Eimer hinunter. Er sagte: "O frohe Botschaft! Da ist ein Junge." Sie verbargen ihn als Ware. Und Allah wußte wohl, was sie taten.
020_00	Und sie verkauften ihn für einen zu niedrigen Preis, einige gezählte Dirhams. Und sie übten Verzicht in Bezug auf ihn.
021_00	Und derjenige aus Ägypten, der ihn gekauft hatte, sagte zu seiner Frau: "Bereite ihm einen gastfreundlichen Aufenthalt. Vielleicht wird er uns nützlich sein, oder nehmen wir ihn als Kind an."
021_01	So verliehen Wir Yusuf eine feste Stellung im Land. Und Wir wollten ihn etwas von der Deutung der Geschichten lehren. Und Allah ist in Seiner Angelegenheit überlegen. Aber die meisten Menschen wissen nicht.
022_00	Als er seine Vollreife erlangt hatte, gaben Wir ihm Urteil(skraft) und Wissen. So vergelten Wir den Gutes Tuenden.
023_00	Und diejenige, in deren Haus er war, versuchte, ihn zu verführen'. Sie schloß die Türen ab und sagte: "Da bin ich für dich!" Er sagte: "Allah schütze mich (davor)!
023_01	Er, mein Herr, hat mir einen schönen Aufenthalt bereitet. Gewiß, den Ungerechten wird es nicht wohl ergehen."
024_00	Es verlangte sie nach ihm, und es hätte ihn nach ihr verlangt, wenn er nicht den Beweis seines Herrn gesehen hätte. Dies (geschah), damit Wir das Böse und das Schändliche von ihm abwendeten. Er gehört ja zu Unseren auserlesenen Dienern.
025_00	Sie versuchten beide als erster zur Tür zu gelangen. Sie zerriß ihm von hinten das Hemd.
