001_00	Ó humanos, temei a vosso Senhor, porque a convulsão da Hora será logo terrível.
002_00	No dia em que a presenciardes, casa nutriente esquecerá o filho que amamenta; toda a gestante abortará;
002_01	tu verás os homens como ébrios, embora não o estejam, porque o castigo de Deus será severíssimo.
003_00	Entre os humanos há quem discute nesciamente acerca de Deus e segue qualquer demônio rebelde.
004_00	Foi decretado sobre (o maligno): Quem se tornar íntimo dele, será desviado e conduzido ao suplício do tártaro.
005_00	Ó humanos, se estais em dúvida sobre a ressurreição, reparai em que vos criamos do pó, depois do esperma, e logo vos convertemos em algo que se agarra
005_01	e, finalmente, em feto, com forma ou amorfo, para demonstrar-vos (a Nossa onipotência); e conservamos no útero o que queremos, até um período determinado,
005_02	de onde vos retiraremos, crianças para que alcanceis a puberdade.
005_03	Há, entre vós, aqueles que morrem (ainda jovens) e há os que chegam à senilidade, até ao ponto de não se recordarem do que sabiam.
005_04	E observai que a terra é árida; não obstante, quando (Nós) fazemos descer a água sobre ela, move-se e se impregna de fertilidade, fazendo brotar todas as classes de pares de viçosos (frutos).
006_00	Isto, porque Deus é Verdadeiro e vivifica os mortos, e porque é Onipotente.
007_00	E a Hora chegará indubitavelmente, e Deus ressuscitará aqueles que estiverem nos sepulcros.
008_00	Entre os humanos, há aquele que disputa nesciamente acerca de Deus, sem orientação nem livro lúcido,
009_00	Desdenhoso, para assim desviar os demais da senda de Deus. Sofrerá aviltamento neste mundo e, no Dia da Ressurreição, fá-lo-emos experimentar a pena da chama infernal.
010_00	Isso, pelo que tiverem cometido suas mãos, porque Deus nunca é injusto para com os Seus servos.
011_00	Entre os humanos há, também, quem adora Deus com restrições: se lhe ocorre um bem, satisfaz-se com isso; porém, se oaçoita um adversidade, renega e perde este mundo e o outro.
011_01	Esta é a evidencia desventura.
012_00	Ele invoca, em vez de Deus, quem não pode prejudicá-lo nem beneficiá-lo. Tal é o profundo erro.
013_00	Invoca quem lhe causa mais prejuízos do que benefícios. Que péssimo amo e que diabólico companheiro!
014_00	Deus introduzirá os fiéis, que praticam o bem, em jardins, abaixo dos quais correm os rios, porque Deus faz o que Lheapraz.
015_00	Quem pensa que Deus jamais o socorrerá (Mensageiro) neste mundo ou no outro, que pendure uma corda no teto (de suacasa) e se enforque; verá se com isso poderá acalmar o seu furor.
016_00	Assim o revelamos (o Alcorão) em lúcidos versículos, e Deus ilumina quem Lhe apraz.
017_00	Quanto aos fiéis, judeus, sabeus, cristão, masdeístas ou idólatras, certamente Deus os
017_01	julgará a todos no Dia da Ressurreição, porque Deus é Testemunha de todas as coisas.
018_00	Nãorreparas, acaso, em que tudo quanto há nos céus e tudo quanto há na terra se prostra ante Deus? O sol, a lua, as estrelas, as montanhas, as árvores, os animais e muitos humanos?
018_01	Porém, muitos merecem o castigo! E quem Deus afronta não achará quem o honre, porque Deus faz o que Lhe apraz.
019_00	Existem dois antagonistas (crédulos e incrédulos), que disputam acerca do seu Senhor. Quanto aos incrédulos, serãocobertos com vestimentas de fogo e lhes será derramada, sobre as cabeças, água fervente,
020_00	A qual derreterá tudo quanto há em suas entranhas, além da totalidade de suas peles.
021_00	Em adição, haverá clavas de ferro (para o castigo).
022_00	Toda a vez que dele (do fogo) quiserem sair, por angústia, ali serão repostos e lhes será dito: Sofrei a pena da queima!
023_00	Por outra, Deus introduzirá os fiéis, que praticam o bem, em jardins, abaixo dos quais correm os rios,
023_01	onde serão enfeitados com pulseiras de ouro e pérola, e suas vestimentas serão de seda.
024_00	Porque se guiaram pelas palavras puras e se encaminharam até à senda do Laudabilíssimo.
025_00	Quanto aos incrédulos, que vedam os demais da senda de Deus e a sagrada Mesquita, - a qual destinamos aos humanos, por igual, quer seja seus habitantes, quer sejam visitantes, - e que nela comete, intencionalmente, profanação ou iniqüidade,
025_01	fá-los-emos provar um doloroso castigo.
026_00	E (recorda-te) de quando indicamos a Abraão o local da Casa, dizendo: Não Me atribuas parceiros, mas consagra aMinha Casa para os circungirantes, para os que permanecem em pé e para os genuflexos e prostrados.
027_00	E proclama a peregrinação às pessoas; elas virão a ti a pé, e montando toda espécie de camelos, de todo longínquolugar,
028_00	Para testemunhar os seus benefícios e invocar o nome de Deus, nos dias mencionados, sobre o gado com que Ele osagraciou (para o sacrifício).
028_01	Comei, pois, dele, e alimentai o indigente e o pobre.
029_00	Que logo se higienizem, que cumpram os seus votos e que circungirem a antiga Casa.
030_00	Tal será (a peregrinação). Quanto àquele que enaltecer os ritos sagrados de Deus, terá feito o melhor para ele, aos olhosdo seu Senhor.
030_01	É-vos permitida a (carne) das reses, exceto o que já vos foi estipulado. Enviai, pois, a abominação daadoração dos ídolos e evitai o perjúrio,
