001_00	Tudo quanto existe nos céus e na terra glorifica Deus, porque Ele é o Poderoso, o Prudentíssimo.
002_00	Seu é o reino dos céus e da terra; dá a vida e dá a morte, e é Onipotente.
003_00	Ele é o Primeiro e o Último; o Visível e o Invisível, e é Onisciente.
004_00	Ele foi Quem criou os céus e a terra, em seis dias; então, assumiu o trono.
004_01	Ele bem conhece o que penetra na terra e tudoquanto dela sai; o que desce do céu e tudo quanto a ele ascende, e está convosco onde quer que estejais,
004_02	e bem vê tudoquanto fazeis.
005_00	Seu é o reino dos céus e da terra, e a Deus retornarão todos os assuntos.
006_00	Ele insere a noite no dia e o dia na noite, e é Sabedor das intimidades dos corações.
007_00	Crede em Deus e em Seu Mensageiro, e fazei caridade daquilo que Ele vos fez herdar. E aqueles que, dentre vós, crereme fizerem caridade, obterão uma grande recompensa.
008_00	E que escusas tereis para não crerdes em Deus, se o Mensageiro vos exorta a crerdes no vosso Senhor? Ele recebeu avossa promessa, se sois fiéis.
009_00	Ele (Deus) é Quem revela ao Seu servo lúcidos versículos, para que vos tire das trevas e vos conduza à luz, porque Ele é, para convosco, compassivo, Misericordiosíssimo.
010_00	E que escusas tereis para não contribuirdes na causa de Deus, uma vez que a Deus pertence a herança dos céus e daterra? Nesse caso, jamais podereis equiparar-vos aos que tiverem contribuído e combatido, antes da conquista - estes sãomais dignos do que aqueles que contribuíram e combateram posteriormente -, ainda que Deus tenha prometido a todos obem.
010_01	Sabei que Deus está inteirado de tudo quanto fazeis.
011_00	Qual será o fiel que não quererá emprestar espontaneamente a Deus? Será retribuído em dobro, e terá uma generosarecompensa!
012_00	(Será) o dia em que verás (ó Mohammad) os fiéis e as fiéis com a luz a se irradiar, ante eles, pela sua crença.
012_01	Nesse diavos alvissaremos com jardins, abaixo dos quais correm os rios, onde morareis eternamente. Tal será a magníficarecompensa!
013_00	(Será também) o dia em que os hipócritas e as hipócritas dirão aos fiéis: Esperai-nos: para que nos iluminemos com avossa luz!
013_01	Ser-lhes-á retrucado: Voltai atrás, e buscai a luz! Entre eles se elevará uma muralha provida de uma porta, pordetrás da qual estará a misericórdia, e em frente à qual estará o suplício infernal.
014_00	(Os hipócritas) clamarão: Acaso não estávamos convosco? Ser-lhes-á replicado: Sim! Porém, caístes em tentação e vosenganastes mutuamente
014_01	e duvidastes (da religião), e os vossos desejos vos iludiram, até que se cumpriram os desígnios deDeus. E o sedutor vos enganou a respeito de Deus.
015_00	Assim, pois, hoje não se aceitará resgate algum por vós, nem pelos incrédulos. A vossa morada será o fogo, que é o quemerecestes. E que funesto destino!
016_00	Porventura, não chegou o momento de os fiéis humilharem os seus corações à recordação de Deus e à verdade revelada, para que não sejam como os que antes receberam o Livro?
016_01	Porém, longo tempo passou, endurecendo-lhes os corações, e asua maioria é rebelde e transgressora.
017_00	Sabei que Deus vivifica a terra, depois de ter sido árida. Elucidamos-vos os versículos, para que raciocineis.
018_00	Em verdade, os caritativos e as caritativas, e aqueles que emprestam espontaneamente a Deus serão retribuídos emdobro, e obterão uma generosa recompensa.
019_00	E aqueles que crêem em Deus e em Seus mensageiros são os leias, e os mártires terão, do Seu Senhor, a sua recompensae a sua luz.
019_01	Em troca, os incrédulos que desmentem, os Nossos versículos, serão os réprobos.
020_00	Sabei que a vida terrena é tão-somente jogo e diversão, veleidades, mútua vanglória e rivalidade, com respeito àmultiplicação de bens e filhos; é como a chuva, que compraz aos cultivadores, por vivificar a plantação; logo, completa-se oseu crescimento e a verás amarelada e transformada em feno.
020_01	Na outra vida haverá castigos severos, indulgência ecomplacência de Deus.
020_02	Que é vida terrena, senão um prazer ilusório?
021_00	Emulai-vos, pois, em obter a indulgência do vosso Senhor e o Paraíso, cujas dimensões igualam as do
021_01	céu e da terra, reservado para aqueles que cede a quem Lhe apraz, porque é Agraciante por excelência.
022_00	Não assolará desgraça alguma, quer seja na terra, quer sejam a vossas pessoas, que não esteja registrada no Livro, antesmesmo que a evidenciemos. Sabei que isso é fácil a Deus,
023_00	Para que vos não desespereis, pelos (prazeres) que vos foram omitidos, nem nos exulteis por aquilo com que vosagraciou, porque Deus não aprecia arrogante e jactancioso algum,
024_00	Que mesquinha e recomenda aos demais a avareza. Mas quem desdenhar, que fique sabendo que Deus é, por Si só, oOpulento, o Laudabilíssimo.
025_00	Enviamos os Nossos mensageiros com as evidências: e enviamos, com eles, o Livro e a balança, para que os humanosobservem a justiça; e criamos o ferro, que encerra grande poder (para
025_01	a guerra), além de outros benefícios para os humanos, para que Deus Se certifique de quem O secunda intimamente, a Ele e aos Seus mensageiros; Sabei que Deus é Poderoso, Fortíssimo.
026_00	E enviamos também Noé e Abraão, e estabelecemos entre seus descendentes a profecia e o Livro; entre eles, há osencaminhados; porém, a sua maioria é depravada.
027_00	Então, após eles, enviamos outros mensageiros Nossos e, após estes, enviamos Jesus, filho de Maria, a quemcon
027_01	cedemos o Evangelho; e infundimos nos corações daqueles que o seguem compaixão e clemência. No entanto, segue
027_02	m avida monástica, que inventaram, mas que não lhes prescrevemos; (Nós lhes prescrevemos) apenas compraz a De
027_03	us; porém, não o observaram devidamente. E recompensamos os fiéis, dentre eles; porém, a maioria é depravada.
028_00	Ó fiéis, temei a Deus e crede em Seu Mensageiro!
028_01	Ele vos concederá dupla porção da Sua misericórdia, dar-vos-á umaluz, com que vos encaminhará e vos perdoará; e Deus é Indulgente, Misericordiosíssimo.
029_00	Que os adeptos do Livro saibam que não têm qualquer poder sobre a graça de Deus, porque a graça som
