001_00	Ó tu, emantado!
002_00	Levante-te e admoesta!
003_00	E enaltece o teu Senhor!
004_00	E purifica as tuas vestimentas!
005_00	E foge da abominação!
006_00	E não esperes qualquer aumento (em teu interesse),
007_00	Mas persevera, pela causa do teu Senhor,
008_00	Pois, quando for tocada a trombeta,
009_00	Esse dia será um dia nefasto,
010_00	Insuportável para os incrédulos.
011_00	Deixa por Minha conta aquele que criei solitário,
012_00	Que depois agraciei com infinitos bens,
013_00	E filhos, ao seu lado,
014_00	E que agraciei liberalmente,
015_00	E que ainda pretende que lhe sejam acrescentados (os bens)!
016_00	Qual! Por Ter sido insubmisso quanto aos Nossos versículos,
017_00	Infligir-lhe-ei um acúmulo de vicissitudes,
018_00	Porque meditou e planejou.
019_00	Que pereça, pois, por planejar,
020_00	E, uma vez mais, que pereça por planejar!
021_00	Então, refletiu;
022_00	Depois, tornou-se austero e ameaçador;
023_00	Depois, renegou e se ensoberbeceu;
024_00	E disse: Este (Alcorão) não é mais do que magia, oriunda do passado;
025_00	Esta não é mais do que a palavra de um mortal!
026_00	Por isso, introduzi-lo-ei no tártaro!
027_00	E o que te fará compreender o que é o tártaro?
028_00	Nada deixa perdurar e nada deixa a sós!
029_00	Carbonizador do humanos,
030_00	Guardado por dezenove.
031_00	E não designamos guardiães do fogo, senão os anjos,
031_01	e não fixamos o seu número, senão como prova para os incrédulos, para que os adeptos do Livro se convençam; para que os fiéis aumentem em sua fé e para que os adeptos do Livro, assim como os fiéis, não duvidem;
031_02	e para que os que abrigam a morbidez em seus corações, bem como os incrédulos, digam: Que quer dizer Deus com esta prova?
031_03	Assim Deus extravia quem quer e encaminha quem Lhe apraz e ninguém, senão Ele, conhece os exércitos do teu Senhor. Isto não é mais do que uma mensagem para a humanidade.
032_00	Qual! Pela lua,
033_00	E pela noite, quando se extingue,
034_00	E pela manhã, quando surge,
035_00	Que isto é um doa maiores portentos,
036_00	Admoestação para o gênero humano,
037_00	E para aquele, dentre vós, que se antecipa ou se atrasa!
038_00	Toda a alma é depositária das suas ações,
039_00	Salvo as que estiverem à mão direita,
040_00	Que estarão nos jardins das delícias. Perguntarão,
041_00	Aos pecadores:
042_00	O que foi que vos introduziu no tártaro?
043_00	Responder-lhes-ão: Não nos contávamos entre os que oravam,
044_00	Nem alimentávamos o necessitado;
045_00	Ao contrário, dialogávamos sobre futilidades, com palradores,
046_00	E negávamos o Dia do Juízo,
047_00	Até que nos chegou a (Hora) infalível!
048_00	De nada, então, valerá, a intercessão dos mediadores.
049_00	Porque, pois, desdenham a admoestação,
050_00	Como se fossem asnos espantados,
051_00	Fugindo de um leão?
052_00	Porém, cada um deles quereria receber (agora) páginas abertas (com a revelação).
053_00	Qual! Em verdade não temem a outra vida.
054_00	Qual! Sabei que (o Alcorão) é uma admoestação.
055_00	Quem quiser, pois, que o recorde!
056_00	Porém, não o recordarão, a menos que Deus o queira, porque é o Senhor do temor e o Senhor da remissão.
