001_00	La verdad indefectible.
002_00	¿Qué es la verdad indefectible?
003_00	¿Y cómo sabrás qué es la verdad indefectible?
004_00	Los Zamud y los Ad negaron la veracidad de lo que ha de causar conmoción.
005_00	En cuanto a los Zamud, fueron destruidos por el Grito que todo lo traspasaba*.
006_00	Y los Ad fueron destruidos por un viento gélido y tempestuoso.
007_00	Lo hizo soplar contra ellos siete noches y ocho días consecutivos, durante los cuales veías a la gente caída como troncos huecos de palmera.
008_00	¿Y ves que haya quedado algo de ellos?
009_00	Y Firaún, los que hubo antes de él y las ciudades que fueron puestas del revés. Todos cometieron transgresiones.
010_00	Desobedecieron al mensajero de su Señor y Él los agarró con un castigo cada vez mayor.
011_00	Así fue, como cuando el agua se desbordó, os llevamos en la embarcación.
012_00	Con el fin de hacer de ello un recuerdo para vosotros y para que todo oído consciente lo retuviera.
013_00	Y cuando se sople en el cuerno una vez.
014_00	Y la tierra y las montañas sean alzadas en el aire y pulverizadas de una vez.
015_00	Ese día tendrá lugar el Acontecimiento.
016_00	El cielo se rasgará y no tendrá ese día consistencia.
017_00	Los ángeles estarán en sus confines y ocho de ellos, llevarán ese día el trono de tu Señor.
018_00	Ese día seréis puestos al descubierto y no quedará nada oculto de vosotros.
019_00	Al que se le dé su libro en la derecha, dirá: ¡Venid! ¡Leed mi libro!
020_00	Supe con certeza que habría de hallar mi cuenta.
021_00	Estará en una vida satisfactoria.
022_00	En un jardín elevado
023_00	cuyos frutos estarán próximos.
024_00	¡Comed y bebed alegremente por lo que adelantasteis en los días pasados!
025_00	Pero a quien se le dé su libro en la izquierda dirá: ¡Ay de mí! ojalá no me hubieran dado mi libro,
026_00	y no hubiera sabido cuál era mi cuenta.
027_00	¡Ay de mí, ojalá hubiera acabado del todo!
028_00	De nada me ha servido mi riqueza
029_00	y mi poder se ha desvanecido.
030_00	¡Prendedlo y encadenadlo!
031_00	Luego haced que entre en el Yahim
032_00	y apresadlo con una cadena de setenta codos.
033_00	Él no creía en Allah, el Inmenso.
034_00	Y no exhortaba a alimentar al pobre.
035_00	Hoy no tendrá aquí quien lo proteja,
036_00	ni comida que no sea pus,
037_00	la cual sólo comerán los que transgredieron.
038_00	Y juro por lo que veis
039_00	y por lo que no veis
040_00	que es de verdad la palabra de un noble mensajero*
041_00	y no la palabra de un poeta. ¡Qué poco creéis!
042_00	Ni es la palabra de un adivino. ¡Qué poco recapacitáis!
043_00	Es una revelación descendida desde el Señor de los mundos.
044_00	Si él lo hubiera inventado y Nos hubiera atribuido parte de lo que dice
045_00	lo habríamos agarrado con fuerza*.
046_00	Y le habríamos cortado la yugular.
047_00	Y ninguno de vosotros lo habría podido impedir.
048_00	Es un recuerdo para los que se guardan.
049_00	Sabemos que ciertamente entre vosotros hay quienes niegan la verdad.
050_00	Y es cierto que él* es un motivo de pesar para los incrédulos,
051_00	pero es la pura verdad.
052_00	Así pues glorifica el nombre de tu Señor, el Inmenso.
