001_00	Ta, Sin, Mim.
002_00	Estos son los signos del Libro explícito.
003_00	Tal vez te esté matando el hecho de que no sean creyentes.
004_00	Si quisiéramos, haríamos descender sobre ellos un signo del cielo y sus cuellos se quedarían ante él humillados.
005_00	No les viene ningún nuevo recuerdo del Misericordioso del que no se aparten.
006_00	Han negado la verdad, pero ya les llegarán las noticias de aquello de que se burlaban.
007_00	¿Es que no ven la tierra y cuántas nobles especies hemos hecho crecer en ella?
008_00	Es cierto que en eso hay un signo, pero la mayoría de ellos no son creyentes.
009_00	Y realmente tu Señor es el Irresistible, el Compasivo.
010_00	Cuando tu Señor llamó a Musa: ¡Ve a donde la gente injusta!
011_00	La gente de Firaún. ¿Es que no van a ser temerosos?
012_00	Dijo: Señor, temo que me tachen de mentiroso
013_00	y mi pecho se estreche y mi lengua no se suelte, envía conmigo a Harún.
014_00	Ellos me reclaman un delito y temo que me maten.
015_00	Dijo: En absoluto. Id ambos con Nuestros signos, que estaremos junto a vosotros escuchando.
016_00	Presentaos ante Firaún y decidle: Somos portadores de un mensaje del Señor de los mundos
017_00	para que dejes ir con nosotros a los hijos de Israel.
018_00	Dijo: ¿Acaso no te criamos con nosotros cuando eras niño y permaneciste entre nosotros años de tu vida
019_00	e hiciste lo que hiciste convirtiendote en un renegado?
020_00	Dijo: Cuando lo hice estaba entre los extraviados.
021_00	Y al sentir miedo huí de vosotros, entonces mi Señor me concedió juicio y me hizo uno de los enviados.
022_00	Y éste es el favor que tu me hiciste: esclavizar a los hijos de Israel.
023_00	Dijo Firaún: ¿Y quién es el Señor de los mundos?
024_00	Dijo: El Señor de los cielos y de la tierra y de lo que hay entre ambos, si tuvierais certeza.
025_00	Dijo a quienes estaban a su alrededor: ¿Habéis oído?
026_00	Dijo: Es vuestro Señor y el Señor de vuestros primeros padres.
027_00	Dijo: Verdaderamente vuestro mensajero, el que os ha sido enviado, es un poseso.
028_00	Dijo: El Señor del oriente y del occidente y de lo que hay entre ambos, si comprendierais.
029_00	Dijo: Si tomas otro dios que yo, te dejaré entre los prisioneros.
030_00	Dijo: ¿Incluso si te traigo algo evidente?
031_00	Dijo: Tráelo, si eres de los que dicen la verdad.
032_00	Y arrojó su vara, y entonces fue una serpiente evidente.
033_00	Sacó su mano y fue blanca* para los que lo presenciaban.
034_00	Le dijo al consejo de nobles que estaba a su alrededor: Realmente es un mago experto
035_00	que quiere haceros salir de vuestra tierra con su magia, ¿qué deliberáis?
036_00	Dijeron: Dales un plazo a él y a su hermano y manda reclutadores a las ciudades
037_00	que te traigan a todo mago experto.
038_00	Y se reunieron los magos en el lugar de la cita, el día fijado.
039_00	Se dijo a la gente: ¿Os reuniréis?
040_00	Tal vez sigamos a los magos si son los vencedores.
041_00	Y cuando los magos se presentaron, le dijeron a Firaún: ¿Tendremos alguna recompensa si somos los vencedores?
042_00	Dijo: Sí; si es así estaréis entre los próximos (a mí).
043_00	Les dijo Musa: Arrojad lo que arrojáis.
044_00	Y arrojaron sus cuerdas y varas diciendo: ¡Por el poder de Firaún, seremos los vencedores!
045_00	Y arrojó Musa su bastón y se tragó la mentira que habían creado.
046_00	Entonces cayeron los magos postrados.
047_00	Dijeron: Creemos en el Señor de los mundos,
048_00	el Señor de Musa y de Harún.
049_00	Dijo: ¿Creéis en él sin mi permiso?
049_01	Él es, en verdad, vuestro cabecilla, el que os ha enseñado la magia, pero vais a saber: Os cortaré la mano y el pie contrarios y os crucificaré a todos.
050_00	Dijeron: No hay mal, pues verdaderamente hemos de volver a nuestro Señor.
