001_00	Ya, Sin*
002_00	¡Por el Corán sabio!
003_00	que tú eres uno de los enviados
004_00	en un camino recto.
005_00	Revelación que ha hecho descender el Poderoso, el Compasivo
006_00	para que adviertas a una gente cuyos padres no fueron advertidos y están descuidados.
007_00	Se ha hecho realidad la palabra dictada contra la mayoría de ellos y no creen.
008_00	Cierto que les pondremos en el cuello argollas que les llegarán hasta el mentón y no podrán moverse.
009_00	Hemos puesto una barrera por delante de ellos y otra por detrás y les hemos velado, no pueden ver.
010_00	Es igual para ellos que les adviertas o que no les adviertas, no creerán.
011_00	Sólo admite la advertencia quien sigue el Recuerdo y teme al Misericordioso aunque no Lo vea*.Anúnciale perdón y una generosa recompensa.
012_00	En verdad Nosotros damos la vida a los muertos y escribimos las obras que adelantaron y las huellas que dejaron. Cada cosa la recogemos en un registro claro.
013_00	Llámales la atención con el ejemplo de los habitantes de la ciudad, cuando llegaron los enviados.*
014_00	Cuando enviamos a dos y los negaron; y entonces los reforzamos con un tercero y dijeron: Hemos sido enviados a vosotros.
015_00	Dijeron: No sois sino seres humanos como nosotros y el Misericordioso no ha hecho descender nada, sólo estáis mintiendo.
016_00	Dijeron: Nuestro Señor sabe bien que hemos sido enviados a vosotros,
017_00	pero no nos corresponde sino hacer llegar el mensaje con claridad.
018_00	Dijeron: Realmente tenemos un mal presagio de vosotros, y si no desistís, os lapidaremos y recibiréis de nuestra parte un doloroso castigo.
019_00	Dijeron: Sea para vosotros vuestro presagio. ¿Es que no vais a recapacitar? Pero no, sois gente que se excede.
020_00	Y desde el extremo de la ciudad vino un hombre corriendo que dijo: ¡Gente mía! ¡Seguid a los enviados!
021_00	¡Seguid a quienes no os piden nada a cambio y están guiados!
022_00	¿Cómo podría no adorar a Quien me creó y a Quien habéis de volver?
023_00	¿Vais a tomar, aparte de Él, dioses, cuya intercesión no me valdría de nada si el Misericordioso quisiera causarme algún daño y que tampoco podrían salvarme?
024_00	Si lo hiciera, estaría claramente extraviado.
025_00	Yo creo realmente en vuestro Señor, escuchadme pues.
026_00	Se dijo: ¡Entra en el Jardín!Dijo: ¡Pobre de mi gente! Si supieran
027_00	que mi Señor me ha perdonado y me ha puesto entre los que Él ha honrado.
028_00	Y no mandamos contra ellos, después de él, ningún ejército bajado del cielo, ni lo hemos mandado nunca.
029_00	Bastó con un sólo grito y fueron aniquilados.
030_00	¡Qué pena de siervos! No había mensajero que les llegara del que no se burlaran.
031_00	¿Es que no ven cuantas generaciones, que ya no volverán, hemos destruido antes de ellos?
032_00	Todos habrán de comparecer ante Nos.
033_00	Tienen un signo en la tierra muerta a la que vivificamos y hacemos que en ella broten semillas de las que coméis.
034_00	En ella hemos puesto jardines de palmeras y vides, y hemos hecho que nacieran manantiales.
035_00	Para que pudieran comer de sus frutos y del trabajo de sus manos.* ¿Es que no van a agradecer?
036_00	¡Gloria a Aquel que creó todas las especies: las de la tierra, ellos mismos y otras que no conocen.
037_00	Y tienen un signo en la noche, cuando hacemos desaparecer la luz del día y quedan a oscuras.
038_00	Y el sol, que corre hacia un lugar de reposo que tiene. Ese es el decreto del Poderoso, el Sabio.
039_00	Y a la luna le hemos fijado casas*, hasta que se hace como una rama de palmera vieja.
040_00	No procede que el sol alcance a la luna, ni que la noche se adelante al día. Cada una va en una órbita.
041_00	Y hay un signo para ellos en cómo embarcamos a sus progenitores en la nave henchida.
042_00	Y hemos creado para ellos, otras (naves) semejantes en las que embarcan.
043_00	Y si queremos podemos hacer que se ahoguen sin que tengan quien les socorra ni sean salvados.
044_00	A no ser por una misericordia de Nuestra parte y para concederles un disfrute por un tiempo.
045_00	Y cuando se les dice: Temed lo que hay tras vosotros y lo que ha de venir, para que así se os pueda tener misericordia.
046_00	No hay ningún signo de los signos de tu Señor que les llegue, del que no se aparten.
047_00	Y cuando se les dice: Gastad de la provisión que Allah os ha dado, los que se niegan a creer les dicen a los que creen:¿Es que vamos a alimentar nosotros a quien Allah, si quisiera, alimentaría? Sólo estáis en un claro extravío.
048_00	Y dicen: ¿Cuándo se cumplirá esta promesa si es verdad lo que decís?
049_00	No esperan sino un único grito que los sorprenderá mientras discuten.
050_00	Y no podrán hacer testamento ni volver a su familia.
051_00	Se soplará en el cuerno, y entonces saldrán rápidamente de los sepulcros, acudiendo a su Señor.
052_00	Dirán: ¡Ay de nosotros! ¿Quién nos ha levantado de nuestros lechos? Esto es lo que había prometido el Misericordioso, los enviados decían la verdad.
053_00	No habrá más que un solo grito y todos comparecerán ante Nos.
054_00	Ese día nadie será tratado injustamente en nada.Sólo se os pagará por lo que hicisteis.
055_00	Verdaderamente los compañeros del Jardín estarán, ese día, absortos en lo que les ocupe, deleitándose.
