001_00	Descenso del Libro procedente de Allah, el Poderoso, el Sabio.
002_00	Hemos hecho que te descendiera el Libro con la verdad; adora a Allah con sinceridad, ofreciéndole sólo a Él la Adoración.
003_00	¿Acaso no se Le debe a Allah la Adoración exclusiva?Los que han tomado protectores fuera
003_01	de Él, (dicen):Sólo los adoramos para que nos den proximidad a Allah.Allah juzgará entre ellos
003_02	sobre aquello en lo que tenían diferencias.Allah no guía a quien es mentiroso e ingrato.
004_00	Si Allah hubiera querido tomar para Sí un hijo, habría escogido lo que hubiera querido de entre Su creación.Él es Allah, el Uno, el Dominante. ¡Glorificado sea!
005_00	Ha creado los cielos y la tierra con la verdad, hace que la noche se enrolle en el día y que el día se enrolle en la noche y
005_01	ha sometido a Su mandato al sol y a la luna, que siguen su curso hasta que se cumpla un plazo fijado.¿Acaso no es Él, el Poderoso, el Muy Perdonador?
006_00	Os creó a partir de un sólo ser del que hizo a su pareja, e hizo descender para vosotros ocho especies de ganado.
006_01	Os crea en los vientres de vuestras madres, creación tras creación, a lo largo de tres tinieblas.Ese es Allah, vuestro Señor, Suya es la Soberanía; no hay dios sino Él.
006_02	¿Por qué entonces os apartáis?
007_00	Si se niegan a creer...
007_01	Allah es Rico y no os necesita y no acepta de Sus siervos la incredulidad.Pero si agradecéis, os lo aceptará complacido.Nadie cargará con la carga de otro; habréis de regresar a vuestro Señor, que os hará saber lo que hayáis hecho; realmente Él conoce lo que encierran los pechos.
008_00	Cuando al hombre le afecta algún daño, ruega a su Señor y se vuelve a El, pero luego, cuando le concede alguna merced que viene de Él,
008_01	olvida que antes rogaba* y Le atribuye a Allah semejantes, extraviándose de Su camino.Di: Disfruta un poco de tu incredulidad porque tú serás de los compañeros del Fuego.
009_00	¿Acaso quien se entrega a la adoración en las horas de la noche, postrado y en pie, ocupándose de la Última Vida y esperando la misericordia de su Señor...?
009_01	Di: ¿Son iguales los que no actúan y los que sí actúan?Sólo recapacitarán los que saben reconocer lo esencial.
010_00	Di: ¡Siervos míos, que creáis y temáis a vuestro Señor!
010_01	Los que hayan hecho el bien en esta vida, tendrán una hermosa recompensa; la tierra de Allah es ancha y cierto que a los perseverantes se les pagará su recompensa sin límite.
011_00	Di: Se me ha ordenado que adore a Allah con sinceridad, ofreciéndole sólo a Él la Adoración.
012_00	Y se me ha ordenado que sea el primero de los musulmanes (de los sometidos).
013_00	Di: Temo, si desobedezco a mi Señor, el castigo de un día transcendente.
014_00	Di: Yo adoro a Allah con sinceridad, ofreciéndole sólo a Él mi adoración.
015_00	Así pues: ¡Adorad lo que queráis fuera de Él!Di: Los perdedores serán los que se hayan perdido a sí mismos y a sus familias el Día del Levantamiento. ¿No es esa la clara perdición?
016_00	Tendrán sobre ellos las sombras del Fuego y por debajo aún más sombras. Así es como Allah infunde temor a Sus siervos.¡Siervos míos, temedme!
017_00	Los que se apartan de la adoración de los Taguts* y se vuelven a su Señor, tendrán la buena noticia.¡Anuncia a Mis siervos la buena nueva!
018_00	Aquéllos que escuchan la Palabra y siguen lo mejor de ella, ésos son los que Allah ha guiado y ésos son los que saben reconocer lo esencial.
019_00	¿Acaso aquel sobre el que ha de cumplirse la palabra del castigo...? ¿Puedes tú salvar al que está en el Fuego?
020_00	Sin embargo los que temen a su Señor, tendrán estancias sobre las que habrá otras estancias construidas, por debajo de las cuales correrán los ríos; promesa de Allah.Y Allah no falta a lo prometido.
021_00	¿Es que no has visto que Allah hace que caiga agua del cielo y que se filtre en los manantiales de la tierra y que gracias a ella salgan
021_01	cereales de color variado que luego se marchitan y los ves amarillentos, convirtiéndolos después en desecho?Es cierto que en eso hay un recuerdo para los que reconocen lo esencial.
022_00	¿Acaso aquel a quien Allah le ha abierto el pecho al Islam y se asienta sobre una luz que viene de su Señor...?¡Perdición para aquéllos cuyos corazones están endurecidos para el recuerdo de Allah; ésos están en un claro extravío!
023_00	Allah ha hecho descender el más hermoso de los relatos: Un libro homogéneo, reiterativo.
023_01	A los que temen a su Señor les eriza la piel y ésta y sus corazones se enternecen con el recuerdo de Allah. Esa es la guía de Allah con la que Él guía a quien quiere.Aquel a quien Allah extravía no habrá quien lo guíe.
024_00	¿Acaso quien tema en el Día del Levantamiento el peor de los castigos en su rostro...? Se les dirá a los injustos: ¡Gustad lo que os estabais ganando!
025_00	Los que hubo anteriormente a ellos negaron la verdad y el castigo les vino por donde no pudieron percibirlo.
026_00	Allah les hizo saborear la humillación en esta vida, aunque el castigo de la Última es mayor, si supieran.
027_00	Realmente en esta Recitación hemos llamado la atención de los hombres con toda clase de ejemplos para que pudieran ser temerosos.
028_00	Es una Recitación árabe en la que no hay confusión, para que puedan temer (a su Señor).
029_00	Allah pone como ejemplo un hombre que sirve a distintos socios y un hombre que pertenece totalmente a otro.¿Pueden compararse? La alabanza pertenece a Allah, sin embargo la mayoría de ellos no saben.
030_00	Tú morirás y ellos morirán.
031_00	Luego, el Día del Levantamiento, disputaréis ante vuestro Señor.
032_00	¿Y quién es más injusto que quien miente sobre Allah y tacha de mentira la verdad cuando le llega?¿Acaso no hay en Yahannam refugio para los incrédulos?
033_00	Aquel que viene con la verdad y la confirma, ésos son los temerosos (de Allah).
034_00	Tendrán lo que quieran junto a su Señor, ésa es la recompensa de los que hacen el bien.
035_00	Para que Allah les cubra lo peor que hayan hecho y les dé la recompensa que les corresponda por lo mejor que hayan hecho.
036_00	¿Es que no le basta Allah a Su siervo? ¿Y pretenden asustarte con los que no son Él?Al que Allah extravía no tiene quien lo guíe.
037_00	Y a quien Allah guía no hay quien lo extravíe.¿Es que no es Allah Poderoso, Capaz de venganza?
038_00	Y si les preguntas: ¿Quién creó los cielos y la tierra?
038_01	Dirán:Allah.
038_02	Di: Decidme qué os parece: Si Allah quiere que sufra yo algún daño, ¿acaso aquéllos que invocáis fuera de Allah podrían evitar Su daño?¿O si quiere que reciba alguna misericordia? ¿Podrían ellos impedir Su misericordia?Di: Allah me basta, en Él se abandonan los que confían.
039_00	Di: ¡Gente mía! Actuad de acuerdo a vuestra posición que yo también lo haré.
040_00	Y ya sabréis a quién le llegará un castigo que lo rebajará y sobre quién se desatará un castigo permanente.
041_00	Hemos hecho que te descendiera el Libro para los hombres, con la verdad; quien siga la guía lo hará para su propio bien y quien se extravíe sólo se extraviará en contra de sí mismo.Tú no eres un guardián para ellos.
042_00	Allah se lleva las almas cuando les llega la muerte y se lleva las que aún no han muerto durante el sueño, para luego retener
042_01	a aquéllas cuya muerte decretó y devolver a las demás hasta que cumplan un plazo fijado, realmente en eso hay signos para la gente que reflexiona.
043_00	¿O es que han tomado, fuera de Allah intercesores? Di: ¿Y si no tuvieran ningún poder ni fueran capaces de razonar?
044_00	Di: A Allah Le pertenece toda la intercesión.Suya es la soberanía de los cielos y de la tierra; luego habréis de regresar a Él.
045_00	Y cuando es recordado Allah, sin nadie más, los corazones de los que no creen en la Última Vida sienten rechazo; sin embargo cuando se recuerda a los que no son Él, entonces sus corazones se llenan de gozo.
046_00	Di: ¡Oh Allah! Originador de los cielos y de la tierra, Conocedor del No-Visto y de lo Aparente, Tú juzgarás entre Tus siervos acerca de aquello en lo que discrepaban.
047_00	Y si todo cuanto hay en la tierra y otro tanto perteneciera a los que son injustos, lo darían para rescatarse del mal castigo el Día del Levantamiento.
047_01	Y aparecerá ante ellos, procedente de Allah, lo que no se esperaban.
048_00	Las malas acciones que se ganaron se les mostrarán y les rodeará aquello de lo que se burlaban.
049_00	Y cuando algún mal afecta al hombre Nos ruega; pero después, si le concedemos alguna merced procedente de Nos, dice:
049_01	Me ha sido concedida gracias a algún conocimiento.Pero no, es una prueba; sin embargo la mayoría de los hombres no saben.
050_00	Ya dijeron lo mismo sus antecesores y no les sirvió de nada lo que habían conseguido.
051_00	Y así fue como se les vinieron encima las malas acciones que se habían ganado, al igual que a los que de éstos sean injustos les caerán encima las malas acciones que tengan en su haber y no podrán escaparse.
052_00	¿Es que no saben que Allah expande o restringe Su provisión a quien quiere? Realmente en ello hay signos para la gente que cree.
053_00	Di: ¡Siervos míos que os habéis excedido en contra de vosotros mismos, no desesperéis de la misericordia
053_01	de Allah, es verdad que Allah perdona todas las faltas, pues Él es el Perdonador, el Compasivo!
054_00	Y volveos a vuestro Señor y someteos a Él antes de que os llegue el castigo, pues luego no seréis socorridos.
055_00	Y seguid lo mejor de lo que se os ha hecho descender procedente de vuestro Señor antes de que os llegue el castigo de repente sin que os deis cuenta.
056_00	Para que nadie tenga que decir: Desgraciado de mí por haber descuidado lo referente a Allah, yo era de los que se burlaban.
057_00	O diga: Si Allah me hubiera guiado habría sido de los temerosos.
058_00	O diga cuando vea el castigo: Ojalá tuviera otra oportunidad para poder estar entre los que hacen el bien.
059_00	Sin embargo te llegaron Mis signos y negaste su verdad, te ensoberbeciste y fuiste de los incrédulos.
060_00	El Día del Levantamiento verás a quienes mienten sobre Allah con el rostro ennegrecido. ¿Acaso no hay en Yahannam refugio para los soberbios?
061_00	Y Allah salvará a los que hayan sido temerosos en virtud de su triunfo, el mal no los tocará ni se entristecerán.
062_00	Allah es el Creador de todas las cosas y el Protector de todo ello.
063_00	Suyas son las llaves de los cielos y de la tierra. Y los que se niegan a creer en los signos de Allah, ésos son los perdedores.
064_00	Di: ¿Me mandáis que adore a otro que Allah, oh ignorantes?
065_00	En verdad te he inspirado a ti y a los que te precedieron, que si asocias algo conmigo se harán inútiles tus obras y serás de los perdedores.
066_00	Así pues, adora a Allah y sé de los agradecidos.
067_00	No han apreciado a Allah en Su verdadera magnitud, cuando la tierra entera esté en Su puño el Día del
067_01	Levantamiento y los cielos plegados en Su mano derecha:¡Gloria a Él y sea exaltado por encima de lo que asocian!
068_00	Se soplará en el cuerno y quienes haya en los cielos y en la tierra quedarán fulminados con la excepción de quien Él quiera, luego soplará en él otra vez y quedarán en pie a la espera.
069_00	Y brillará la tierra con la luz de tu Señor, se colocará el Libro, se hará venir a los profetas y a los testigos y se juzgará entre ellos sin que sufran injusticia.
070_00	Cada alma será retribuida según sus obras, y Él es el que mejor conoce lo que hacen.
071_00	Entonces los que se negaron a creer serán conducidos a Yahannam en grupos sucesivos y cuando lleguen a él, se abrirán sus
071_01	puertas y les dirán sus guardianes: ¿Acaso no os llegaron mensajeros de entre los vuestros que os leían los signos de vuestro
071_02	Señor y os advertían del encuentro de éste vuestro día?Dirán: Sí. Sin embargo se habrá hecho realidad la palabra del castigo contra los incrédulos.
072_00	Se dirá: Entrad por las puertas de Yahannam para ser inmortales en él. ¡Qué mala morada la de los soberbios!
073_00	Y los que temieron a su Señor, serán conducidos al Jardín en grupos sucesivos y cuando lleguen a él
073_01	se abrirán sus puertas y sus guardianes les dirán: "Paz con vosotros", fuisteis buenos, entrad en él para ser inmortales.
074_00	Y dirán: Las alabanzas a Allah que ha cumplido Su promesa con nosotros haciéndonos herederos de la tierra.Nos acomodaremos en el Jardín donde queramos. ¡Qué excelente recompensa la de los que actúan!
075_00	Y verás a los ángeles, alrededor del Trono, glorificando a su Señor con alabanzas y se juzgará entre ellos* con la verdad y se dirá: Las alabanzas a Allah el Señor de los mundos. (También llamada "El Creyente")En el nombre de Allah, el Misericordioso, el Compasivo.
