001_00	¡Por el Monte*!
002_00	¡Por un Libro escrito
003_00	en un pergamino desenrollado*!
004_00	¡Por la Casa Visitada*!
005_00	¡Por el techo elevado!
006_00	¡Por el mar rebosante!
007_00	Que el castigo de tu Señor ha de ocurrir
008_00	y no habrá quien lo pueda impedir
009_00	El día en que el cielo se agite en sacudidas
010_00	y las montañas echen a andar.
011_00	¡Ay! ese día de los que negaron la verdad.
012_00	Esos que, confundidos, jugaban.
013_00	El día que sean empujados al fuego de Yahannam con desprecio:
014_00	Este es el Fuego cuya realidad negabais.
015_00	¿Es magia o es que vosotros no veis?
016_00	Entrad en él, es igual que tengáis o que no tengáis paciencia.Sólo se os pagará por lo que hicisteis.
017_00	Los temerosos estarán en jardines y deleite,
018_00	disfrutando de lo que su Señor les dé.Su Señor los habrá librado del castigo del Yahim.
019_00	¡Comed y bebed en perfecto bienestar por lo que hicisteis!
020_00	Estarán reclinados sobre divanes alineados y los desposaremos con las de ojos hermosísimos.
021_00	Y a quienes hayan creído y su descendencia los haya seguido en la creencia, los juntaremos con
021_01	ellos y no habrá ningún menoscabo de sus acciones.Cada hombre es rehén de lo que se forjó.
022_00	Los colmaremos de frutos y carne de la que apetezcan.
023_00	Allí, se pasarán unos a otros una copa en la que no habrá ni frivolidad ni maldad.
024_00	E irán pasando en torno a ellos mancebos como las perlas semiocultas.
025_00	Y se encontrarán frente a frente haciéndose preguntas.
026_00	Dirán: Antes, cuando estábamos entre los nuestros, fuimos temerosos.
027_00	Y Allah nos ha favorecido y nos ha librado del castigo del Simún*.
028_00	Es verdad que antes le rogábamos y que Él es el Bondadoso, el Compasivo.
029_00	Así pues, llama al recuerdo que, por el favor de tu Señor, tú no eres ni un adivino ni un poseso.
030_00	¿O es que acaso dicen? Es un poeta, aguardemos que le llegue su hora.
031_00	Di: Esperad que yo también esperaré con vosotros.
032_00	¿Son sus sueños los que les mandan esto o sólo son gente que se excede?
033_00	¿O es que dicen? Se lo ha inventado. Pero no, es que no creen.
034_00	Que traigan un relato semejante, si es verdad lo que dicen.
035_00	¿O es que acaso han sido creados espontáneamente o se han creado a sí mismos?
036_00	¿O han creado los cielos y la tierra?Por el contrario; no tienen certeza.
037_00	¿O es que son los dueños de los tesoros de tu Señor o poseen la soberanía?
038_00	¿O es que tienen una escalera desde la que escuchan?El que de ellos lo haga que traiga una prueba clara.
039_00	¿O acaso tiene Él hijas mientras que los hijos son para vosotros?
040_00	¿O es que les pides algún pago y tal impuesto los tiene agobiados?
041_00	¿O tienen delante el No-Visto y pueden tomar nota?
042_00	¿O es que quieren tender una trampa? Porque son los que se niegan a creer los que han caído en una trampa.
043_00	¿No será que tienen otro dios que no es Allah?¡Gloria a Allah por encima de lo que Le asocian!
044_00	Si vieran un trozo de cielo cayéndose dirían: Es una acumulación de nubes.
045_00	Déjalos hasta que se encuentren con su día, ése en el que han de caer muertos.
046_00	El día en que su maquinación no les sirva de nada ni tengan quien los auxilie.
047_00	Y por cierto que los que fueron injustos tendrán antes que eso un castigo*, sin embargo la mayoría de ellos no sabe.
048_00	Espera con paciencia el juicio de tu Señor porque realmente tu estás bajo Nuestros ojos.Y glorifica a tu Señor con Su alabanza cuando te levantes.
049_00	Y glorifícalo durante parte de la noche, así como al ocultarse las estrellas*.
