001_00	¡Profeta!
001_01	Cuando divorciéis a las mujeres, hacedlo de manera que estén en disposición de empezar su período de espera*.Guardad el período de espera y temed a Allah, vuestro Señor.No las hagáis salir de sus casas ni tampoco salgan ellas, a menos que hayan cometido una indecencia evidente.Estos son los límites de Allah; quien traspase los límites de Allah, habrá sido injusto consigo mismo.
001_02	Tú no sabes si Allah dispondrá otra cosa después.
002_00	Y cuando hayan alcanzado su periodo de espera, o bien os quedáis con ellas como es debido u os separáis de ellas como es debido*.
002_01	Y haced que dos de vosotros, que sean rectos, sean testigos. Cumplid el testimonio por Allah.A eso se exhorta a quien crea en Allah y en el Último Día.Y quien teme a Allah, Él le da una salida.
003_00	Y le provee desde donde no lo espera. Quien se abandone en Allah, Él le bastará.Es cierto que la orden de Allah llega hasta donde Él quiere.Allah le ha dado a cada cosa un término y una medida.
004_00	Y aquellas de vuestras mujeres que hayan llegado a la menopausia, si dudáis de su período de espera, éste son tres meses; así como para la que aún
004_01	no haya tenido la menstruación.Y las que estén embarazadas, su período de espera será hasta que den a luz.Quien teme a Allah, Él le dará facilidad en lo suyo.
005_00	Ese es Su mandato, el que Allah ha hecho descender para vosotros. Y quien tema a Allah, Él le cubrirá sus maldades y le aumentará su recompensa.
006_00	Alojadlas donde os alojáis, según vuestros medios, pero no las perjudiquéis haciéndoles pasar estrechez.Y si estuvieran embarazadas ocuparos de
006_01	su manutención hasta que den a luz. Y si dan de mamar a vuestros hijos*, dadles la remuneración que
006_02	corresponda y llegad a un acuerdo entre vosotros como es debido.Y si tenéis dificultades, que amamante a su hijo otra.
007_00	Quien posea con holgura, que gaste de acuerdo a su holgura; y a quien se le haya dado una provisión restringida, que gaste de acuerdo a
007_01	lo que Allah le haya dado.Allah no le impone a nadie sino en la medida de lo que le da.Allah da facilidad después de la dificultad.
008_00	A cuántas ciudades que desobedecieron la orden de su Señor y la de Sus mensajeros, las hicimos rendir cuentas con dureza y las castigamos con un terrible castigo.
009_00	Gustaron las malas consecuencias de su actitud y su fin fue la perdición.
010_00	Allah les ha preparado un fuerte castigo. Así pues, temed a Allah, vosotros que sabéis reconocer lo esencial, vosotros que creéis. Allah ha hecho descender para vosotros un recuerdo.
011_00	Un Mensajero que os lee los signos de Allah clarificados, para sacar a los que creen y practican las acciones de bien de la tinieblas a la luz.A quien crea
011_01	en Allah y obre con rectitud le haremos entrar en jardines por cuyo suelo corren los ríos en los que será inmortal para siempre.Allah le habrá hecho buena la provisión.
012_00	Allah es Quien ha creado los siete cielos y otro tanto de tierra.La orden desciende a través de ellos
012_01	para que sepáis que Allah tiene poder sobre todas las cosas y que el conocimiento de Allah todo lo abarca.
